FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣南投市康壽里13鄰復興路328巷1號,10008,1000801,1000801-002,13鄰,復興路,,328巷,,,,1號,120.68589107287,23.910970951255
南投縣南投市康壽里1鄰復興路480巷1號,10008,1000801,1000801-002,1鄰,復興路,,480巷,,,,1號,120.68456660564,23.914399483533
南投縣南投市康壽里4鄰復興路401巷1號,10008,1000801,1000801-002,4鄰,復興路,,401巷,,,,1號,120.68481798622,23.911998128668
南投縣南投市康壽里13鄰復興路380巷2號,10008,1000801,1000801-002,13鄰,復興路,,380巷,,,,2號,120.68577126655,23.911774340038
南投縣南投市康壽里13鄰復興路328巷2號,10008,1000801,1000801-002,13鄰,復興路,,328巷,,,,2號,120.6859604214,23.910724855947
南投縣南投市康壽里11鄰復興路328巷2號,10008,1000801,1000801-002,11鄰,復興路,,328巷,,,,2號,120.6859604155,23.910727293925
南投縣南投市康壽里13鄰復興路328巷3號,10008,1000801,1000801-002,13鄰,復興路,,328巷,,,,3號,120.68596592026,23.910888031895
南投縣南投市康壽里1鄰復興路480巷3號,10008,1000801,1000801-002,1鄰,復興路,,480巷,,,,3號,120.68482178534,23.914481273135
南投縣南投市康壽里1鄰復興路481巷3號,10008,1000801,1000801-002,1鄰,復興路,,481巷,,,,3號,120.68336957528,23.913873307014
南投縣南投市康壽里13鄰復興路328巷4號,10008,1000801,1000801-002,13鄰,復興路,,328巷,,,,4號,120.68599968132,23.910736403705
南投縣南投市康壽里13鄰復興路328巷5號,10008,1000801,1000801-002,13鄰,復興路,,328巷,,,,5號,120.68600753336,23.91090130008
南投縣南投市康壽里13鄰復興路380巷5號,10008,1000801,1000801-002,13鄰,復興路,,380巷,,,,5號,120.68589816668,23.912099664565
南投縣南投市康壽里1鄰復興路481巷5號,10008,1000801,1000801-002,1鄰,復興路,,481巷,,,,5號,120.68319293078,23.91380973603
南投縣南投市康壽里4鄰復興路401巷6號,10008,1000801,1000801-002,4鄰,復興路,,401巷,,,,6號,120.6846507492,23.912106140838
