FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣南投市龍泉里10鄰文昌街24巷1號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,1號,120.68845261014,23.907707449378
南投縣南投市龍泉里10鄰文昌街2號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,2號,120.68893404553,23.907636187205
南投縣南投市龍泉里10鄰文昌街24巷2號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,2號,120.68874408359,23.907763300739
南投縣南投市龍泉里11鄰文昌街2之5號,10008,1000801,1000801-001,11鄰,文昌街,,,,,,2之5號,120.68929738289,23.907664010525
南投縣南投市龍泉里11鄰文昌街2之8號,10008,1000801,1000801-001,11鄰,文昌街,,,,,,2之8號,120.68965083405,23.907718901827
南投縣南投市龍泉里11鄰文昌街2之11號,10008,1000801,1000801-001,11鄰,文昌街,,,,,,2之11號,120.68991597606,23.907696501515
南投縣南投市龍泉里10鄰文昌街24巷3號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,3號,120.68844268024,23.907752577243
南投縣南投市龍泉里10鄰文昌街24巷5號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,5號,120.68847203708,23.9077977847
南投縣南投市龍泉里10鄰文昌街24巷6號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,6號,120.68872942856,23.907812933857
南投縣南投市龍泉里10鄰文昌街24巷7號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,7號,120.68846210718,23.907842912565
南投縣南投市龍泉里10鄰文昌街8號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,8號,120.68884569365,23.907617949268
南投縣南投市龍泉里10鄰文昌街24巷9號,10008,1000801,1000801-001,10鄰,文昌街,,24巷,,,,9號,120.68845219891,23.907879010877
南投縣南投市龍泉里10鄰文昌街12號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,12號,120.68882509602,23.90760625941
南投縣南投市龍泉里10鄰文昌街14號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,14號,120.68881076783,23.90760144473
南投縣南投市龍泉里11鄰文昌街15號,10008,1000801,1000801-001,11鄰,文昌街,,,,,,15號,120.68958259981,23.907502053771
南投縣南投市龍泉里11鄰文昌街19號,10008,1000801,1000801-001,11鄰,文昌街,,,,,,19號,120.68927154885,23.907459799135
南投縣南投市龍泉里10鄰文昌街22號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,22號,120.6887396909,23.90758793708
南投縣南投市龍泉里10鄰文昌街25號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,25號,120.68887647713,23.907067206123
南投縣南投市龍泉里10鄰文昌街26號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,26號,120.68862449477,23.907582647299
南投縣南投市龍泉里10鄰文昌街27號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,27號,120.6885912603,23.907229161577
南投縣南投市龍泉里10鄰文昌街28號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,28號,120.68856082175,23.907635431797
南投縣南投市龍泉里10鄰文昌街30號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,30號,120.68850678894,23.907559022267
南投縣南投市龍泉里10鄰文昌街33號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,33號,120.68848330874,23.907192824549
南投縣南投市龍泉里10鄰文昌街35號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,35號,120.68841429748,23.907301039902
南投縣南投市龍泉里10鄰文昌街36號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,36號,120.68840389137,23.907544817931
南投縣南投市龍泉里10鄰文昌街37號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,37號,120.68837503252,23.907291930743
南投縣南投市龍泉里10鄰文昌街38號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,38號,120.68833518297,23.907526619503
南投縣南投市龍泉里10鄰文昌街39號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,39號,120.68832575104,23.907364067646
南投縣南投市龍泉里10鄰文昌街41號,10008,1000801,1000801-001,10鄰,文昌街,,,,,,41號,120.68827666441,23.907354938555
南投縣南投市彰仁里10鄰文昌街54巷1號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,1號,120.6875708051,23.907548184218
南投縣南投市彰仁里10鄰文昌街54巷2號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,2號,120.68731357732,23.90758775281
南投縣南投市彰仁里10鄰文昌街54巷3號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,3號,120.68755771982,23.907598362187
南投縣南投市彰仁里10鄰文昌街54巷4號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,4號,120.68731346871,23.907632900569
南投縣南投市彰仁里10鄰文昌街54巷5號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,5號,120.68754981135,23.90766046974
南投縣南投市彰仁里10鄰文昌街54巷6號,10008,1000801,1000801-006,10鄰,文昌街,,54巷,,,,6號,120.68731338182,23.907669018776
