FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣仁愛鄉發祥村10鄰溪門巷1號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,1號,121.17919618635,24.15065002429
南投縣仁愛鄉發祥村10鄰溪門巷2號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,2號,121.1794186071,24.150742314021
南投縣仁愛鄉發祥村10鄰溪門巷3號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,3號,121.17946789495,24.150804197553
南投縣仁愛鄉發祥村10鄰溪門巷4號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,4號,121.17956637253,24.150928054974
南投縣仁愛鄉發祥村10鄰溪門巷5號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,5號,121.17966144298,24.150867085128
南投縣仁愛鄉發祥村10鄰溪門巷6號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,6號,121.17965956943,24.151145823996
南投縣仁愛鄉發祥村10鄰溪門巷8號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,8號,121.17988753569,24.151402802211
南投縣仁愛鄉發祥村10鄰溪門巷9號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,9號,121.17993332753,24.151497556611
南投縣仁愛鄉發祥村10鄰溪門巷10號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,10號,121.17972820132,24.151037210157
南投縣仁愛鄉發祥村10鄰溪門巷11號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,11號,121.17991108074,24.15121099064
南投縣仁愛鄉發祥村10鄰溪門巷11之1號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,11之1號,121.18001546094,24.151122470021
南投縣仁愛鄉發祥村10鄰溪門巷12號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,12號,121.17998455467,24.151327744053
南投縣仁愛鄉發祥村10鄰溪門巷14號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,14號,121.18011542938,24.151396754622
南投縣仁愛鄉發祥村10鄰溪門巷15號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,15號,121.18004993474,24.15142671912
南投縣仁愛鄉發祥村10鄰溪門巷16號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,16號,121.18009790943,24.151534202305
南投縣仁愛鄉發祥村10鄰溪門巷16之1號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,16之1號,121.18021218149,24.151482329122
南投縣仁愛鄉發祥村10鄰溪門巷19號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,19號,121.17854678568,24.149204280016
南投縣仁愛鄉發祥村10鄰溪門巷19附1號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,19附1號,121.17656954099,24.144290355727
南投縣仁愛鄉發祥村10鄰溪門巷20附1號,10008,1000813,1000813-006,10鄰,溪門巷,,,,,,20附1號,121.18540561213,24.12630074437
