FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣南投市營南里10鄰營盤路28巷1號,10008,1000801,1000801-028,10鄰,營盤路,,28巷,,,,1號,120.6779647013,23.942675427252
南投縣南投市營南里10鄰營盤路58巷22弄1號,10008,1000801,1000801-028,10鄰,營盤路,,58巷,22弄,,,1號,120.67802183237,23.943406940483
南投縣南投市營南里11鄰營盤路1號,10008,1000801,1000801-028,11鄰,營盤路,,,,,,1號,120.67837857597,23.942170639562
南投縣南投市營南里11鄰營盤路35巷1號,10008,1000801,1000801-028,11鄰,營盤路,,35巷,,,,1號,120.67757193249,23.942315769041
南投縣南投市營南里1鄰營盤路190巷1號,10008,1000801,1000801-028,1鄰,營盤路,,190巷,,,,1號,120.67372211079,23.945971287757
南投縣南投市營南里2鄰營盤路255巷1號,10008,1000801,1000801-028,2鄰,營盤路,,255巷,,,,1號,120.67253933974,23.9467051298
南投縣南投市營南里2鄰營盤路261巷1號,10008,1000801,1000801-028,2鄰,營盤路,,261巷,,,,1號,120.67240347614,23.946817257863
南投縣南投市營南里2鄰營盤路151巷99弄1號,10008,1000801,1000801-028,2鄰,營盤路,,151巷,99弄,,,1號,120.67192362214,23.946202224815
南投縣南投市營南里4鄰營盤路235巷1號,10008,1000801,1000801-028,4鄰,營盤路,,235巷,,,,1號,120.67303434584,23.945987884295
南投縣南投市營南里4鄰營盤路245巷1號,10008,1000801,1000801-028,4鄰,營盤路,,245巷,,,,1號,120.67270865461,23.946574110861
南投縣南投市營南里5鄰營盤路145巷1號,10008,1000801,1000801-028,5鄰,營盤路,,145巷,,,,1號,120.67461992781,23.944465258434
南投縣南投市營南里5鄰營盤路187巷1號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,,,,1號,120.6737388483,23.945292933716
南投縣南投市營南里5鄰營盤路187巷2弄1號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,2弄,,,1號,120.67353717083,23.945284649492
南投縣南投市營南里6鄰營盤路151巷25弄1號,10008,1000801,1000801-028,6鄰,營盤路,,151巷,25弄,,,1號,120.67375469507,23.944734309481
南投縣南投市營南里7鄰營盤路115巷1號,10008,1000801,1000801-028,7鄰,營盤路,,115巷,,,,1號,120.67500475502,23.943797886748
南投縣南投市營南里8鄰營盤路114巷1號,10008,1000801,1000801-028,8鄰,營盤路,,114巷,,,,1號,120.67648850978,23.943692664323
南投縣南投市營南里8鄰營盤路58巷1號,10008,1000801,1000801-028,8鄰,營盤路,,58巷,,,,1號,120.67749230367,23.943008529481
南投縣南投市營南里9鄰營盤路57巷18弄1號,10008,1000801,1000801-028,9鄰,營盤路,,57巷,18弄,,,1號,120.67695003155,23.942442230547
南投縣南投市營南里9鄰營盤路57巷1號,10008,1000801,1000801-028,9鄰,營盤路,,57巷,,,,1號,120.67724190961,23.942680592127
南投縣南投市營南里1鄰營盤路260巷2號,10008,1000801,1000801-028,1鄰,營盤路,,260巷,,,,2號,120.67250128933,23.946989027741
南投縣南投市營南里11鄰營盤路35巷2號,10008,1000801,1000801-028,11鄰,營盤路,,35巷,,,,2號,120.6774642895,23.942421549974
南投縣南投市營南里10鄰營盤路58巷2號,10008,1000801,1000801-028,10鄰,營盤路,,58巷,,,,2號,120.67769865974,23.942990903498
南投縣南投市營南里10鄰營盤路58巷22弄2號,10008,1000801,1000801-028,10鄰,營盤路,,58巷,22弄,,,2號,120.67814044158,23.943118243494
南投縣南投市營南里11鄰營盤路13巷2號,10008,1000801,1000801-028,11鄰,營盤路,,13巷,,,,2號,120.67787749284,23.94218764872
南投縣南投市營南里10鄰營盤路2號,10008,1000801,1000801-028,10鄰,營盤路,,,,,,2號,120.67845670035,23.942360423666
南投縣南投市營南里8鄰營盤路114巷2號,10008,1000801,1000801-028,8鄰,營盤路,,114巷,,,,2號,120.67665574949,23.943602720984
南投縣南投市營南里6鄰營盤路151巷25弄2號,10008,1000801,1000801-028,6鄰,營盤路,,151巷,25弄,,,2號,120.67367641724,23.944607729577
南投縣南投市營南里5鄰營盤路187巷1弄2號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,1弄,,,2號,120.67355691073,23.945248573272
南投縣南投市營南里6鄰營盤路151巷5弄2號,10008,1000801,1000801-028,6鄰,營盤路,,151巷,5弄,,,2號,120.67414819545,23.944527465237
南投縣南投市營南里4鄰營盤路245巷2號,10008,1000801,1000801-028,4鄰,營盤路,,245巷,,,,2號,120.67287608277,23.946411935793
南投縣南投市營南里5鄰營盤路151巷2號,10008,1000801,1000801-028,5鄰,營盤路,,151巷,,,,2號,120.67451102074,23.94479912086
南投縣南投市營南里4鄰營盤路235巷2號,10008,1000801,1000801-028,4鄰,營盤路,,235巷,,,,2號,120.6728471782,23.946186135677
南投縣南投市營南里3鄰營盤路151巷85弄2號,10008,1000801,1000801-028,3鄰,營盤路,,151巷,85弄,,,2號,120.6723273193,23.945850934444
南投縣南投市營南里4鄰營盤路151巷79弄2號,10008,1000801,1000801-028,4鄰,營盤路,,151巷,79弄,,,2號,120.67250459432,23.945679751225
南投縣南投市營南里2鄰營盤路261巷3號,10008,1000801,1000801-028,2鄰,營盤路,,261巷,,,,3號,120.67226615947,23.946726669504
南投縣南投市營南里2鄰營盤路151巷99弄3號,10008,1000801,1000801-028,2鄰,營盤路,,151巷,99弄,,,3號,120.67186772348,23.946200841269
南投縣南投市營南里4鄰營盤路235巷3號,10008,1000801,1000801-028,4鄰,營盤路,,235巷,,,,3號,120.67299511586,23.945960712151
南投縣南投市營南里4鄰營盤路245巷3號,10008,1000801,1000801-028,4鄰,營盤路,,245巷,,,,3號,120.67267924913,23.946546959573
南投縣南投市營南里5鄰營盤路187巷1弄3號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,1弄,,,3號,120.67378291984,23.945230994357
南投縣南投市營南里5鄰營盤路187巷2弄3號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,2弄,,,3號,120.67349780462,23.945311654447
南投縣南投市營南里6鄰營盤路151巷25弄3號,10008,1000801,1000801-028,6鄰,營盤路,,151巷,25弄,,,3號,120.67366666091,23.944580620216
南投縣南投市營南里7鄰營盤路115巷3號,10008,1000801,1000801-028,7鄰,營盤路,,115巷,,,,3號,120.67501920552,23.943716019336
南投縣南投市營南里8鄰營盤路114巷3號,10008,1000801,1000801-028,8鄰,營盤路,,114巷,,,,3號,120.67651789292,23.943728844394
南投縣南投市營南里9鄰營盤路57巷3號,10008,1000801,1000801-028,9鄰,營盤路,,57巷,,,,3號,120.67720834292,23.942627969619
南投縣南投市營南里9鄰營盤路57巷18弄3號,10008,1000801,1000801-028,9鄰,營盤路,,57巷,18弄,,,3號,120.67692268133,23.942457703851
南投縣南投市營南里10鄰營盤路58巷22弄3號,10008,1000801,1000801-028,10鄰,營盤路,,58巷,22弄,,,3號,120.67805137271,23.943379913754
南投縣南投市營南里11鄰營盤路35巷3號,10008,1000801,1000801-028,11鄰,營盤路,,35巷,,,,3號,120.67760214376,23.942295425668
南投縣南投市營南里11鄰營盤路3號,10008,1000801,1000801-028,11鄰,營盤路,,,,,,3號,120.67834903598,23.942197666362
南投縣南投市營南里1鄰營盤路260巷3號,10008,1000801,1000801-028,1鄰,營盤路,,260巷,,,,3號,120.67289320959,23.947607212646
南投縣南投市營南里1鄰營盤路190巷3號,10008,1000801,1000801-028,1鄰,營盤路,,190巷,,,,3號,120.67377114279,23.946007510079
南投縣南投市營南里11鄰營盤路35巷3之1號,10008,1000801,1000801-028,11鄰,營盤路,,35巷,,,,3之1號,120.6777076142,23.942194064556
南投縣南投市營南里7鄰營盤路115巷3之1號,10008,1000801,1000801-028,7鄰,營盤路,,115巷,,,,3之1號,120.67499812302,23.943660804202
南投縣南投市營南里1鄰營盤路260巷3之25號,10008,1000801,1000801-028,1鄰,營盤路,,260巷,,,,3之25號,120.673894114,23.94887383794
南投縣南投市營南里7鄰營盤路115巷5號,10008,1000801,1000801-028,7鄰,營盤路,,115巷,,,,5號,120.67485786417,23.943607955415
南投縣南投市營南里6鄰營盤路151巷25弄5號,10008,1000801,1000801-028,6鄰,營盤路,,151巷,25弄,,,5號,120.6736569273,23.944544481358
南投縣南投市營南里5鄰營盤路187巷2弄5號,10008,1000801,1000801-028,5鄰,營盤路,,187巷,2弄,,,5號,120.6734682629,23.945338680279
南投縣南投市營南里4鄰營盤路245巷5號,10008,1000801,1000801-028,4鄰,營盤路,,245巷,,,,5號,120.67264001905,23.946519787339
南投縣南投市營南里4鄰營盤路235巷5號,10008,1000801,1000801-028,4鄰,營盤路,,235巷,,,,5號,120.67295588589,23.945933539997
