FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣埔里鎮牛眠里15鄰牛眠四巷2號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,2號,120.97555473962,23.992711585376
南投縣埔里鎮牛眠里15鄰牛眠四巷2之1號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,2之1號,120.97560416185,23.992785635853
南投縣埔里鎮牛眠里15鄰牛眠四巷3號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,3號,120.97586595554,23.992954620828
南投縣埔里鎮牛眠里15鄰牛眠四巷4號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,4號,120.97576025874,23.992657891956
南投縣埔里鎮牛眠里15鄰牛眠四巷5號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5號,120.9759496565,23.992619546031
南投縣埔里鎮牛眠里15鄰牛眠四巷5之1號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5之1號,120.97601390948,23.992748227699
南投縣埔里鎮牛眠里15鄰牛眠四巷5之2號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5之2號,120.97592988544,23.992706949325
南投縣埔里鎮牛眠里15鄰牛眠四巷5之3號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5之3號,120.97610196011,23.992806030796
南投縣埔里鎮牛眠里15鄰牛眠四巷5之5號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5之5號,120.97609452225,23.992634738384
南投縣埔里鎮牛眠里15鄰牛眠四巷5之6號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,5之6號,120.9760346615,23.9926705765
南投縣埔里鎮牛眠里15鄰牛眠四巷7號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,7號,120.97627715152,23.993060963209
南投縣埔里鎮牛眠里15鄰牛眠四巷7之1號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,7之1號,120.97611294618,23.992923055944
南投縣埔里鎮牛眠里15鄰牛眠四巷7之2號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,7之2號,120.9763265957,23.99301799002
南投縣埔里鎮牛眠里15鄰牛眠四巷7之5號,10008,1000802,1000802-026,15鄰,牛眠四巷,,,,,,7之5號,120.97595332177,23.992993552067
南投縣埔里鎮牛眠里11鄰牛眠四巷8號,10008,1000802,1000802-026,11鄰,牛眠四巷,,,,,,8號,120.97612968746,23.993276025063
