FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣草屯鎮玉峰里1鄰玉屏路211巷1號,10008,1000803,1000803-001,1鄰,玉屏路,,211巷,,,,1號,120.6875474026,23.980995425067
南投縣草屯鎮玉峰里6鄰玉屏路189之3號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之3號,120.6896629044,23.982807155792
南投縣草屯鎮玉峰里6鄰玉屏路189之5號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之5號,120.68956943656,23.982769945706
南投縣草屯鎮玉峰里6鄰玉屏路189之6號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之6號,120.68951753571,23.982733993527
南投縣草屯鎮玉峰里6鄰玉屏路189之7號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之7號,120.68942363451,23.982836559277
南投縣草屯鎮玉峰里6鄰玉屏路189之8號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之8號,120.68920258829,23.982848030584
南投縣草屯鎮玉峰里6鄰玉屏路189之9號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之9號,120.68923650907,23.982800333196
南投縣草屯鎮玉峰里6鄰玉屏路189之10號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之10號,120.68927307758,23.982754988835
南投縣草屯鎮玉峰里6鄰玉屏路189之11號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之11號,120.6894084626,23.982688354317
南投縣草屯鎮玉峰里6鄰玉屏路189之12號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之12號,120.6893616203,23.982673992854
南投縣草屯鎮玉峰里6鄰玉屏路189之13號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之13號,120.68933040373,23.982659572724
南投縣草屯鎮玉峰里6鄰玉屏路189之15號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,189之15號,120.68928897819,23.982640346273
南投縣草屯鎮玉峰里6鄰玉屏路190號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,190號,120.68818396627,23.982280626102
南投縣草屯鎮玉峰里6鄰玉屏路191號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,191號,120.68827000587,23.982300665869
南投縣草屯鎮玉峰里6鄰玉屏路192號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,192號,120.68811995424,23.982458738493
南投縣草屯鎮玉峰里6鄰玉屏路193號,10008,1000803,1000803-001,6鄰,玉屏路,,,,,,193號,120.68820716627,23.982481670121
南投縣草屯鎮玉峰里1鄰玉屏路203號,10008,1000803,1000803-001,1鄰,玉屏路,,,,,,203號,120.68755268111,23.98112934345
南投縣草屯鎮玉峰里1鄰玉屏路209號,10008,1000803,1000803-001,1鄰,玉屏路,,,,,,209號,120.687460054,23.981070282384
南投縣草屯鎮玉峰里3鄰玉屏路210號,10008,1000803,1000803-001,3鄰,玉屏路,,,,,,210號,120.68717809272,23.981280546798
南投縣草屯鎮玉峰里1鄰玉屏路213號,10008,1000803,1000803-001,1鄰,玉屏路,,,,,,213號,120.68738099204,23.981009804181
