FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
南投縣南投市平山里2鄰竹林路三街11巷1號,10008,1000801,1000801-023,2鄰,竹林路三街,,11巷,,,,1號,120.67426357576,23.921568612887
南投縣南投市平山里2鄰竹林路三街2號,10008,1000801,1000801-023,2鄰,竹林路三街,,,,,,2號,120.67426664726,23.921401391723
南投縣南投市平山里2鄰竹林路三街6號,10008,1000801,1000801-023,2鄰,竹林路三街,,,,,,6號,120.67429252532,23.92142293694
南投縣南投市平山里2鄰竹林路三街8號,10008,1000801,1000801-023,2鄰,竹林路三街,,,,,,8號,120.67433933752,23.921439831129
南投縣南投市平山里2鄰竹林路三街11巷15號,10008,1000801,1000801-023,2鄰,竹林路三街,,11巷,,,,15號,120.67411733401,23.921874134503
南投縣南投市平山里2鄰竹林路三街11巷17號,10008,1000801,1000801-023,2鄰,竹林路三街,,11巷,,,,17號,120.67408598373,23.921919486778
南投縣南投市平山里5鄰竹林路三街36號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,36號,120.67526602931,23.921866994213
南投縣南投市平山里5鄰竹林路三街38號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,38號,120.67529200585,23.921888539471
南投縣南投市平山里5鄰竹林路三街40號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,40號,120.67532831411,23.921902973187
南投縣南投市平山里5鄰竹林路三街42號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,42號,120.67535683849,23.9219269618
南投縣南投市平山里5鄰竹林路三街46號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,46號,120.67538800916,23.921953303685
南投縣南投市平山里5鄰竹林路三街48號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,48號,120.67541389947,23.921970063068
南投縣南投市平山里5鄰竹林路三街50號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,50號,120.67544508211,23.921991619294
南投縣南投市平山里5鄰竹林路三街56號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,56號,120.67552550934,23.922039555529
南投縣南投市平山里5鄰竹林路三街58號,10008,1000801,1000801-023,5鄰,竹林路三街,,,,,,58號,120.67556964611,23.922065924748
