FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣土庫鎮順天里15鄰三民街1號,10009,1000905,1000905-002,15鄰,三民街,,,,,,1號,120.38864104056,23.672874675433
雲林縣土庫鎮順天里15鄰三民街9號,10009,1000905,1000905-002,15鄰,三民街,,,,,,9號,120.38868248042,23.673022400849
雲林縣土庫鎮順天里15鄰三民街13號,10009,1000905,1000905-002,15鄰,三民街,,,,,,13號,120.38871935896,23.673046330356
雲林縣土庫鎮順天里15鄰三民街15號,10009,1000905,1000905-002,15鄰,三民街,,,,,,15號,120.388698371,23.673077508056
雲林縣土庫鎮順天里13鄰三民街16號,10009,1000905,1000905-002,13鄰,三民街,,,,,,16號,120.38867981045,23.67365119431
雲林縣土庫鎮順天里15鄰三民街17號,10009,1000905,1000905-002,15鄰,三民街,,,,,,17號,120.38869039575,23.673112249618
雲林縣土庫鎮順天里15鄰三民街19號,10009,1000905,1000905-002,15鄰,三民街,,,,,,19號,120.38867524205,23.673149536292
雲林縣土庫鎮順天里15鄰三民街21號,10009,1000905,1000905-002,15鄰,三民街,,,,,,21號,120.38866793332,23.673180090743
雲林縣土庫鎮順天里15鄰三民街23號,10009,1000905,1000905-002,15鄰,三民街,,,,,,23號,120.38866257274,23.673211248835
雲林縣土庫鎮順天里13鄰三民街24號,10009,1000905,1000905-002,13鄰,三民街,,,,,,24號,120.38860072028,23.673792881848
雲林縣土庫鎮順天里15鄰三民街25號,10009,1000905,1000905-002,15鄰,三民街,,,,,,25號,120.38865589709,23.673244803614
雲林縣土庫鎮順天里13鄰三民街26號,10009,1000905,1000905-002,13鄰,三民街,,,,,,26號,120.38856473285,23.673819711265
雲林縣土庫鎮順天里15鄰三民街27號,10009,1000905,1000905-002,15鄰,三民街,,,,,,27號,120.38864724439,23.673283967008
雲林縣土庫鎮順天里15鄰三民街29號,10009,1000905,1000905-002,15鄰,三民街,,,,,,29號,120.38856696818,23.673307641885
雲林縣土庫鎮順天里15鄰三民街31號,10009,1000905,1000905-002,15鄰,三民街,,,,,,31號,120.38856159921,23.673340596831
雲林縣土庫鎮順天里13鄰三民街32號,10009,1000905,1000905-002,13鄰,三民街,,,,,,32號,120.38847615135,23.673934209238
雲林縣土庫鎮順天里15鄰三民街33號,10009,1000905,1000905-002,15鄰,三民街,,,,,,33號,120.38853855059,23.673378475375
雲林縣土庫鎮順天里13鄰三民街34號,10009,1000905,1000905-002,13鄰,三民街,,,,,,34號,120.38847879031,23.67397176477
雲林縣土庫鎮順天里15鄰三民街35號,10009,1000905,1000905-002,15鄰,三民街,,,,,,35號,120.38852733292,23.673408418436
雲林縣土庫鎮順天里15鄰三民街39號,10009,1000905,1000905-002,15鄰,三民街,,,,,,39號,120.38851527089,23.673478657311
雲林縣土庫鎮順天里15鄰三民街41號,10009,1000905,1000905-002,15鄰,三民街,,,,,,41號,120.38850469767,23.673519691274
雲林縣土庫鎮順天里15鄰三民街43號,10009,1000905,1000905-002,15鄰,三民街,,,,,,43號,120.38847358518,23.673541799368
雲林縣土庫鎮順天里15鄰三民街45號,10009,1000905,1000905-002,15鄰,三民街,,,,,,45號,120.38845244456,23.673567829551
雲林縣土庫鎮順天里15鄰三民街47號,10009,1000905,1000905-002,15鄰,三民街,,,,,,47號,120.38843366747,23.673595792367
雲林縣土庫鎮順天里15鄰三民街49號,10009,1000905,1000905-002,15鄰,三民街,,,,,,49號,120.38842219284,23.673632488552
雲林縣土庫鎮順天里15鄰三民街53號,10009,1000905,1000905-002,15鄰,三民街,,,,,,53號,120.3883878032,23.673680435463
雲林縣土庫鎮順天里15鄰三民街55號,10009,1000905,1000905-002,15鄰,三民街,,,,,,55號,120.38836457359,23.67370451602
雲林縣土庫鎮順天里15鄰三民街59號,10009,1000905,1000905-002,15鄰,三民街,,,,,,59號,120.3883253396,23.673771676858
雲林縣土庫鎮順天里15鄰三民街63號,10009,1000905,1000905-002,15鄰,三民街,,,,,,63號,120.38829777207,23.67383886569
雲林縣土庫鎮順天里15鄰三民街65號,10009,1000905,1000905-002,15鄰,三民街,,,,,,65號,120.38827297706,23.673872773296
雲林縣北港鎮公舘里3鄰三民街1號,10009,1000906,1000906-011,3鄰,三民街,,,,,,1號,120.30548373566,23.570313894215
雲林縣北港鎮公舘里4鄰三民街2號,10009,1000906,1000906-011,4鄰,三民街,,,,,,2號,120.30564685761,23.570379545988
雲林縣北港鎮公舘里3鄰三民街3號,10009,1000906,1000906-011,3鄰,三民街,,,,,,3號,120.30541201964,23.570345358048
雲林縣北港鎮公舘里4鄰三民街4號,10009,1000906,1000906-011,4鄰,三民街,,,,,,4號,120.30548221724,23.570518805768
雲林縣北港鎮公舘里3鄰三民街5號,10009,1000906,1000906-011,3鄰,三民街,,,,,,5號,120.30534088139,23.570404789182
雲林縣北港鎮公舘里4鄰三民街6號,10009,1000906,1000906-011,4鄰,三民街,,,,,,6號,120.30542285328,23.570606281386
雲林縣北港鎮公舘里3鄰三民街7號,10009,1000906,1000906-011,3鄰,三民街,,,,,,7號,120.30532110292,23.57045324406
雲林縣北港鎮公舘里3鄰三民街7之1號,10009,1000906,1000906-011,3鄰,三民街,,,,,,7之1號,120.30527621805,23.570456817839
雲林縣北港鎮公舘里3鄰三民街9號,10009,1000906,1000906-011,3鄰,三民街,,,,,,9號,120.30521793111,23.570494102502
雲林縣北港鎮公舘里4鄰三民街10號,10009,1000906,1000906-011,4鄰,三民街,,,,,,10號,120.30531274322,23.570653203882
雲林縣北港鎮公舘里4鄰三民街12號,10009,1000906,1000906-011,4鄰,三民街,,,,,,12號,120.30521822992,23.570621647301
雲林縣崙背鄉南陽村20鄰三民街52號,10009,1000912,1000912-003,20鄰,三民街,,,,,,52號,120.35057019791,23.758028935043
雲林縣崙背鄉南陽村20鄰三民街70號,10009,1000912,1000912-003,20鄰,三民街,,,,,,70號,120.32976321759,23.806183036107
雲林縣崙背鄉崙前村9鄰三民街1號,10009,1000912,1000912-004,9鄰,三民街,,,,,,1號,120.35185836839,23.757287688315
雲林縣崙背鄉崙前村9鄰三民街2號,10009,1000912,1000912-004,9鄰,三民街,,,,,,2號,120.35193060448,23.757465122428
雲林縣崙背鄉崙前村9鄰三民街3號,10009,1000912,1000912-004,9鄰,三民街,,,,,,3號,120.35180303081,23.757311239797
雲林縣崙背鄉崙前村9鄰三民街4號,10009,1000912,1000912-004,9鄰,三民街,,,,,,4號,120.35187464524,23.757485429747
雲林縣崙背鄉崙前村9鄰三民街5號,10009,1000912,1000912-004,9鄰,三民街,,,,,,5號,120.35174909579,23.757332864838
雲林縣崙背鄉崙前村9鄰三民街6號,10009,1000912,1000912-004,9鄰,三民街,,,,,,6號,120.35181868448,23.757508021496
雲林縣崙背鄉崙前村9鄰三民街7號,10009,1000912,1000912-004,9鄰,三民街,,,,,,7號,120.35169295593,23.757353993016
雲林縣崙背鄉崙前村9鄰三民街8號,10009,1000912,1000912-004,9鄰,三民街,,,,,,8號,120.35176643185,23.757530628781
雲林縣崙背鄉崙前村9鄰三民街9號,10009,1000912,1000912-004,9鄰,三民街,,,,,,9號,120.35163902087,23.757375618018
雲林縣崙背鄉崙前村9鄰三民街10號,10009,1000912,1000912-004,9鄰,三民街,,,,,,10號,120.35170430097,23.75754520352
雲林縣崙背鄉崙前村9鄰三民街11號,10009,1000912,1000912-004,9鄰,三民街,,,,,,11號,120.35153117297,23.75741437138
雲林縣崙背鄉崙前村9鄰三民街12號,10009,1000912,1000912-004,9鄰,三民街,,,,,,12號,120.35165702192,23.757567831636
雲林縣崙背鄉崙前村9鄰三民街15號,10009,1000912,1000912-004,9鄰,三民街,,,,,,15號,120.35141808511,23.757455369066
雲林縣崙背鄉崙前村9鄰三民街17號,10009,1000912,1000912-004,9鄰,三民街,,,,,,17號,120.35136414039,23.757478926236
雲林縣崙背鄉崙前村9鄰三民街18號,10009,1000912,1000912-004,9鄰,三民街,,,,,,18號,120.35146179845,23.757675239541
雲林縣崙背鄉崙前村9鄰三民街19號,10009,1000912,1000912-004,9鄰,三民街,,,,,,19號,120.35131161439,23.757499274851
雲林縣崙背鄉崙前村9鄰三民街21號,10009,1000912,1000912-004,9鄰,三民街,,,,,,21號,120.35125766968,23.757522822953
