FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗南鎮西岐里37鄰八德街31巷1號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,1號,120.47268597639,23.681444921448
雲林縣斗南鎮西岐里37鄰八德街1號,10009,1000902,1000902-002,37鄰,八德街,,,,,,1號,120.47350437084,23.681526038082
雲林縣斗南鎮西岐里37鄰八德街31巷2號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,2號,120.47268351247,23.681411467085
雲林縣斗南鎮西岐里37鄰八德街31巷3號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,3號,120.47268626406,23.681373253773
雲林縣斗南鎮西岐里37鄰八德街138巷3號,10009,1000902,1000902-002,37鄰,八德街,,138巷,,,,3號,120.46997516847,23.68153874267
雲林縣斗南鎮西岐里37鄰八德街5號,10009,1000902,1000902-002,37鄰,八德街,,,,,,5號,120.47335734967,23.68151425114
雲林縣斗南鎮西岐里37鄰八德街31巷5號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,5號,120.47268379056,23.681342183216
雲林縣斗南鎮西岐里37鄰八德街31巷6號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,6號,120.4726864942,23.68131591602
雲林縣斗南鎮西岐里37鄰八德街6號,10009,1000902,1000902-002,37鄰,八德街,,,,,,6號,120.47344238717,23.681655493738
雲林縣斗南鎮西岐里37鄰八德街31巷7號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,7號,120.47268658053,23.681294407591
雲林縣斗南鎮西岐里37鄰八德街31巷8號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,8號,120.47269704949,23.68127055067
雲林縣斗南鎮西岐里37鄰八德街31巷9號,10009,1000902,1000902-002,37鄰,八德街,,31巷,,,,9號,120.47269971478,23.681253836756
雲林縣斗南鎮西岐里37鄰八德街12號,10009,1000902,1000902-002,37鄰,八德街,,,,,,12號,120.4730317987,23.681646331808
雲林縣斗南鎮西岐里37鄰八德街14號,10009,1000902,1000902-002,37鄰,八德街,,,,,,14號,120.47297790328,23.681638924678
雲林縣斗南鎮西岐里37鄰八德街16號,10009,1000902,1000902-002,37鄰,八德街,,,,,,16號,120.47292565062,23.681588632089
雲林縣斗南鎮西岐里37鄰八德街17號,10009,1000902,1000902-002,37鄰,八德街,,,,,,17號,120.47306992839,23.681428845981
雲林縣斗南鎮西岐里37鄰八德街18號,10009,1000902,1000902-002,37鄰,八德街,,,,,,18號,120.4728800745,23.681584865112
雲林縣斗南鎮西岐里37鄰八德街30號,10009,1000902,1000902-002,37鄰,八德街,,,,,,30號,120.47261014284,23.681595179164
雲林縣斗南鎮西岐里37鄰八德街32號,10009,1000902,1000902-002,37鄰,八德街,,,,,,32號,120.47255047308,23.681594975977
雲林縣斗南鎮西岐里37鄰八德街33號,10009,1000902,1000902-002,37鄰,八德街,,,,,,33號,120.47265991882,23.681473502
雲林縣斗南鎮西岐里37鄰八德街35號,10009,1000902,1000902-002,37鄰,八德街,,,,,,35號,120.47259229005,23.681467853918
雲林縣斗南鎮西岐里37鄰八德街36號,10009,1000902,1000902-002,37鄰,八德街,,,,,,36號,120.47248560739,23.681599531776
雲林縣斗南鎮西岐里37鄰八德街37號,10009,1000902,1000902-002,37鄰,八德街,,,,,,37號,120.47253916048,23.681391823597
雲林縣斗南鎮西岐里37鄰八德街38號,10009,1000902,1000902-002,37鄰,八德街,,,,,,38號,120.47243890888,23.681599372723
雲林縣斗南鎮西岐里37鄰八德街39號,10009,1000902,1000902-002,37鄰,八德街,,,,,,39號,120.47249701237,23.681388971151
雲林縣斗南鎮西岐里37鄰八德街41號,10009,1000902,1000902-002,37鄰,八德街,,,,,,41號,120.47244441008,23.681425813724
雲林縣斗南鎮西岐里37鄰八德街43號,10009,1000902,1000902-002,37鄰,八德街,,,,,,43號,120.47239784816,23.681423397702
雲林縣斗南鎮西岐里37鄰八德街45號,10009,1000902,1000902-002,37鄰,八德街,,,,,,45號,120.47235619425,23.681419553635
雲林縣斗南鎮西岐里37鄰八德街47號,10009,1000902,1000902-002,37鄰,八德街,,,,,,47號,120.4722782455,23.681420191043
雲林縣斗南鎮西岐里37鄰八德街71號,10009,1000902,1000902-002,37鄰,八德街,,,,,,71號,120.47201652925,23.681403948647
雲林縣斗南鎮西岐里37鄰八德街72號,10009,1000902,1000902-002,37鄰,八德街,,,,,,72號,120.47196290127,23.681573975484
雲林縣斗南鎮西岐里37鄰八德街78號,10009,1000902,1000902-002,37鄰,八德街,,,,,,78號,120.47184510474,23.681609241123
雲林縣斗南鎮西岐里37鄰八德街80號,10009,1000902,1000902-002,37鄰,八德街,,,,,,80號,120.47179067018,23.681614021824
雲林縣斗南鎮西岐里37鄰八德街81號,10009,1000902,1000902-002,37鄰,八德街,,,,,,81號,120.47168374196,23.6813847545
雲林縣斗南鎮西岐里37鄰八德街82號,10009,1000902,1000902-002,37鄰,八德街,,,,,,82號,120.47172695953,23.681609289694
雲林縣斗南鎮西岐里37鄰八德街83號,10009,1000902,1000902-002,37鄰,八德街,,,,,,83號,120.4716430609,23.681382809795
雲林縣斗南鎮西岐里37鄰八德街84號,10009,1000902,1000902-002,37鄰,八德街,,,,,,84號,120.47167011017,23.681605032426
雲林縣斗南鎮西岐里37鄰八德街86號,10009,1000902,1000902-002,37鄰,八德街,,,,,,86號,120.47159169652,23.681599347118
雲林縣斗南鎮西岐里37鄰八德街88號,10009,1000902,1000902-002,37鄰,八德街,,,,,,88號,120.47153091087,23.681598688246
雲林縣斗南鎮西岐里37鄰八德街89號,10009,1000902,1000902-002,37鄰,八德街,,,,,,89號,120.47147058132,23.681362807499
雲林縣斗南鎮西岐里37鄰八德街90號,10009,1000902,1000902-002,37鄰,八德街,,,,,,90號,120.47145396971,23.681592556408
雲林縣斗南鎮西岐里37鄰八德街92號,10009,1000902,1000902-002,37鄰,八德街,,,,,,92號,120.47139613266,23.681590101608
雲林縣斗南鎮西岐里37鄰八德街93號,10009,1000902,1000902-002,37鄰,八德街,,,,,,93號,120.47135541218,23.68135428774
雲林縣斗南鎮西岐里37鄰八德街94號,10009,1000902,1000902-002,37鄰,八德街,,,,,,94號,120.47134722134,23.681562394121
雲林縣斗南鎮西岐里37鄰八德街96號,10009,1000902,1000902-002,37鄰,八德街,,,,,,96號,120.47129477856,23.68155950621
雲林縣斗南鎮西岐里37鄰八德街117號,10009,1000902,1000902-002,37鄰,八德街,,,,,,117號,120.47023920919,23.681343250277
雲林縣斗南鎮西岐里37鄰八德街120號,10009,1000902,1000902-002,37鄰,八德街,,,,,,120號,120.47073916771,23.681483113709
雲林縣斗南鎮西岐里37鄰八德街121號,10009,1000902,1000902-002,37鄰,八德街,,,,,,121號,120.47014817568,23.681306368652
雲林縣斗南鎮西岐里37鄰八德街122號,10009,1000902,1000902-002,37鄰,八德街,,,,,,122號,120.47068819018,23.681481585053
雲林縣斗南鎮西岐里37鄰八德街131號,10009,1000902,1000902-002,37鄰,八德街,,,,,,131號,120.46988391151,23.681241353629
雲林縣斗南鎮西岐里37鄰八德街132號,10009,1000902,1000902-002,37鄰,八德街,,,,,,132號,120.47041065413,23.681498244244
雲林縣斗南鎮西岐里37鄰八德街133號,10009,1000902,1000902-002,37鄰,八德街,,,,,,133號,120.46981254531,23.681238671341
雲林縣斗南鎮西岐里37鄰八德街134號,10009,1000902,1000902-002,37鄰,八德街,,,,,,134號,120.47034988857,23.68149261865
雲林縣斗南鎮西岐里37鄰八德街166號,10009,1000902,1000902-002,37鄰,八德街,,,,,,166號,120.46905735341,23.681420019183
雲林縣斗南鎮西岐里37鄰八德街167號,10009,1000902,1000902-002,37鄰,八德街,,,,,,167號,120.46904058862,23.681201443285
雲林縣斗南鎮西岐里37鄰八德街168號,10009,1000902,1000902-002,37鄰,八德街,,,,,,168號,120.46901275793,23.681416254432
雲林縣斗南鎮西岐里37鄰八德街170號,10009,1000902,1000902-002,37鄰,八德街,,,,,,170號,120.46896519923,23.68141789732
雲林縣斗南鎮西岐里37鄰八德街172號,10009,1000902,1000902-002,37鄰,八德街,,,,,,172號,120.46892061288,23.681411875152
雲林縣斗南鎮西岐里37鄰八德街174號,10009,1000902,1000902-002,37鄰,八德街,,,,,,174號,120.4688686787,23.681404473322
雲林縣斗南鎮西岐里37鄰八德街176號,10009,1000902,1000902-002,37鄰,八德街,,,,,,176號,120.46880987414,23.681398853849
雲林縣虎尾鎮西安里26鄰八德街99巷1號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,1號,120.42917714845,23.699780894658
雲林縣虎尾鎮西安里30鄰八德街150巷2號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,2號,120.42858180999,23.699245769724
雲林縣虎尾鎮西安里26鄰八德街99巷2號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,2號,120.42895532741,23.699783688364
雲林縣虎尾鎮西安里26鄰八德街99巷3號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,3號,120.42917177982,23.69982033432
雲林縣虎尾鎮西安里30鄰八德街150巷4號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,4號,120.42853672157,23.699241539948
雲林縣虎尾鎮西安里26鄰八德街99巷5號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,5號,120.42916256103,23.699865719336
雲林縣虎尾鎮西安里26鄰八德街99巷6號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,6號,120.42895134448,23.699820153353
雲林縣虎尾鎮西安里30鄰八德街150巷6號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,6號,120.42849163904,23.699235955738
雲林縣虎尾鎮西安里26鄰八德街99巷7號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,7號,120.4291532862,23.699901442446
雲林縣虎尾鎮西安里8鄰八德街8號,10009,1000903,1000903-006,8鄰,八德街,,,,,,8號,120.42798115039,23.70231777647
雲林縣虎尾鎮西安里30鄰八德街150巷8號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,8號,120.42844998065,23.699232190081
雲林縣虎尾鎮西安里26鄰八德街99巷8號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,8號,120.42894597067,23.699860766838
雲林縣虎尾鎮西安里26鄰八德街99巷9號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,9號,120.42914143556,23.699943205904
雲林縣虎尾鎮西安里30鄰八德街150巷10號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,10號,120.42840636505,23.699227514225
雲林縣虎尾鎮西安里26鄰八德街99巷10號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,10號,120.4289432444,23.69990139009
雲林縣虎尾鎮西安里8鄰八德街10號,10009,1000903,1000903-006,8鄰,八德街,,,,,,10號,120.42799407909,23.702276287995
雲林縣虎尾鎮西安里26鄰八德街99巷11號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,11號,120.42912960534,23.699980274032
雲林縣虎尾鎮西安里8鄰八德街12號,10009,1000903,1000903-006,8鄰,八德街,,,,,,12號,120.42800798051,23.702236609037
雲林縣虎尾鎮西安里26鄰八德街99巷12號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,12號,120.42894042007,23.69994201298
雲林縣虎尾鎮西安里30鄰八德街150巷12號,10009,1000903,1000903-006,30鄰,八德街,,150巷,,,,12號,120.42835784269,23.699223723198
雲林縣虎尾鎮西安里26鄰八德街99巷13號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,13號,120.42912423197,23.700020797228
雲林縣虎尾鎮西安里8鄰八德街14號,10009,1000903,1000903-006,8鄰,八德街,,,,,,14號,120.42802233876,23.702204606943
雲林縣虎尾鎮西安里26鄰八德街99巷15號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,15號,120.42910847983,23.700057760594
雲林縣虎尾鎮西安里26鄰八德街99巷16號,10009,1000903,1000903-006,26鄰,八德街,,99巷,,,,16號,120.4289402539,23.699980207677
雲林縣虎尾鎮西安里8鄰八德街16號,10009,1000903,1000903-006,8鄰,八德街,,,,,,16號,120.42803378672,23.702165370397
