FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗南鎮西岐里21鄰大安路24巷1號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,1號,120.47268407174,23.677361100877
雲林縣斗南鎮西岐里42鄰大安路86巷1號,10009,1000902,1000902-002,42鄰,大安路,,86巷,,,,1號,120.47254637779,23.678959158871
雲林縣斗南鎮西岐里21鄰大安路2號,10009,1000902,1000902-002,21鄰,大安路,,,,,,2號,120.4724797764,23.676866390672
雲林縣斗南鎮西岐里21鄰大安路24巷2號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,2號,120.47277220594,23.677191552294
雲林縣斗南鎮西岐里42鄰大安路86巷3號,10009,1000902,1000902-002,42鄰,大安路,,86巷,,,,3號,120.47260000224,23.67896051532
雲林縣斗南鎮西岐里21鄰大安路21巷3號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,3號,120.47208285955,23.677194170917
雲林縣斗南鎮西岐里21鄰大安路21巷4號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,4號,120.47220685119,23.677324169545
雲林縣斗南鎮西岐里21鄰大安路24巷4號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,4號,120.47283582031,23.677219760847
雲林縣斗南鎮西岐里42鄰大安路4號,10009,1000902,1000902-002,42鄰,大安路,,,,,,4號,120.47247663943,23.676915140346
雲林縣斗南鎮西岐里21鄰大安路24巷5號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,5號,120.47280086832,23.67737856454
雲林縣斗南鎮西岐里21鄰大安路24巷6號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,6號,120.47287895113,23.677221713558
雲林縣斗南鎮西岐里21鄰大安路21巷6號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,6號,120.4721656848,23.677321320371
雲林縣斗南鎮西岐里21鄰大安路24巷7號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,7號,120.47283958372,23.677381405205
雲林縣斗南鎮西岐里21鄰大安路24巷8號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,8號,120.47292060952,23.677224112731
雲林縣斗南鎮西岐里21鄰大安路8號,10009,1000902,1000902-002,21鄰,大安路,,,,,,8號,120.47247627149,23.677006790503
雲林縣斗南鎮西岐里21鄰大安路24巷9號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,9號,120.47288222076,23.677384259204
雲林縣斗南鎮西岐里21鄰大安路21巷9號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,9號,120.47189350294,23.677191132618
雲林縣斗南鎮西岐里21鄰大安路24巷10號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,10號,120.47296766199,23.67722607876
雲林縣斗南鎮西岐里21鄰大安路24巷12號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,12號,120.47301177684,23.677227131812
雲林縣斗南鎮西岐里21鄰大安路21巷12號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,12號,120.47203285541,23.677316804347
雲林縣斗南鎮西岐里21鄰大安路24巷14號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,14號,120.47305147804,23.677228621322
雲林縣斗南鎮西岐里21鄰大安路21巷16號,10009,1000902,1000902-002,21鄰,大安路,,21巷,,,,16號,120.47199168178,23.677315761042
雲林縣斗南鎮西岐里21鄰大安路24巷16號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,16號,120.47309656969,23.677230580642
雲林縣斗南鎮西岐里21鄰大安路24巷18號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,18號,120.47313724587,23.677233427901
雲林縣斗南鎮西岐里21鄰大安路24巷20號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,20號,120.47317694707,23.677234917379
雲林縣斗南鎮西岐里42鄰大安路20號,10009,1000902,1000902-002,42鄰,大安路,,,,,,20號,120.47245518481,23.677130786709
雲林縣斗南鎮西岐里21鄰大安路22號,10009,1000902,1000902-002,21鄰,大安路,,,,,,22號,120.47244923254,23.677172573927
雲林縣斗南鎮西岐里21鄰大安路24巷23號,10009,1000902,1000902-002,21鄰,大安路,,24巷,,,,23號,120.4731815646,23.677428168574
雲林縣斗南鎮西岐里42鄰大安路27號,10009,1000902,1000902-002,42鄰,大安路,,,,,,27號,120.47228290323,23.677551073986
雲林縣斗南鎮西岐里42鄰大安路60巷27號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,27號,120.47274474693,23.67841498249
雲林縣斗南鎮西岐里42鄰大安路60巷28號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,28號,120.47277648267,23.678324793566
雲林縣斗南鎮西岐里42鄰大安路28號,10009,1000902,1000902-002,42鄰,大安路,,,,,,28號,120.47243909705,23.677474853603
雲林縣斗南鎮西岐里21鄰大安路28之1號,10009,1000902,1000902-002,21鄰,大安路,,,,,,28之1號,120.47243278299,23.677557905292
雲林縣斗南鎮西岐里42鄰大安路29號,10009,1000902,1000902-002,42鄰,大安路,,,,,,29號,120.47227929047,23.677596210152
雲林縣斗南鎮西岐里42鄰大安路60巷29號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,29號,120.47279620265,23.678419220988
雲林縣斗南鎮西岐里42鄰大安路60巷30號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,30號,120.47282646229,23.678330381484
雲林縣斗南鎮西岐里42鄰大安路30號,10009,1000902,1000902-002,42鄰,大安路,,,,,,30號,120.47243087323,23.677594017567
雲林縣斗南鎮西岐里42鄰大安路60巷31號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,31號,120.4728396538,23.678463614368
雲林縣斗南鎮西岐里21鄰大安路31號,10009,1000902,1000902-002,21鄰,大安路,,,,,,31號,120.47227156588,23.677664267734
雲林縣斗南鎮西岐里42鄰大安路32號,10009,1000902,1000902-002,42鄰,大安路,,,,,,32號,120.47242923584,23.677635548587
雲林縣斗南鎮西岐里42鄰大安路33號,10009,1000902,1000902-002,42鄰,大安路,,,,,,33號,120.47224698257,23.67790448221
雲林縣斗南鎮西岐里42鄰大安路60巷33號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,33號,120.47287395943,23.678465988536
雲林縣斗南鎮西岐里42鄰大安路60巷36號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,36號,120.47293847272,23.67827026369
雲林縣斗南鎮西岐里42鄰大安路60巷37號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,37號,120.47296461024,23.67847577817
雲林縣斗南鎮西岐里42鄰大安路60巷39號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,39號,120.47300920848,23.678478638812
雲林縣斗南鎮西岐里42鄰大安路39號,10009,1000902,1000902-002,42鄰,大安路,,,,,,39號,120.47225154524,23.678059790435
雲林縣斗南鎮西岐里42鄰大安路60巷40號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,40號,120.47308890176,23.678287028906
雲林縣斗南鎮西岐里42鄰大安路60巷41號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,41號,120.47306900323,23.678481551135
雲林縣斗南鎮西岐里42鄰大安路41號,10009,1000902,1000902-002,42鄰,大安路,,,,,,41號,120.47224742229,23.67810989119
雲林縣斗南鎮西岐里42鄰大安路60巷42號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,42號,120.47314035925,23.67829081581
雲林縣斗南鎮西岐里42鄰大安路60巷43號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,43號,120.47311801156,23.678484878232
雲林縣斗南鎮西岐里42鄰大安路43號,10009,1000902,1000902-002,42鄰,大安路,,,,,,43號,120.47224478446,23.678156385127
雲林縣斗南鎮西岐里42鄰大安路43之1號,10009,1000902,1000902-002,42鄰,大安路,,,,,,43之1號,120.47223871518,23.678202867373
雲林縣斗南鎮西岐里42鄰大安路60巷46號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,46號,120.47323980476,23.67830785895
雲林縣斗南鎮西岐里21鄰大安路46號,10009,1000902,1000902-002,21鄰,大安路,,,,,,46號,120.47265605223,23.678176766183
雲林縣斗南鎮西岐里42鄰大安路47號,10009,1000902,1000902-002,42鄰,大安路,,,,,,47號,120.47212025197,23.678282827994
雲林縣斗南鎮西岐里42鄰大安路60巷50號,10009,1000902,1000902-002,42鄰,大安路,,60巷,,,,50號,120.47328815451,23.678353171834
雲林縣斗南鎮西岐里42鄰大安路51號,10009,1000902,1000902-002,42鄰,大安路,,,,,,51號,120.47216493044,23.67838772469
雲林縣斗南鎮西岐里42鄰大安路57號,10009,1000902,1000902-002,42鄰,大安路,,,,,,57號,120.47219210015,23.678580059444
雲林縣斗南鎮西岐里21鄰大安路75號,10009,1000902,1000902-002,21鄰,大安路,,,,,,75號,120.47218509606,23.678859233694
雲林縣斗南鎮西岐里42鄰大安路77號,10009,1000902,1000902-002,42鄰,大安路,,,,,,77號,120.47219367719,23.67891967158
雲林縣斗南鎮西岐里42鄰大安路88號,10009,1000902,1000902-002,42鄰,大安路,,,,,,88號,120.47234339519,23.67894275589
雲林縣斗南鎮西岐里21鄰大安路90號,10009,1000902,1000902-002,21鄰,大安路,,,,,,90號,120.47233839239,23.678992221567
雲林縣斗南鎮西岐里42鄰大安路92號,10009,1000902,1000902-002,42鄰,大安路,,,,,,92號,120.47233688853,23.679024903933
