FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣水林鄉松西村7鄰後厝路1號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,1號,120.22218227391,23.514373102784
雲林縣水林鄉松西村7鄰後厝路1之6號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,1之6號,120.22304503439,23.514587645506
雲林縣水林鄉松西村8鄰後厝路2號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,2號,120.2230071764,23.514786703219
雲林縣水林鄉松西村7鄰後厝路2之1號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,2之1號,120.22225842466,23.514913280122
雲林縣水林鄉松西村7鄰後厝路3號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,3號,120.22327309537,23.515250425396
雲林縣水林鄉松西村7鄰後厝路4號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,4號,120.2230588287,23.514941845248
雲林縣水林鄉松西村7鄰後厝路5號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,5號,120.22344994793,23.515183377967
雲林縣水林鄉松西村7鄰後厝路6號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,6號,120.22373513294,23.515053636305
雲林縣水林鄉松西村7鄰後厝路7號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,7號,120.22335851352,23.514917578852
雲林縣水林鄉松西村3鄰後厝路7之1號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,7之1號,120.22340294827,23.514850909369
雲林縣水林鄉松西村3鄰後厝路7之2號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,7之2號,120.22339037235,23.51478633936
雲林縣水林鄉松西村7鄰後厝路8號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,8號,120.22350059609,23.514646587489
雲林縣水林鄉松西村7鄰後厝路9號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,9號,120.22392055555,23.5147271752
雲林縣水林鄉松西村7鄰後厝路9之1號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,9之1號,120.2237434125,23.514506512342
雲林縣水林鄉松西村7鄰後厝路10號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,10號,120.22390267885,23.514836894784
雲林縣水林鄉松西村7鄰後厝路11號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,11號,120.22414030066,23.515130483702
雲林縣水林鄉松西村7鄰後厝路12號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,12號,120.22412508859,23.515258393122
雲林縣水林鄉松西村8鄰後厝路13號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,13號,120.22424336799,23.515416602712
雲林縣水林鄉松西村8鄰後厝路14號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,14號,120.2240767347,23.515597880954
雲林縣水林鄉松西村7鄰後厝路15號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,15號,120.22406257099,23.514766520487
雲林縣水林鄉松西村7鄰後厝路16號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,16號,120.22448716269,23.514591312806
雲林縣水林鄉松西村7鄰後厝路16之1號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,16之1號,120.22449504185,23.514710578588
雲林縣水林鄉松西村7鄰後厝路16之2號,10009,1000920,1000920-020,7鄰,後厝路,,,,,,16之2號,120.22449482426,23.514637383749
雲林縣水林鄉松西村6鄰後厝路17號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,17號,120.22428013125,23.514901025469
雲林縣水林鄉松西村8鄰後厝路18號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,18號,120.22435031439,23.515077370565
雲林縣水林鄉松西村8鄰後厝路19號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,19號,120.22459637981,23.515111508882
雲林縣水林鄉松西村8鄰後厝路20號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,20號,120.2244057659,23.515274599901
雲林縣水林鄉松西村8鄰後厝路21號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,21號,120.22451017351,23.515477445635
雲林縣水林鄉松西村8鄰後厝路22號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,22號,120.22470250068,23.515438194646
雲林縣水林鄉松西村5鄰後厝路23號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23號,120.22506804529,23.515501162563
雲林縣水林鄉松西村5鄰後厝路23之2號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23之2號,120.22488821386,23.515406377954
雲林縣水林鄉松西村5鄰後厝路23之3號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23之3號,120.22488051237,23.515367097074
雲林縣水林鄉松西村5鄰後厝路23之4號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23之4號,120.22487177349,23.515326050263
雲林縣水林鄉松西村5鄰後厝路23之5號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23之5號,120.22486752295,23.515294416553
雲林縣水林鄉松西村5鄰後厝路23之10號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,23之10號,120.2250902384,23.515354795201
雲林縣水林鄉松西村5鄰後厝路24號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,24號,120.22479749971,23.515068879336
雲林縣水林鄉松西村5鄰後厝路24之1號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,24之1號,120.22508680555,23.515118176091
雲林縣水林鄉松西村6鄰後厝路25號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,25號,120.22489449054,23.514961404527
雲林縣水林鄉松西村6鄰後厝路26號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,26號,120.22493282949,23.514877105601
雲林縣水林鄉松西村6鄰後厝路27號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,27號,120.22494826677,23.514650350406
雲林縣水林鄉松西村6鄰後厝路28號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,28號,120.22472463451,23.51461632435
雲林縣水林鄉松西村6鄰後厝路29號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,29號,120.22482783376,23.514246119748
雲林縣水林鄉松西村6鄰後厝路30號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,30號,120.22464710726,23.514212541942
雲林縣水林鄉松西村6鄰後厝路30之1號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,30之1號,120.22432713258,23.51399995426
雲林縣水林鄉松西村6鄰後厝路30之2號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,30之2號,120.22463698559,23.514171885531
雲林縣水林鄉松西村6鄰後厝路30之6號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,30之6號,120.22514895374,23.51392184947
雲林縣水林鄉松西村6鄰後厝路31號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,31號,120.22472315558,23.513870464782
雲林縣水林鄉松西村6鄰後厝路32號,10009,1000920,1000920-020,6鄰,後厝路,,,,,,32號,120.22487401613,23.513700060113
雲林縣水林鄉松西村5鄰後厝路33號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,33號,120.22535710182,23.515099493376
雲林縣水林鄉松西村5鄰後厝路33之1號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,33之1號,120.22549671746,23.51500686717
雲林縣水林鄉松西村5鄰後厝路33之2號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,33之2號,120.22532965203,23.514949402609
雲林縣水林鄉松西村5鄰後厝路34號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,34號,120.22541278065,23.515266492488
雲林縣水林鄉松西村5鄰後厝路35號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,35號,120.22551083103,23.515289192963
雲林縣水林鄉松西村5鄰後厝路36號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,36號,120.22537926691,23.515490123865
雲林縣水林鄉松西村5鄰後厝路37號,10009,1000920,1000920-020,5鄰,後厝路,,,,,,37號,120.2255649526,23.51538095886
雲林縣水林鄉松西村4鄰後厝路38號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,38號,120.2254507836,23.515646366254
雲林縣水林鄉松西村4鄰後厝路39號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,39號,120.22522513527,23.515715602132
雲林縣水林鄉松西村4鄰後厝路40號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,40號,120.22509444908,23.515640882201
雲林縣水林鄉松西村8鄰後厝路41號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,41號,120.22484419977,23.515637126407
雲林縣水林鄉松西村8鄰後厝路42號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,42號,120.22471293575,23.515731382785
雲林縣水林鄉松西村8鄰後厝路43號,10009,1000920,1000920-020,8鄰,後厝路,,,,,,43號,120.22465601538,23.516216321712
雲林縣水林鄉松西村4鄰後厝路44號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,44號,120.22569869336,23.515785643407
雲林縣水林鄉松西村3鄰後厝路47號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,47號,120.22562080838,23.516045172489
雲林縣水林鄉松西村3鄰後厝路47之1號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,47之1號,120.22547187886,23.516024088124
雲林縣水林鄉松西村3鄰後厝路47之2號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,47之2號,120.22547879053,23.515992528012
雲林縣水林鄉松西村3鄰後厝路48號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,48號,120.22584942507,23.516081271804
雲林縣水林鄉松西村4鄰後厝路49號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,49號,120.22613736631,23.515838425919
雲林縣水林鄉松西村4鄰後厝路50號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,50號,120.22367449833,23.517455787778
雲林縣水林鄉松西村4鄰後厝路51號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,51號,120.22606963659,23.515985677758
雲林縣水林鄉松西村4鄰後厝路52號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,52號,120.22607626567,23.516091230359
雲林縣水林鄉松西村3鄰後厝路53號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,53號,120.2257866634,23.516268034549
雲林縣水林鄉松西村2鄰後厝路54號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,54號,120.22548385286,23.516258709015
雲林縣水林鄉松西村3鄰後厝路55號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,55號,120.22555499745,23.51646024186
雲林縣水林鄉松西村3鄰後厝路56號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,56號,120.22585272841,23.516447455664
雲林縣水林鄉松西村3鄰後厝路57號,10009,1000920,1000920-020,3鄰,後厝路,,,,,,57號,120.2261122482,23.516364797736
雲林縣水林鄉松西村4鄰後厝路58號,10009,1000920,1000920-020,4鄰,後厝路,,,,,,58號,120.22637782683,23.516324391779
雲林縣水林鄉松西村1鄰後厝路59號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,59號,120.22712188439,23.516507919869
雲林縣水林鄉松西村1鄰後厝路59之1號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,59之1號,120.22704091489,23.516378710996
雲林縣水林鄉松西村1鄰後厝路60號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,60號,120.22686348038,23.516416314153
雲林縣水林鄉松西村1鄰後厝路61號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,61號,120.22696243164,23.516727675788
雲林縣水林鄉松西村1鄰後厝路62號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,62號,120.2269460907,23.51700575083
雲林縣水林鄉松西村1鄰後厝路63號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,63號,120.22661906811,23.516485874223
雲林縣水林鄉松西村1鄰後厝路64號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,64號,120.22670120826,23.516687867523
雲林縣水林鄉松西村1鄰後厝路65號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,65號,120.22644302335,23.516501767661
雲林縣水林鄉松西村1鄰後厝路66號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,66號,120.22648978698,23.516805628573
雲林縣水林鄉松西村1鄰後厝路67號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,67號,120.22608801304,23.51657756764
雲林縣水林鄉松西村1鄰後厝路67之1號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,67之1號,120.22617324598,23.516622191032
雲林縣水林鄉松西村1鄰後厝路67之2號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,67之2號,120.22620025268,23.516585258829
雲林縣水林鄉松西村1鄰後厝路68號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,68號,120.22634136794,23.517025465719
雲林縣水林鄉松西村1鄰後厝路68之1號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,68之1號,120.22660817958,23.51708766862
雲林縣水林鄉松西村1鄰後厝路69號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,69號,120.22581050926,23.516775037469
雲林縣水林鄉松西村1鄰後厝路70號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,70號,120.22558361129,23.516660849813
雲林縣水林鄉松西村1鄰後厝路71號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,71號,120.22580190327,23.516866942862
雲林縣水林鄉松西村1鄰後厝路72號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,72號,120.22602440424,23.516892510141
雲林縣水林鄉松西村2鄰後厝路73號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,73號,120.2252805734,23.516487735245
雲林縣水林鄉松西村2鄰後厝路74號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,74號,120.22525521304,23.516608081673
雲林縣水林鄉松西村2鄰後厝路74之1號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,74之1號,120.22521210668,23.516712185881
雲林縣水林鄉松西村2鄰後厝路75號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,75號,120.22508093383,23.516529722602
雲林縣水林鄉松西村2鄰後厝路76號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,76號,120.22506407578,23.516647871974
雲林縣水林鄉松西村2鄰後厝路77號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,77號,120.22486809992,23.516565774793
雲林縣水林鄉松西村2鄰後厝路78號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,78號,120.22489020464,23.516705554312
雲林縣水林鄉松西村2鄰後厝路78之20號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,78之20號,120.22430721424,23.51699557953
雲林縣水林鄉松西村2鄰後厝路78之36號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,78之36號,120.22407234835,23.517074907955
雲林縣水林鄉松西村1鄰後厝路79之6號,10009,1000920,1000920-020,1鄰,後厝路,,,,,,79之6號,120.2249381903,23.517562826298
雲林縣水林鄉松西村2鄰後厝路86號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,86號,120.22094859407,23.517287297575
雲林縣水林鄉松西村2鄰後厝路86之1號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,86之1號,120.22302564482,23.516977541595
雲林縣水林鄉松西村2鄰後厝路86之20號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,86之20號,120.22099228586,23.517347246779
雲林縣水林鄉松西村2鄰後厝路86之100號,10009,1000920,1000920-020,2鄰,後厝路,,,,,,86之100號,120.21323832491,23.524788504376
