FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣斗六市長平里2鄰忠潭路1號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,1號,120.50471959552,23.703440351315
雲林縣斗六市長平里4鄰忠潭路45巷1號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,1號,120.50469538857,23.704683662873
雲林縣斗六市長平里2鄰忠潭路1之1號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,1之1號,120.50453679618,23.703547219641
雲林縣斗六市長平里5鄰忠潭路1之2號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之2號,120.50454440183,23.703595029137
雲林縣斗六市長平里5鄰忠潭路1之3號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之3號,120.50455553916,23.70362168433
雲林縣斗六市長平里5鄰忠潭路1之6號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之6號,120.50428492835,23.703652232177
雲林縣斗六市長平里5鄰忠潭路1之10號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之10號,120.5043207359,23.703788523689
雲林縣斗六市長平里5鄰忠潭路1之11號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之11號,120.50430149967,23.703818711562
雲林縣斗六市長平里5鄰忠潭路1之12號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之12號,120.5042802971,23.703850247588
雲林縣斗六市長平里5鄰忠潭路1之13號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之13號,120.5042610438,23.703884950248
雲林縣斗六市長平里5鄰忠潭路1之14號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之14號,120.50423983779,23.703917389227
雲林縣斗六市長平里5鄰忠潭路1之15號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之15號,120.50425824434,23.703977044169
雲林縣斗六市長平里5鄰忠潭路1之16號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之16號,120.50424776539,23.704025319472
雲林縣斗六市長平里5鄰忠潭路1之17號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之17號,120.50425833727,23.704082240411
雲林縣斗六市長平里5鄰忠潭路1之18號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之18號,120.50423515464,23.704118736419
雲林縣斗六市長平里5鄰忠潭路1之19號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之19號,120.50421048743,23.704158839546
雲林縣斗六市長平里5鄰忠潭路1之20號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之20號,120.50413592305,23.704168533341
雲林縣斗六市長平里5鄰忠潭路1之21號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之21號,120.50396344717,23.704138182681
雲林縣斗六市長平里5鄰忠潭路1之22號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之22號,120.503988615,23.70409537229
雲林縣斗六市長平里5鄰忠潭路1之23號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之23號,120.50401278342,23.704057525024
雲林縣斗六市長平里5鄰忠潭路1之24號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之24號,120.50403646153,23.704019676183
雲林縣斗六市長平里5鄰忠潭路1之25號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之25號,120.50406063675,23.703980022992
雲林縣斗六市長平里5鄰忠潭路1之26號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之26號,120.50408530055,23.703940822847
雲林縣斗六市長平里5鄰忠潭路1之27號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,1之27號,120.5041109569,23.703898465484
雲林縣斗六市長平里4鄰忠潭路45巷2號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,2號,120.50468375575,23.704647958352
雲林縣斗六市長平里2鄰忠潭路2號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,2號,120.504753604,23.703679295589
雲林縣斗六市長平里2鄰忠潭路2之1號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,2之1號,120.50464358575,23.703573296083
雲林縣斗六市長平里2鄰忠潭路3號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,3號,120.50496993305,23.703652447059
雲林縣斗六市長平里4鄰忠潭路45巷3號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,3號,120.50467065882,23.704610443206
雲林縣斗六市長平里4鄰忠潭路45巷4號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,4號,120.5046590243,23.704575190162
雲林縣斗六市長平里4鄰忠潭路45巷5號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,5號,120.50464837212,23.704539488777
雲林縣斗六市長平里2鄰忠潭路5號,10009,1000901,1000901-021,2鄰,忠潭路,,,,,,5號,120.50521000453,23.703830648226
雲林縣斗六市長平里4鄰忠潭路45巷6號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,6號,120.5046352718,23.704502876586
雲林縣斗六市長平里5鄰忠潭路6號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,6號,120.50457397627,23.703725223656
雲林縣斗六市長平里5鄰忠潭路6之1號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,6之1號,120.50456594729,23.703773958311
雲林縣斗六市長平里5鄰忠潭路6之2號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,6之2號,120.50457509438,23.703818684582
雲林縣斗六市長平里5鄰忠潭路7號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,7號,120.50448953208,23.703884327457
雲林縣斗六市長平里4鄰忠潭路45巷7號,10009,1000901,1000901-021,4鄰,忠潭路,,45巷,,,,7號,120.50462462133,23.70446672372
雲林縣斗六市長平里5鄰忠潭路7之1號,10009,1000901,1000901-021,5鄰,忠潭路,,,,,,7之1號,120.5047180928,23.704124345939
