FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣西螺鎮中興里2鄰西興路42巷1弄1號,10009,1000904,1000904-009,2鄰,西興路,,42巷,1弄,,,1號,120.4553475141,23.802483143191
雲林縣西螺鎮中興里3鄰西興路59巷1弄1號,10009,1000904,1000904-009,3鄰,西興路,,59巷,1弄,,,1號,120.4543794753,23.80234825293
雲林縣西螺鎮中興里4鄰西興路1之1號,10009,1000904,1000904-009,4鄰,西興路,,,,,,1之1號,120.45508659834,23.800829726941
雲林縣西螺鎮中興里4鄰西興路1之2號,10009,1000904,1000904-009,4鄰,西興路,,,,,,1之2號,120.45504403376,23.800917614578
雲林縣西螺鎮中興里1鄰西興路2號,10009,1000904,1000904-009,1鄰,西興路,,,,,,2號,120.45527601069,23.800826783933
雲林縣西螺鎮中興里4鄰西興路21巷2號,10009,1000904,1000904-009,4鄰,西興路,,21巷,,,,2號,120.4548059332,23.801393984336
雲林縣西螺鎮中興里3鄰西興路59巷2號,10009,1000904,1000904-009,3鄰,西興路,,59巷,,,,2號,120.45477208924,23.802213836666
雲林縣西螺鎮中興里3鄰西興路59巷1弄2號,10009,1000904,1000904-009,3鄰,西興路,,59巷,1弄,,,2號,120.45450553054,23.802360075861
雲林縣西螺鎮中興里2鄰西興路42巷2弄2號,10009,1000904,1000904-009,2鄰,西興路,,42巷,2弄,,,2號,120.45539820454,23.801976313819
雲林縣西螺鎮中興里2鄰西興路42巷1弄2號,10009,1000904,1000904-009,2鄰,西興路,,42巷,1弄,,,2號,120.45545640205,23.80249346002
雲林縣西螺鎮中興里1鄰西興路2之1號,10009,1000904,1000904-009,1鄰,西興路,,,,,,2之1號,120.45526843042,23.800879579951
雲林縣西螺鎮中興里3鄰西興路59巷2之1號,10009,1000904,1000904-009,3鄰,西興路,,59巷,,,,2之1號,120.45472698137,23.80220555068
雲林縣西螺鎮中興里1鄰西興路2之2號,10009,1000904,1000904-009,1鄰,西興路,,,,,,2之2號,120.45526285047,23.800923353496
雲林縣西螺鎮中興里2鄰西興路42巷1弄3號,10009,1000904,1000904-009,2鄰,西興路,,42巷,1弄,,,3號,120.45534082285,23.802558064694
雲林縣西螺鎮中興里3鄰西興路59巷1弄3號,10009,1000904,1000904-009,3鄰,西興路,,59巷,1弄,,,3號,120.45437480089,23.802410088696
雲林縣西螺鎮中興里4鄰西興路21巷4號,10009,1000904,1000904-009,4鄰,西興路,,21巷,,,,4號,120.45476914813,23.80139024254
雲林縣西螺鎮中興里3鄰西興路59巷1弄4號,10009,1000904,1000904-009,3鄰,西興路,,59巷,1弄,,,4號,120.45449396792,23.802426402044
雲林縣西螺鎮中興里2鄰西興路42巷2弄4號,10009,1000904,1000904-009,2鄰,西興路,,42巷,2弄,,,4號,120.45539998902,23.801901374987
雲林縣西螺鎮中興里2鄰西興路42巷1弄4號,10009,1000904,1000904-009,2鄰,西興路,,42巷,1弄,,,4號,120.45544970334,23.802570187409
雲林縣西螺鎮中興里1鄰西興路4號,10009,1000904,1000904-009,1鄰,西興路,,,,,,4號,120.45525778189,23.800962162601
雲林縣西螺鎮中興里2鄰西興路42巷1弄5號,10009,1000904,1000904-009,2鄰,西興路,,42巷,1弄,,,5號,120.45533560174,23.802633442863
雲林縣西螺鎮中興里2鄰西興路42巷5號,10009,1000904,1000904-009,2鄰,西興路,,42巷,,,,5號,120.45521443225,23.802273639655
雲林縣西螺鎮中興里3鄰西興路59巷1弄5號,10009,1000904,1000904-009,3鄰,西興路,,59巷,1弄,,,5號,120.45436375301,23.802470637787
