FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
雲林縣古坑鄉高林村1鄰高林1號,10009,1000907,1000907-003,1鄰,高林,,,,,,1號,120.57249199557,23.672883815998
雲林縣古坑鄉高林村1鄰高林2號,10009,1000907,1000907-003,1鄰,高林,,,,,,2號,120.57224217918,23.672826690283
雲林縣古坑鄉高林村1鄰高林2之1號,10009,1000907,1000907-003,1鄰,高林,,,,,,2之1號,120.57219932362,23.672920752662
雲林縣古坑鄉高林村1鄰高林3號,10009,1000907,1000907-003,1鄰,高林,,,,,,3號,120.57217147701,23.672710913753
雲林縣古坑鄉高林村1鄰高林5號,10009,1000907,1000907-003,1鄰,高林,,,,,,5號,120.57212382675,23.672410631945
雲林縣古坑鄉高林村1鄰高林6號,10009,1000907,1000907-003,1鄰,高林,,,,,,6號,120.57211959579,23.672355087051
雲林縣古坑鄉高林村1鄰高林6之1號,10009,1000907,1000907-003,1鄰,高林,,,,,,6之1號,120.57211484965,23.672307216055
雲林縣古坑鄉高林村1鄰高林7號,10009,1000907,1000907-003,1鄰,高林,,,,,,7號,120.57212867708,23.672155463465
雲林縣古坑鄉高林村1鄰高林9號,10009,1000907,1000907-003,1鄰,高林,,,,,,9號,120.57187671732,23.671492703193
雲林縣古坑鄉高林村1鄰高林9之3號,10009,1000907,1000907-003,1鄰,高林,,,,,,9之3號,120.5719070962,23.67140646233
雲林縣古坑鄉高林村1鄰高林10號,10009,1000907,1000907-003,1鄰,高林,,,,,,10號,120.57180405203,23.671889542288
雲林縣古坑鄉高林村1鄰高林10之1號,10009,1000907,1000907-003,1鄰,高林,,,,,,10之1號,120.57180405203,23.671889542288
雲林縣古坑鄉高林村1鄰高林10之3號,10009,1000907,1000907-003,1鄰,高林,,,,,,10之3號,120.5718061492,23.671697213543
雲林縣古坑鄉高林村1鄰高林10之6號,10009,1000907,1000907-003,1鄰,高林,,,,,,10之6號,120.57180541886,23.671620458303
雲林縣古坑鄉高林村1鄰高林11號,10009,1000907,1000907-003,1鄰,高林,,,,,,11號,120.57181755548,23.672017892929
雲林縣古坑鄉高林村1鄰高林12號,10009,1000907,1000907-003,1鄰,高林,,,,,,12號,120.57182740257,23.672215311358
雲林縣古坑鄉高林村1鄰高林13號,10009,1000907,1000907-003,1鄰,高林,,,,,,13號,120.57198245243,23.672591559633
雲林縣古坑鄉高林村1鄰高林13之1號,10009,1000907,1000907-003,1鄰,高林,,,,,,13之1號,120.57194868064,23.672304680202
雲林縣古坑鄉高林村1鄰高林14號,10009,1000907,1000907-003,1鄰,高林,,,,,,14號,120.57181146531,23.672472887222
雲林縣古坑鄉高林村1鄰高林15號,10009,1000907,1000907-003,1鄰,高林,,,,,,15號,120.57185777572,23.672612435157
雲林縣古坑鄉高林村1鄰高林16號,10009,1000907,1000907-003,1鄰,高林,,,,,,16號,120.57188362192,23.672743980316
雲林縣古坑鄉高林村1鄰高林17號,10009,1000907,1000907-003,1鄰,高林,,,,,,17號,120.57191882386,23.672922867417
雲林縣古坑鄉高林村3鄰高林18號,10009,1000907,1000907-003,3鄰,高林,,,,,,18號,120.57174449552,23.673167544417
雲林縣古坑鄉高林村2鄰高林19號,10009,1000907,1000907-003,2鄰,高林,,,,,,19號,120.57172755461,23.67295078265
雲林縣古坑鄉高林村3鄰高林20號,10009,1000907,1000907-003,3鄰,高林,,,,,,20號,120.571690689,23.672831216627
雲林縣古坑鄉高林村2鄰高林21號,10009,1000907,1000907-003,2鄰,高林,,,,,,21號,120.57163107397,23.672712942165
雲林縣古坑鄉高林村2鄰高林22號,10009,1000907,1000907-003,2鄰,高林,,,,,,22號,120.57163368174,23.672604682199
雲林縣古坑鄉高林村2鄰高林23號,10009,1000907,1000907-003,2鄰,高林,,,,,,23號,120.57160557306,23.672565776385
雲林縣古坑鄉高林村2鄰高林24號,10009,1000907,1000907-003,2鄰,高林,,,,,,24號,120.57157053712,23.672426349851
雲林縣古坑鄉高林村1鄰高林25號,10009,1000907,1000907-003,1鄰,高林,,,,,,25號,120.57158899351,23.671847230152
雲林縣古坑鄉高林村1鄰高林25之3號,10009,1000907,1000907-003,1鄰,高林,,,,,,25之3號,120.5715554137,23.67225365845
雲林縣古坑鄉高林村2鄰高林26號,10009,1000907,1000907-003,2鄰,高林,,,,,,26號,120.57145531817,23.672342957135
雲林縣古坑鄉高林村2鄰高林27號,10009,1000907,1000907-003,2鄰,高林,,,,,,27號,120.5710632001,23.672300425315
雲林縣古坑鄉高林村2鄰高林27之3號,10009,1000907,1000907-003,2鄰,高林,,,,,,27之3號,120.57100093394,23.672393891833
雲林縣古坑鄉高林村2鄰高林28號,10009,1000907,1000907-003,2鄰,高林,,,,,,28號,120.57091556176,23.672477722759
雲林縣古坑鄉高林村2鄰高林29號,10009,1000907,1000907-003,2鄰,高林,,,,,,29號,120.57111211822,23.672511857808
雲林縣古坑鄉高林村2鄰高林30號,10009,1000907,1000907-003,2鄰,高林,,,,,,30號,120.57097427624,23.672691439867
雲林縣古坑鄉高林村3鄰高林32號,10009,1000907,1000907-003,3鄰,高林,,,,,,32號,120.57076733183,23.672655921393
雲林縣古坑鄉高林村3鄰高林33號,10009,1000907,1000907-003,3鄰,高林,,,,,,33號,120.57075757917,23.672760278731
雲林縣古坑鄉高林村3鄰高林34號,10009,1000907,1000907-003,3鄰,高林,,,,,,34號,120.57118794943,23.672647875736
雲林縣古坑鄉高林村2鄰高林35號,10009,1000907,1000907-003,2鄰,高林,,,,,,35號,120.57145137833,23.672559029102
雲林縣古坑鄉高林村3鄰高林36號,10009,1000907,1000907-003,3鄰,高林,,,,,,36號,120.57151108353,23.672739790025
雲林縣古坑鄉高林村3鄰高林37號,10009,1000907,1000907-003,3鄰,高林,,,,,,37號,120.57125508506,23.672774749477
雲林縣古坑鄉高林村3鄰高林38號,10009,1000907,1000907-003,3鄰,高林,,,,,,38號,120.57127998172,23.672956768619
雲林縣古坑鄉高林村3鄰高林39號,10009,1000907,1000907-003,3鄰,高林,,,,,,39號,120.5710614779,23.672918238716
雲林縣古坑鄉高林村3鄰高林40號,10009,1000907,1000907-003,3鄰,高林,,,,,,40號,120.57145276928,23.673184797334
雲林縣古坑鄉高林村3鄰高林40之1號,10009,1000907,1000907-003,3鄰,高林,,,,,,40之1號,120.57145276928,23.673184797334
雲林縣古坑鄉高林村4鄰高林42號,10009,1000907,1000907-003,4鄰,高林,,,,,,42號,120.57101992231,23.673304598608
雲林縣古坑鄉高林村4鄰高林43號,10009,1000907,1000907-003,4鄰,高林,,,,,,43號,120.57105852886,23.673521420415
雲林縣古坑鄉高林村4鄰高林43之2號,10009,1000907,1000907-003,4鄰,高林,,,,,,43之2號,120.57099559629,23.673578585318
雲林縣古坑鄉高林村4鄰高林43之3號,10009,1000907,1000907-003,4鄰,高林,,,,,,43之3號,120.5710275491,23.673551132941
雲林縣古坑鄉高林村4鄰高林44號,10009,1000907,1000907-003,4鄰,高林,,,,,,44號,120.57081359187,23.673170837792
雲林縣古坑鄉高林村4鄰高林45號,10009,1000907,1000907-003,4鄰,高林,,,,,,45號,120.570595288,23.672921010739
雲林縣古坑鄉高林村4鄰高林45之3號,10009,1000907,1000907-003,4鄰,高林,,,,,,45之3號,120.57060966642,23.673021281239
雲林縣古坑鄉高林村4鄰高林46號,10009,1000907,1000907-003,4鄰,高林,,,,,,46號,120.57064134239,23.673228602664
雲林縣古坑鄉高林村4鄰高林47號,10009,1000907,1000907-003,4鄰,高林,,,,,,47號,120.57075127847,23.673338619217
雲林縣古坑鄉高林村4鄰高林50號,10009,1000907,1000907-003,4鄰,高林,,,,,,50號,120.57053960745,23.673309137293
雲林縣古坑鄉高林村4鄰高林51號,10009,1000907,1000907-003,4鄰,高林,,,,,,51號,120.57043710505,23.673474459431
雲林縣古坑鄉高林村9鄰高林53號,10009,1000907,1000907-003,9鄰,高林,,,,,,53號,120.57076466222,23.674493927289
雲林縣古坑鄉高林村4鄰高林54號,10009,1000907,1000907-003,4鄰,高林,,,,,,54號,120.57079925586,23.674258345695
