FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣民雄鄉大崎村6鄰十四甲1號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,1號,120.47113672264,23.51779824645
嘉義縣民雄鄉大崎村6鄰十四甲2號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2號,120.47132669112,23.516818246773
嘉義縣民雄鄉大崎村6鄰十四甲2之19號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之19號,120.47392560089,23.518906178876
嘉義縣民雄鄉大崎村6鄰十四甲2之20號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之20號,120.47489766433,23.522075335532
嘉義縣民雄鄉大崎村6鄰十四甲2之21號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之21號,120.4733246309,23.517381348322
嘉義縣民雄鄉大崎村6鄰十四甲2之28號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之28號,120.47481764404,23.521338317964
嘉義縣民雄鄉大崎村6鄰十四甲2之36號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之36號,120.47458864719,23.520461286009
嘉義縣民雄鄉大崎村6鄰十四甲2之50號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之50號,120.47289643333,23.517228107099
嘉義縣民雄鄉大崎村6鄰十四甲2之51號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之51號,120.47286009916,23.51722924828
嘉義縣民雄鄉大崎村6鄰十四甲2之52號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之52號,120.47283032613,23.517230321368
嘉義縣民雄鄉大崎村6鄰十四甲2之53號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之53號,120.47279790921,23.517231385498
嘉義縣民雄鄉大崎村6鄰十四甲2之55號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之55號,120.47276039529,23.517233696547
嘉義縣民雄鄉大崎村6鄰十四甲2之56號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之56號,120.47272278381,23.517235916957
嘉義縣民雄鄉大崎村6鄰十四甲2之57號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之57號,120.47268654792,23.517236968132
嘉義縣民雄鄉大崎村6鄰十四甲2之58號,10010,1001005,1001005-024,6鄰,十四甲,,,,,,2之58號,120.47265021411,23.517238018967
嘉義縣民雄鄉大崎村17鄰十四甲3號,10010,1001005,1001005-024,17鄰,十四甲,,,,,,3號,120.4712367227,23.515390227004
