FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣竹崎鄉義仁村4鄰双寬潭1號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,1號,120.51624275978,23.499590227812
嘉義縣竹崎鄉義仁村4鄰双寬潭2號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,2號,120.51532771306,23.498886299262
嘉義縣竹崎鄉義仁村4鄰双寬潭2之1號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,2之1號,120.51572367423,23.498749191802
嘉義縣竹崎鄉義仁村4鄰双寬潭2之2號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,2之2號,120.51565075497,23.498662277689
嘉義縣竹崎鄉義仁村4鄰双寬潭2之10號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,2之10號,120.51502291158,23.498165664422
嘉義縣竹崎鄉義仁村4鄰双寬潭3號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,3號,120.51518669521,23.498813350089
嘉義縣竹崎鄉義仁村4鄰双寬潭3之9號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,3之9號,120.51471867381,23.497773269134
嘉義縣竹崎鄉義仁村4鄰双寬潭4號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,4號,120.51552963939,23.498930271005
嘉義縣竹崎鄉義仁村4鄰双寬潭5號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,5號,120.51559675106,23.49894528878
嘉義縣竹崎鄉義仁村4鄰双寬潭6號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,6號,120.51573465795,23.499012268155
嘉義縣竹崎鄉義仁村4鄰双寬潭7號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,7號,120.51594573406,23.499044257979
嘉義縣竹崎鄉義仁村4鄰双寬潭8號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,8號,120.51569668523,23.499195277343
嘉義縣竹崎鄉義仁村4鄰双寬潭9號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,9號,120.5157947706,23.499040267207
嘉義縣竹崎鄉義仁村4鄰双寬潭10號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,10號,120.51584375352,23.499220295872
嘉義縣竹崎鄉義仁村4鄰双寬潭11號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,11號,120.51607967478,23.499071312384
嘉義縣竹崎鄉義仁村4鄰双寬潭12號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,12號,120.51605368355,23.49913724053
嘉義縣竹崎鄉義仁村4鄰双寬潭13號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,13號,120.51614165836,23.499123246462
嘉義縣竹崎鄉義仁村4鄰双寬潭14號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,14號,120.51610571859,23.499232306843
嘉義縣竹崎鄉義仁村4鄰双寬潭15號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,15號,120.5166686678,23.499108267157
嘉義縣竹崎鄉義仁村4鄰双寬潭16號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,16號,120.51619167032,23.499209276521
嘉義縣竹崎鄉義仁村4鄰双寬潭17號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,17號,120.51624270323,23.499069290281
嘉義縣竹崎鄉義仁村4鄰双寬潭18號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,18號,120.51633973547,23.499095326866
嘉義縣竹崎鄉義仁村4鄰双寬潭19號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,19號,120.51628469199,23.499234307394
嘉義縣竹崎鄉義仁村4鄰双寬潭20號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,20號,120.5164837082,23.499244225992
嘉義縣竹崎鄉義仁村4鄰双寬潭21號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,21號,120.51620572774,23.498979327543
嘉義縣竹崎鄉義仁村4鄰双寬潭22號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,22號,120.51627575761,23.498892315738
嘉義縣竹崎鄉義仁村4鄰双寬潭22之1號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,22之1號,120.51631076914,23.498769256017
嘉義縣竹崎鄉義仁村4鄰双寬潭22之9號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,22之9號,120.51699371854,23.499192260372
嘉義縣竹崎鄉義仁村4鄰双寬潭22之10號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,22之10號,120.51700365167,23.499153281812
嘉義縣竹崎鄉義仁村4鄰双寬潭23號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,23號,120.51897472774,23.500896289496
嘉義縣竹崎鄉義仁村4鄰双寬潭24號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,24號,120.51962566755,23.500701354908
嘉義縣竹崎鄉義仁村4鄰双寬潭25號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,25號,120.51980170222,23.50073133521
嘉義縣竹崎鄉義仁村4鄰双寬潭26號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,26號,120.52026570736,23.500893317112
嘉義縣竹崎鄉義仁村4鄰双寬潭26之2號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,26之2號,120.5204786671,23.501028248003
嘉義縣竹崎鄉義仁村4鄰双寬潭27號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,27號,120.5207997243,23.501027249284
嘉義縣竹崎鄉義仁村4鄰双寬潭28號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,28號,120.52089172359,23.500875287374
嘉義縣竹崎鄉義仁村4鄰双寬潭29號,10010,1001014,1001014-007,4鄰,双寬潭,,,,,,29號,120.5210407086,23.501129306315
