FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣中埔鄉富收村22鄰富和路7巷8號,10010,1001013,1001013-006,22鄰,富和路,,7巷,,,,8號,120.47161466511,23.442310267172
嘉義縣中埔鄉富收村22鄰富和路23號,10010,1001013,1001013-006,22鄰,富和路,,,,,,23號,120.47172667879,23.442666336625
嘉義縣中埔鄉富收村22鄰富和路23附5號,10010,1001013,1001013-006,22鄰,富和路,,,,,,23附5號,120.47194334228,23.44222740077
嘉義縣中埔鄉富收村22鄰富和路25號,10010,1001013,1001013-006,22鄰,富和路,,,,,,25號,120.47161966061,23.44287528896
嘉義縣中埔鄉富收村22鄰富和路27號,10010,1001013,1001013-006,22鄰,富和路,,,,,,27號,120.47154966882,23.443002284203
嘉義縣中埔鄉富收村22鄰富和路27之1號,10010,1001013,1001013-006,22鄰,富和路,,,,,,27之1號,120.47145761849,23.442548307129
嘉義縣中埔鄉富收村22鄰富和路27之2號,10010,1001013,1001013-006,22鄰,富和路,,,,,,27之2號,120.4712557533,23.442883267208
嘉義縣中埔鄉富收村22鄰富和路40號,10010,1001013,1001013-006,22鄰,富和路,,,,,,40號,120.47192064705,23.442791245297
嘉義縣中埔鄉富收村22鄰富和路41號,10010,1001013,1001013-006,22鄰,富和路,,,,,,41號,120.47139566906,23.443335239295
嘉義縣中埔鄉富收村22鄰富和路43號,10010,1001013,1001013-006,22鄰,富和路,,,,,,43號,120.47136762353,23.443398263756
嘉義縣中埔鄉富收村22鄰富和路45號,10010,1001013,1001013-006,22鄰,富和路,,,,,,45號,120.47134660239,23.44344225878
嘉義縣中埔鄉富收村22鄰富和路47號,10010,1001013,1001013-006,22鄰,富和路,,,,,,47號,120.47132766412,23.443479307784
嘉義縣中埔鄉富收村22鄰富和路49號,10010,1001013,1001013-006,22鄰,富和路,,,,,,49號,120.47130468955,23.443522302889
嘉義縣中埔鄉富收村22鄰富和路50號,10010,1001013,1001013-006,22鄰,富和路,,,,,,50號,120.47182967537,23.443001245361
嘉義縣中埔鄉富收村22鄰富和路51號,10010,1001013,1001013-006,22鄰,富和路,,,,,,51號,120.47128465891,23.44356332137
嘉義縣中埔鄉富收村22鄰富和路53號,10010,1001013,1001013-006,22鄰,富和路,,,,,,53號,120.4711106907,23.443503314817
嘉義縣中埔鄉富收村22鄰富和路55號,10010,1001013,1001013-006,22鄰,富和路,,,,,,55號,120.47104462663,23.443479342142
嘉義縣中埔鄉富收村22鄰富和路57號,10010,1001013,1001013-006,22鄰,富和路,,,,,,57號,120.47104366917,23.443572347515
嘉義縣中埔鄉富收村22鄰富和路59號,10010,1001013,1001013-006,22鄰,富和路,,,,,,59號,120.47123372634,23.443647308087
嘉義縣中埔鄉富收村22鄰富和路60號,10010,1001013,1001013-006,22鄰,富和路,,,,,,60號,120.47178780784,23.443070002309
嘉義縣中埔鄉富收村22鄰富和路61號,10010,1001013,1001013-006,22鄰,富和路,,,,,,61號,120.47121466643,23.443690316439
嘉義縣中埔鄉富收村22鄰富和路63號,10010,1001013,1001013-006,22鄰,富和路,,,,,,63號,120.47119561477,23.443731247925
嘉義縣中埔鄉富收村22鄰富和路65號,10010,1001013,1001013-006,22鄰,富和路,,,,,,65號,120.47117666851,23.443770283472
嘉義縣中埔鄉富收村22鄰富和路67號,10010,1001013,1001013-006,22鄰,富和路,,,,,,67號,120.47114568675,23.443833297938
嘉義縣中埔鄉富收村22鄰富和路110號,10010,1001013,1001013-006,22鄰,富和路,,,,,,110號,120.47142966707,23.443793263865
嘉義縣中埔鄉富收村22鄰富和路270號,10010,1001013,1001013-006,22鄰,富和路,,,,,,270號,120.47019166755,23.446211263024
嘉義縣中埔鄉富收村22鄰富和路272號,10010,1001013,1001013-006,22鄰,富和路,,,,,,272號,120.47017261692,23.446276304355
嘉義縣中埔鄉富收村22鄰富和路276號,10010,1001013,1001013-006,22鄰,富和路,,,,,,276號,120.4701566783,23.446346322726
嘉義縣中埔鄉富收村22鄰富和路278號,10010,1001013,1001013-006,22鄰,富和路,,,,,,278號,120.47013869268,23.446414257253
嘉義縣中埔鄉富收村22鄰富和路280號,10010,1001013,1001013-006,22鄰,富和路,,,,,,280號,120.46996266965,23.446721310224
嘉義縣中埔鄉富收村22鄰富和路282號,10010,1001013,1001013-006,22鄰,富和路,,,,,,282號,120.4699427063,23.446794294783
嘉義縣中埔鄉富收村22鄰富和路286號,10010,1001013,1001013-006,22鄰,富和路,,,,,,286號,120.46992364789,23.446861232341
嘉義縣中埔鄉富收村22鄰富和路300號,10010,1001013,1001013-006,22鄰,富和路,,,,,,300號,120.46973568801,23.447363291554
嘉義縣中埔鄉富收村22鄰富和路380號,10010,1001013,1001013-006,22鄰,富和路,,,,,,380號,120.46943668192,23.447953285974
嘉義縣中埔鄉富收村22鄰富和路382號,10010,1001013,1001013-006,22鄰,富和路,,,,,,382號,120.46929970862,23.448088269581
嘉義縣中埔鄉和睦村3鄰富和路498巷21號,10010,1001013,1001013-007,3鄰,富和路,,498巷,,,,21號,120.46929972808,23.449700297203
嘉義縣中埔鄉和睦村3鄰富和路498巷26號,10010,1001013,1001013-007,3鄰,富和路,,498巷,,,,26號,120.46927368395,23.449531258189
嘉義縣中埔鄉和睦村3鄰富和路498巷26附2號,10010,1001013,1001013-007,3鄰,富和路,,498巷,,,,26附2號,120.46965051332,23.449502650161
嘉義縣中埔鄉和睦村3鄰富和路468巷27號,10010,1001013,1001013-007,3鄰,富和路,,468巷,,,,27號,120.46963770846,23.449106281926
嘉義縣中埔鄉和睦村3鄰富和路468巷28號,10010,1001013,1001013-007,3鄰,富和路,,468巷,,,,28號,120.46945869033,23.448912251783
嘉義縣中埔鄉和睦村3鄰富和路468巷30號,10010,1001013,1001013-007,3鄰,富和路,,468巷,,,,30號,120.46965271264,23.448927268907
嘉義縣中埔鄉和睦村3鄰富和路498巷35號,10010,1001013,1001013-007,3鄰,富和路,,498巷,,,,35號,120.4696047207,23.449720206727
嘉義縣中埔鄉和睦村3鄰富和路205號,10010,1001013,1001013-007,3鄰,富和路,,,,,,205號,120.47022543323,23.445474894159
嘉義縣中埔鄉和睦村3鄰富和路277號,10010,1001013,1001013-007,3鄰,富和路,,,,,,277號,120.46915967557,23.447764249999
嘉義縣中埔鄉和睦村3鄰富和路311號,10010,1001013,1001013-007,3鄰,富和路,,,,,,311號,120.46901462234,23.448084229665
嘉義縣中埔鄉和睦村3鄰富和路325號,10010,1001013,1001013-007,3鄰,富和路,,,,,,325號,120.4687338158,23.44845395364
嘉義縣中埔鄉和睦村3鄰富和路363號,10010,1001013,1001013-007,3鄰,富和路,,,,,,363號,120.46837353461,23.449190564272
