FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣竹崎鄉灣橋村26鄰王公園2號,10010,1001014,1001014-008,26鄰,王公園,,,,,,2號,120.49669943847,23.50377256359
嘉義縣竹崎鄉灣橋村26鄰王公園3號,10010,1001014,1001014-008,26鄰,王公園,,,,,,3號,120.49620674998,23.503897660744
嘉義縣竹崎鄉灣橋村26鄰王公園4號,10010,1001014,1001014-008,26鄰,王公園,,,,,,4號,120.49649506814,23.502336055686
嘉義縣竹崎鄉灣橋村26鄰王公園5號,10010,1001014,1001014-008,26鄰,王公園,,,,,,5號,120.49652736078,23.502701691215
嘉義縣竹崎鄉灣橋村26鄰王公園6號,10010,1001014,1001014-008,26鄰,王公園,,,,,,6號,120.49695367885,23.502313607972
嘉義縣竹崎鄉灣橋村26鄰王公園7號,10010,1001014,1001014-008,26鄰,王公園,,,,,,7號,120.49699313455,23.502159684925
嘉義縣竹崎鄉灣橋村26鄰王公園8號,10010,1001014,1001014-008,26鄰,王公園,,,,,,8號,120.49684681315,23.501809212675
嘉義縣竹崎鄉灣橋村26鄰王公園9號,10010,1001014,1001014-008,26鄰,王公園,,,,,,9號,120.4952697499,23.500238232686
嘉義縣竹崎鄉灣橋村26鄰王公園10號,10010,1001014,1001014-008,26鄰,王公園,,,,,,10號,120.49513775092,23.500139288553
嘉義縣竹崎鄉灣橋村26鄰王公園11號,10010,1001014,1001014-008,26鄰,王公園,,,,,,11號,120.49511664716,23.496632268817
嘉義縣竹崎鄉灣橋村26鄰王公園12號,10010,1001014,1001014-008,26鄰,王公園,,,,,,12號,120.49566371977,23.498315231961
嘉義縣竹崎鄉灣橋村26鄰王公園12之1號,10010,1001014,1001014-008,26鄰,王公園,,,,,,12之1號,120.49576373639,23.498070302937
嘉義縣竹崎鄉灣橋村26鄰王公園13號,10010,1001014,1001014-008,26鄰,王公園,,,,,,13號,120.495432728,23.498321166223
嘉義縣竹崎鄉灣橋村26鄰王公園15號,10010,1001014,1001014-008,26鄰,王公園,,,,,,15號,120.49429542492,23.498034481199
嘉義縣竹崎鄉灣橋村26鄰王公園15之1號,10010,1001014,1001014-008,26鄰,王公園,,,,,,15之1號,120.4944286819,23.498008275383
嘉義縣竹崎鄉灣橋村26鄰王公園16號,10010,1001014,1001014-008,26鄰,王公園,,,,,,16號,120.49441661977,23.497859332808
嘉義縣竹崎鄉灣橋村26鄰王公園17號,10010,1001014,1001014-008,26鄰,王公園,,,,,,17號,120.49444033311,23.497392291805
嘉義縣竹崎鄉灣橋村26鄰王公園17之5號,10010,1001014,1001014-008,26鄰,王公園,,,,,,17之5號,120.49424966106,23.498250238111
嘉義縣竹崎鄉灣橋村26鄰王公園18號,10010,1001014,1001014-008,26鄰,王公園,,,,,,18號,120.49430414172,23.497802801663
