FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣中埔鄉中崙村8鄰石壁頭1號,10010,1001013,1001013-022,8鄰,石壁頭,,,,,,1號,120.58215774094,23.352320335452
嘉義縣中埔鄉中崙村8鄰石壁頭2號,10010,1001013,1001013-022,8鄰,石壁頭,,,,,,2號,120.57840275663,23.351524192349
嘉義縣中埔鄉中崙村8鄰石壁頭3號,10010,1001013,1001013-022,8鄰,石壁頭,,,,,,3號,120.57989170465,23.34878925474
嘉義縣中埔鄉中崙村8鄰石壁頭4號,10010,1001013,1001013-022,8鄰,石壁頭,,,,,,4號,120.57842172754,23.345920301571
嘉義縣中埔鄉中崙村9鄰石壁頭6號,10010,1001013,1001013-022,9鄰,石壁頭,,,,,,6號,120.56717476662,23.352208289948
嘉義縣中埔鄉中崙村9鄰石壁頭7號,10010,1001013,1001013-022,9鄰,石壁頭,,,,,,7號,120.57239066176,23.353959213473
嘉義縣中埔鄉中崙村9鄰石壁頭8號,10010,1001013,1001013-022,9鄰,石壁頭,,,,,,8號,120.57361265908,23.349725143703
嘉義縣中埔鄉中崙村9鄰石壁頭9號,10010,1001013,1001013-022,9鄰,石壁頭,,,,,,9號,120.57352773365,23.356285232954
嘉義縣中埔鄉中崙村9鄰石壁頭10號,10010,1001013,1001013-022,9鄰,石壁頭,,,,,,10號,120.57747370727,23.361878286089
嘉義縣中埔鄉中崙村8鄰石壁頭10號,10010,1001013,1001013-022,8鄰,石壁頭,,,,,,10號,120.57747370727,23.361878286089
