FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣中埔鄉石硦村11鄰石硦1號,10010,1001013,1001013-014,11鄰,石硦,,,,,,1號,120.55272570155,23.404348274887
嘉義縣中埔鄉石硦村11鄰石硦1之6號,10010,1001013,1001013-014,11鄰,石硦,,,,,,1之6號,120.55204474628,23.404168251323
嘉義縣中埔鄉石硦村11鄰石硦2號,10010,1001013,1001013-014,11鄰,石硦,,,,,,2號,120.55260964972,23.40470128986
嘉義縣中埔鄉石硦村11鄰石硦2之3號,10010,1001013,1001013-014,11鄰,石硦,,,,,,2之3號,120.55247779873,23.404864266549
嘉義縣中埔鄉石硦村11鄰石硦3號,10010,1001013,1001013-014,11鄰,石硦,,,,,,3號,120.55231379982,23.405538343966
嘉義縣中埔鄉石硦村11鄰石硦4號,10010,1001013,1001013-014,11鄰,石硦,,,,,,4號,120.53862067663,23.414387261923
嘉義縣中埔鄉石硦村11鄰石硦6號,10010,1001013,1001013-014,11鄰,石硦,,,,,,6號,120.5525487367,23.405096271885
嘉義縣中埔鄉石硦村11鄰石硦6之9號,10010,1001013,1001013-014,11鄰,石硦,,,,,,6之9號,120.55335160102,23.405307614948
嘉義縣中埔鄉石硦村11鄰石硦8號,10010,1001013,1001013-014,11鄰,石硦,,,,,,8號,120.55218573638,23.405680291136
嘉義縣中埔鄉石硦村11鄰石硦10號,10010,1001013,1001013-014,11鄰,石硦,,,,,,10號,120.55175276564,23.406325332723
嘉義縣中埔鄉石硦村11鄰石硦11號,10010,1001013,1001013-014,11鄰,石硦,,,,,,11號,120.55153869191,23.40675924598
嘉義縣中埔鄉石硦村11鄰石硦12號,10010,1001013,1001013-014,11鄰,石硦,,,,,,12號,120.55098879147,23.406766245509
嘉義縣中埔鄉石硦村11鄰石硦13號,10010,1001013,1001013-014,11鄰,石硦,,,,,,13號,120.55102574275,23.407124213703
嘉義縣中埔鄉石硦村11鄰石硦14號,10010,1001013,1001013-014,11鄰,石硦,,,,,,14號,120.55073277785,23.408638257534
嘉義縣中埔鄉石硦村12鄰石硦16號,10010,1001013,1001013-014,12鄰,石硦,,,,,,16號,120.55024267955,23.409882275714
嘉義縣中埔鄉石硦村12鄰石硦17號,10010,1001013,1001013-014,12鄰,石硦,,,,,,17號,120.55024773971,23.409398278251
