FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣梅山鄉太和村5鄰社後坪1號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,1號,120.73338480455,23.560206290209
嘉義縣梅山鄉太和村5鄰社後坪2號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,2號,120.73318984707,23.560411298586
嘉義縣梅山鄉太和村5鄰社後坪2號附11,10010,1001015,1001015-017,5鄰,社後坪,,,,,,2號附11,120.74437383852,23.553944264479
嘉義縣梅山鄉太和村5鄰社後坪2號附13,10010,1001015,1001015-017,5鄰,社後坪,,,,,,2號附13,120.74124889305,23.55402127025
嘉義縣梅山鄉太和村5鄰社後坪3號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,3號,120.73313082813,23.560532289941
嘉義縣梅山鄉太和村5鄰社後坪4之1號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,4之1號,120.73357785751,23.562014341711
嘉義縣梅山鄉太和村5鄰社後坪5號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,5號,120.73299581978,23.561028258027
嘉義縣梅山鄉太和村5鄰社後坪5號附2,10010,1001015,1001015-017,5鄰,社後坪,,,,,,5號附2,120.73319281858,23.56097721534
嘉義縣梅山鄉太和村5鄰社後坪5號附3,10010,1001015,1001015-017,5鄰,社後坪,,,,,,5號附3,120.73319979581,23.561160265906
嘉義縣梅山鄉太和村5鄰社後坪5號附5,10010,1001015,1001015-017,5鄰,社後坪,,,,,,5號附5,120.73352683662,23.561132291838
嘉義縣梅山鄉太和村5鄰社後坪6號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,6號,120.7330153291,23.561311382784
嘉義縣梅山鄉太和村5鄰社後坪7號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,7號,120.73294580053,23.56178524933
嘉義縣梅山鄉太和村5鄰社後坪7之8號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,7之8號,120.73282975987,23.561329304691
嘉義縣梅山鄉太和村5鄰社後坪8號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,8號,120.73319683721,23.562043306855
嘉義縣梅山鄉太和村5鄰社後坪9號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,9號,120.73258881527,23.561216286107
嘉義縣梅山鄉太和村5鄰社後坪9號附2,10010,1001015,1001015-017,5鄰,社後坪,,,,,,9號附2,120.7325608487,23.560998253228
嘉義縣梅山鄉太和村5鄰社後坪14號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,14號,120.73283487035,23.562435310722
嘉義縣梅山鄉太和村5鄰社後坪15號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,15號,120.7296677886,23.561365287321
嘉義縣梅山鄉太和村5鄰社後坪16號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,16號,120.73095170114,23.563206568451
嘉義縣梅山鄉太和村5鄰社後坪16之1號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,16之1號,120.73098984512,23.56328429263
嘉義縣梅山鄉太和村5鄰社後坪18號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,18號,120.72987791045,23.562131308051
嘉義縣梅山鄉太和村5鄰社後坪18之1號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,18之1號,120.72982452361,23.562226752921
嘉義縣梅山鄉太和村5鄰社後坪19號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,19號,120.72953382944,23.562203311281
嘉義縣梅山鄉太和村5鄰社後坪20號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,20號,120.72981988271,23.562484281062
嘉義縣梅山鄉太和村5鄰社後坪21號,10010,1001015,1001015-017,5鄰,社後坪,,,,,,21號,120.72992384824,23.562421251536
