FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣朴子市文化里13鄰第二市場四棟1號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,1號,120.24363859084,23.463974231044
嘉義縣朴子市文化里13鄰第二市場四棟2號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,2號,120.2436485756,23.463991255228
嘉義縣朴子市文化里13鄰第二市場四棟3號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,3號,120.24365553796,23.464006187934
嘉義縣朴子市文化里13鄰第二市場四棟4號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,4號,120.24366357081,23.46402220939
嘉義縣朴子市文化里13鄰第二市場四棟5號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,5號,120.243670527,23.464038225624
嘉義縣朴子市文化里13鄰第二市場四棟6號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,6號,120.24367748267,23.464054332153
嘉義縣朴子市文化里13鄰第二市場四棟7號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,7號,120.24368551604,23.464070263313
嘉義縣朴子市文化里13鄰第二市場四棟8號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,8號,120.24369257012,23.464086280022
嘉義縣朴子市文化里13鄰第二市場四棟9號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,9號,120.24369952631,23.464102296255
嘉義縣朴子市文化里13鄰第二市場四棟10號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,10號,120.24371058209,23.464120318892
嘉義縣朴子市文化里13鄰第二市場四棟11號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,11號,120.24371950769,23.464134267851
嘉義縣朴子市文化里13鄰第二市場四棟12號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,12號,120.24367249744,23.463967262028
嘉義縣朴子市文化里13鄰第二市場四棟13號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,13號,120.24367956334,23.463981201972
嘉義縣朴子市文化里13鄰第二市場四棟14號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,14號,120.24368750397,23.463996229717
嘉義縣朴子市文化里13鄰第二市場四棟15號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,15號,120.24369455804,23.464012246425
嘉義縣朴子市文化里13鄰第二市場四棟16號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,16號,120.2437015204,23.464027179128
嘉義縣朴子市文化里13鄰第二市場四棟17號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,17號,120.24370955892,23.464042207346
嘉義縣朴子市文化里13鄰第二市場四棟18號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,18號,120.24371749904,23.464057325384
嘉義縣朴子市文化里13鄰第二市場四棟19號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,19號,120.24372455878,23.464072348855
嘉義縣朴子市文化里13鄰第二市場四棟20號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,20號,120.24373151549,23.464088274793
嘉義縣朴子市文化里13鄰第二市場四棟21號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,21號,120.24373847735,23.464103297789
嘉義縣朴子市文化里13鄰第二市場四棟22號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,22號,120.24374553709,23.46411832126
嘉義縣朴子市文化里13鄰第二市場四棟23號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,23號,120.24370457881,23.463954234281
嘉義縣朴子市文化里13鄰第二市場四棟24號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,24號,120.2437145466,23.463974238168
嘉義縣朴子市文化里13鄰第二市場四棟25號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,25號,120.24372354126,23.463993244073
嘉義縣朴子市文化里13鄰第二市場四棟26號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,26號,120.24373253593,23.464012249978
嘉義縣朴子市文化里13鄰第二市場四棟27號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,27號,120.24374250938,23.464031260628
嘉義縣朴子市文化里13鄰第二市場四棟28號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,28號,120.24375248284,23.464050271278
嘉義縣朴子市文化里13鄰第二市場四棟29號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,29號,120.24376158105,23.46406828442
嘉義縣朴子市文化里13鄰第二市場四棟30號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,30號,120.24377058704,23.464085303852
嘉義縣朴子市文化里13鄰第二市場四棟31號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,31號,120.24374454457,23.463880204232
嘉義縣朴子市文化里13鄰第二市場四棟32號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,32號,120.2437604791,23.46393527214
嘉義縣朴子市文化里13鄰第二市場四棟33號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,33號,120.24377555524,23.463969206472
嘉義縣朴子市文化里13鄰第二市場四棟34號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,34號,120.24379355024,23.46400622504
嘉義縣朴子市文化里13鄰第二市場四棟35號,10010,1001002,1001002-008,13鄰,第二市場四棟,,,,,,35號,120.24381150514,23.464050286549
