FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣大埔鄉茄苳村3鄰茄苳腳2號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,2號,120.58620322049,23.291920544496
嘉義縣大埔鄉茄苳村3鄰茄苳腳3號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,3號,120.58620556459,23.292016090614
嘉義縣大埔鄉茄苳村3鄰茄苳腳5號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,5號,120.58615111665,23.29207807502
嘉義縣大埔鄉茄苳村3鄰茄苳腳6號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,6號,120.58614256731,23.292124016382
嘉義縣大埔鄉茄苳村3鄰茄苳腳7號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,7號,120.58613463048,23.292161561237
嘉義縣大埔鄉茄苳村3鄰茄苳腳8號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,8號,120.58612807288,23.29219567824
嘉義縣大埔鄉茄苳村3鄰茄苳腳10號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,10號,120.5860940304,23.292329326257
嘉義縣大埔鄉茄苳村3鄰茄苳腳11號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,11號,120.58606256617,23.292451151455
嘉義縣大埔鄉茄苳村3鄰茄苳腳12號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,12號,120.58603791929,23.29254969662
嘉義縣大埔鄉茄苳村3鄰茄苳腳14號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,14號,120.58596983058,23.29275486454
嘉義縣大埔鄉茄苳村3鄰茄苳腳15號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,15號,120.58595665853,23.292809823923
嘉義縣大埔鄉茄苳村3鄰茄苳腳16號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,16號,120.58593904653,23.292877955733
嘉義縣大埔鄉茄苳村3鄰茄苳腳17號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,17號,120.58594630529,23.29283842245
嘉義縣大埔鄉茄苳村3鄰茄苳腳18號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,18號,120.58591034752,23.292959061814
嘉義縣大埔鄉茄苳村3鄰茄苳腳19號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,19號,120.5858867333,23.293071335635
嘉義縣大埔鄉茄苳村3鄰茄苳腳21號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,21號,120.58585536674,23.293193070731
嘉義縣大埔鄉茄苳村3鄰茄苳腳22號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,22號,120.58582390235,23.29331480556
嘉義縣大埔鄉茄苳村3鄰茄苳腳23號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,23號,120.58579515348,23.293380379474
嘉義縣大埔鄉茄苳村3鄰茄苳腳24號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,24號,120.58579257228,23.293424711124
嘉義縣大埔鄉茄苳村3鄰茄苳腳25號,10010,1001017,1001017-004,3鄰,茄苳腳,,,,,,25號,120.58578472353,23.293465326466
嘉義縣大埔鄉茄苳村4鄰茄苳腳30號,10010,1001017,1001017-004,4鄰,茄苳腳,,,,,,30號,120.58563009961,23.29399156149
嘉義縣大埔鄉茄苳村4鄰茄苳腳35號,10010,1001017,1001017-004,4鄰,茄苳腳,,,,,,35號,120.58527672537,23.292846135293
嘉義縣大埔鄉茄苳村4鄰茄苳腳40號,10010,1001017,1001017-004,4鄰,茄苳腳,,,,,,40號,120.5853232758,23.293661056681
嘉義縣大埔鄉茄苳村1鄰茄苳腳49號,10010,1001017,1001017-004,1鄰,茄苳腳,,,,,,49號,120.58752344514,23.294842323969
嘉義縣大埔鄉茄苳村4鄰茄苳腳54之1號,10010,1001017,1001017-004,4鄰,茄苳腳,,,,,,54之1號,120.58629427023,23.295387673506
