FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
嘉義縣太保市安仁里5鄰頂港子墘1號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,1號,120.29784851268,23.440617237915
嘉義縣太保市安仁里5鄰頂港子墘1之5號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,1之5號,120.29787795736,23.440915984664
嘉義縣太保市安仁里5鄰頂港子墘1之9號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,1之9號,120.29844032023,23.438871013788
嘉義縣太保市安仁里5鄰頂港子墘1之10號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,1之10號,120.29791919631,23.437518810985
嘉義縣太保市安仁里5鄰頂港子墘2號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2號,120.29850156299,23.442434253752
嘉義縣太保市安仁里5鄰頂港子墘2之7號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之7號,120.29898648526,23.44230522993
嘉義縣太保市安仁里5鄰頂港子墘2之9號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之9號,120.29837036151,23.441296636201
嘉義縣太保市安仁里5鄰頂港子墘2之11號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之11號,120.29946751683,23.443396650024
嘉義縣太保市安仁里5鄰頂港子墘2之28號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之28號,120.30097573093,23.445463733309
嘉義縣太保市安仁里5鄰頂港子墘2之29號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之29號,120.30114458124,23.447337623339
嘉義縣太保市安仁里5鄰頂港子墘2之32號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之32號,120.3052965193,23.447991224395
嘉義縣太保市安仁里5鄰頂港子墘2之35號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之35號,120.3025912806,23.443256771854
嘉義縣太保市安仁里5鄰頂港子墘2之36號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,2之36號,120.30261815755,23.443058598245
嘉義縣太保市安仁里5鄰頂港子墘3號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3號,120.29824257483,23.443645244824
嘉義縣太保市安仁里5鄰頂港子墘3之3號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之3號,120.29819558187,23.443407550802
嘉義縣太保市安仁里5鄰頂港子墘3之5號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之5號,120.29815576028,23.443350032756
嘉義縣太保市安仁里5鄰頂港子墘3之6號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之6號,120.29810736107,23.443193329343
嘉義縣太保市安仁里5鄰頂港子墘3之7號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之7號,120.29808554384,23.44315494504
嘉義縣太保市安仁里5鄰頂港子墘3之8號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之8號,120.29805075749,23.443126164254
嘉義縣太保市安仁里5鄰頂港子墘3之9號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之9號,120.29800822128,23.443100870212
嘉義縣太保市安仁里5鄰頂港子墘3之10號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之10號,120.29804640223,23.443468914415
嘉義縣太保市安仁里5鄰頂港子墘3之11號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之11號,120.2979955759,23.443530810578
嘉義縣太保市安仁里5鄰頂港子墘3之12號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之12號,120.29795637633,23.443596370925
嘉義縣太保市安仁里5鄰頂港子墘3之13號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之13號,120.29792107891,23.443664296552
嘉義縣太保市安仁里5鄰頂港子墘3之15號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之15號,120.29782859364,23.443757067636
嘉義縣太保市安仁里5鄰頂港子墘3之16號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之16號,120.29798381604,23.443293004069
嘉義縣太保市安仁里5鄰頂港子墘3之17號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之17號,120.29796297724,23.443328758493
嘉義縣太保市安仁里5鄰頂港子墘3之18號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之18號,120.29794205298,23.44336216479
嘉義縣太保市安仁里5鄰頂港子墘3之19號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之19號,120.29792113538,23.443394306948
嘉義縣太保市安仁里5鄰頂港子墘3之20號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之20號,120.29789634428,23.443437177095
嘉義縣太保市安仁里5鄰頂港子墘3之21號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之21號,120.29786763858,23.443480029627
嘉義縣太保市安仁里5鄰頂港子墘3之23號,10010,1001001,1001001-018,5鄰,頂港子墘,,,,,,3之23號,120.29783888228,23.443532453472
