FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣竹田鄉頭崙村10鄰三山路228巷1號,10013,1001314,1001314-005,10鄰,三山路,,228巷,,,,1號,120.53401302596,22.594125484688
屏東縣竹田鄉頭崙村14鄰三山路120巷1號,10013,1001314,1001314-005,14鄰,三山路,,120巷,,,,1號,120.53579163212,22.594926716875
屏東縣竹田鄉頭崙村14鄰三山路92巷1號,10013,1001314,1001314-005,14鄰,三山路,,92巷,,,,1號,120.53570849586,22.593934422786
屏東縣竹田鄉頭崙村15鄰三山路1號,10013,1001314,1001314-005,15鄰,三山路,,,,,,1號,120.53711551729,22.593619690385
屏東縣竹田鄉頭崙村1鄰三山路422巷1號,10013,1001314,1001314-005,1鄰,三山路,,422巷,,,,1號,120.53578661841,22.601324159348
屏東縣竹田鄉頭崙村3鄰三山路374巷1號,10013,1001314,1001314-005,3鄰,三山路,,374巷,,,,1號,120.53040085268,22.595842589755
屏東縣竹田鄉頭崙村7鄰三山路322巷1號,10013,1001314,1001314-005,7鄰,三山路,,322巷,,,,1號,120.53225436526,22.594623849538
屏東縣竹田鄉頭崙村9鄰三山路268巷1號,10013,1001314,1001314-005,9鄰,三山路,,268巷,,,,1號,120.53328277858,22.594220808512
屏東縣竹田鄉頭崙村13鄰三山路120巷1之1號,10013,1001314,1001314-005,13鄰,三山路,,120巷,,,,1之1號,120.5355338934,22.595362168223
屏東縣竹田鄉頭崙村13鄰三山路120巷1之2號,10013,1001314,1001314-005,13鄰,三山路,,120巷,,,,1之2號,120.535926354,22.595211582264
屏東縣竹田鄉頭崙村15鄰三山路1之7號,10013,1001314,1001314-005,15鄰,三山路,,,,,,1之7號,120.5374209614,22.592817715559
屏東縣竹田鄉頭崙村15鄰三山路1之13號,10013,1001314,1001314-005,15鄰,三山路,,,,,,1之13號,120.53612337371,22.59286824928
屏東縣竹田鄉頭崙村16鄰三山路1之14號,10013,1001314,1001314-005,16鄰,三山路,,,,,,1之14號,120.53909507918,22.592724090784
屏東縣竹田鄉頭崙村16鄰三山路1之15號,10013,1001314,1001314-005,16鄰,三山路,,,,,,1之15號,120.53908568329,22.592478872424
