FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣屏東市文明里5鄰上海路83巷1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,1號,120.48707442926,22.673113937782
屏東縣屏東市文明里5鄰上海路83巷1之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,1之1號,120.48707613227,22.673100848501
屏東縣屏東市文明里5鄰上海路83巷2號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,2號,120.48691629954,22.673217195769
屏東縣屏東市文明里5鄰上海路83巷3號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,3號,120.48701891817,22.673099130018
屏東縣屏東市文明里5鄰上海路83巷3之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,3之1號,120.48702248826,22.673081170058
屏東縣屏東市文明里5鄰上海路83巷5號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,5號,120.48695934616,22.673077265163
屏東縣屏東市文明里5鄰上海路83巷5之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,5之1號,120.48696417931,22.673059851102
屏東縣屏東市文明里5鄰上海路83巷6號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,6號,120.48686955698,22.673199616479
屏東縣屏東市文明里5鄰上海路83巷7號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,7號,120.48689918627,22.673056482105
屏東縣屏東市文明里5鄰上海路83巷7之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,7之1號,120.48690508246,22.673041058238
屏東縣屏東市文明里5鄰上海路83巷8號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,8號,120.48682223022,22.673182125612
屏東縣屏東市文明里5鄰上海路83巷9號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,9號,120.48681154338,22.673020439137
屏東縣屏東市文明里5鄰上海路83巷9之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,9之1號,120.48681500577,22.673005278401
屏東縣屏東市文明里5鄰上海路83巷10號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,10號,120.48677315991,22.673162461741
屏東縣屏東市文明里5鄰上海路83巷11號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,11號,120.48675361635,22.673001108115
屏東縣屏東市文明里5鄰上海路83巷11之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,11之1號,120.48675766698,22.672984775255
屏東縣屏東市文明里5鄰上海路83巷12號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,12號,120.48671387078,22.673143036031
屏東縣屏東市文明里5鄰上海路83巷13號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,13號,120.48669334912,22.672983033891
屏東縣屏東市文明里5鄰上海路83巷13之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,13之1號,120.48670218622,22.672961839713
屏東縣屏東市文明里5鄰上海路83巷14號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,14號,120.48666069522,22.673128235628
屏東縣屏東市文明里5鄰上海路83巷15號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,15號,120.48663026993,22.672962241377
屏東縣屏東市文明里5鄰上海路83巷15之1號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,15之1號,120.48663754601,22.672942125901
屏東縣屏東市文明里5鄰上海路83巷16號,10013,1001301,1001301-002,5鄰,上海路,,83巷,,,,16號,120.4866057862,22.673108552991
屏東縣屏東市文明里7鄰上海路65號,10013,1001301,1001301-002,7鄰,上海路,,,,,,65號,120.48747693495,22.6722715641
屏東縣屏東市文明里7鄰上海路65之1號,10013,1001301,1001301-002,7鄰,上海路,,,,,,65之1號,120.48745581187,22.672351780786
屏東縣屏東市文明里7鄰上海路77號,10013,1001301,1001301-002,7鄰,上海路,,,,,,77號,120.48736314415,22.672515755421
屏東縣屏東市文明里7鄰上海路77之1號,10013,1001301,1001301-002,7鄰,上海路,,,,,,77之1號,120.48739759236,22.672437387568
屏東縣屏東市文明里7鄰上海路79號,10013,1001301,1001301-002,7鄰,上海路,,,,,,79號,120.48733597789,22.672572382221
屏東縣屏東市文明里7鄰上海路81號,10013,1001301,1001301-002,7鄰,上海路,,,,,,81號,120.48728973266,22.672656672658
屏東縣屏東市文明里7鄰上海路81之1號,10013,1001301,1001301-002,7鄰,上海路,,,,,,81之1號,120.48724741743,22.672757050578
屏東縣屏東市文明里5鄰上海路81之2號,10013,1001301,1001301-002,5鄰,上海路,,,,,,81之2號,120.48709806428,22.673064885641
屏東縣屏東市文明里5鄰上海路85號,10013,1001301,1001301-002,5鄰,上海路,,,,,,85號,120.48702006299,22.673236131697
