FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣潮州鎮光春里19鄰仙林路1號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,1號,120.53378615211,22.523903562778
屏東縣潮州鎮光春里19鄰仙林路1之1號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,1之1號,120.53390706017,22.524083540699
屏東縣潮州鎮光春里19鄰仙林路1之2號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,1之2號,120.53390207857,22.524119650526
屏東縣潮州鎮光春里19鄰仙林路1之3號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,1之3號,120.53388929755,22.524162511068
屏東縣潮州鎮光春里19鄰仙林路1之6號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,1之6號,120.53394648108,22.52377849522
屏東縣潮州鎮光春里19鄰仙林路57巷3號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,3號,120.53322869394,22.523602929019
屏東縣潮州鎮光春里19鄰仙林路3號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,3號,120.5336445334,22.524072755954
屏東縣潮州鎮光春里19鄰仙林路57巷5號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,5號,120.53326465341,22.523605291038
屏東縣潮州鎮光春里19鄰仙林路57巷7號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,7號,120.53330498725,22.523607665729
屏東縣潮州鎮光春里19鄰仙林路7號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,7號,120.53384710618,22.524221181122
屏東縣潮州鎮光春里19鄰仙林路7之1號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,7之1號,120.53387750073,22.524201762033
屏東縣潮州鎮光春里19鄰仙林路57巷13號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,13號,120.5335003531,22.523615005241
屏東縣潮州鎮光春里19鄰仙林路57巷15號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,15號,120.53354700398,22.523617849729
屏東縣潮州鎮光春里19鄰仙林路15號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,15號,120.53361747567,22.524488196728
屏東縣潮州鎮光春里19鄰仙林路17號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,17號,120.53342523948,22.524561694412
屏東縣潮州鎮光春里19鄰仙林路57巷17號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,17號,120.53358733177,22.523622030545
屏東縣潮州鎮光春里19鄰仙林路57巷19號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,19號,120.53369427147,22.523619179451
屏東縣潮州鎮光春里19鄰仙林路57巷21號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,21號,120.53372875162,22.523627858825
屏東縣潮州鎮光春里19鄰仙林路21號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,21號,120.53326239263,22.524423047132
屏東縣潮州鎮光春里19鄰仙林路23號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,23號,120.5329370979,22.52417194332
屏東縣潮州鎮光春里19鄰仙林路23之1號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,23之1號,120.5329250527,22.524111490574
屏東縣潮州鎮光春里19鄰仙林路57巷25號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,25號,120.53384677484,22.523653487577
屏東縣潮州鎮光春里19鄰仙林路25號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,25號,120.53285156011,22.524025391943
屏東縣潮州鎮光春里19鄰仙林路35號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,35號,120.53283295717,22.523862598234
屏東縣潮州鎮光春里19鄰仙林路37號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,37號,120.53283552431,22.523821875595
屏東縣潮州鎮光春里19鄰仙林路51號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,51號,120.53291112838,22.523655742804
屏東縣潮州鎮光春里18鄰仙林路52號,10013,1001302,1001302-015,18鄰,仙林路,,,,,,52號,120.53278777387,22.523481085376
屏東縣潮州鎮光春里19鄰仙林路53號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,53號,120.53291574106,22.523584862351
屏東縣潮州鎮光春里19鄰仙林路55號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,55號,120.53294599247,22.523550180526
屏東縣潮州鎮光春里18鄰仙林路56號,10013,1001302,1001302-015,18鄰,仙林路,,,,,,56號,120.53283182116,22.523390902576
屏東縣潮州鎮光春里19鄰仙林路59號,10013,1001302,1001302-015,19鄰,仙林路,,,,,,59號,120.53302332054,22.523304850257
屏東縣潮州鎮光春里19鄰仙林路57巷67號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,67號,120.53533766549,22.524469690129
屏東縣潮州鎮光春里19鄰仙林路57巷68號,10013,1001302,1001302-015,19鄰,仙林路,,57巷,,,,68號,120.53566643569,22.523740477203
屏東縣潮州鎮光春里18鄰仙林路68號,10013,1001302,1001302-015,18鄰,仙林路,,,,,,68號,120.53295979823,22.523115736169
