FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣萬丹鄉萬安村9鄰元泰街180巷13號,10013,1001305,1001305-001,9鄰,元泰街,,180巷,,,,13號,120.49076727142,22.587457313373
屏東縣萬丹鄉萬安村9鄰元泰街180巷15號,10013,1001305,1001305-001,9鄰,元泰街,,180巷,,,,15號,120.49082649348,22.587458765433
屏東縣萬丹鄉萬安村8鄰元泰街180巷21號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,21號,120.49091877603,22.58740884583
屏東縣萬丹鄉萬安村8鄰元泰街180巷23號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,23號,120.49091729202,22.587468626021
屏東縣萬丹鄉萬安村8鄰元泰街180巷25號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,25號,120.49091451287,22.587536800891
屏東縣萬丹鄉萬安村8鄰元泰街180巷27號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,27號,120.49091431074,22.587591798739
屏東縣萬丹鄉萬安村9鄰元泰街180巷35號,10013,1001305,1001305-001,9鄰,元泰街,,180巷,,,,35號,120.4906938641,22.587478574311
屏東縣萬丹鄉萬安村8鄰元泰街180巷55號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,55號,120.49104303085,22.587894833778
屏東縣萬丹鄉萬安村8鄰元泰街180巷61號,10013,1001305,1001305-001,8鄰,元泰街,,180巷,,,,61號,120.49116467997,22.587687236373
屏東縣萬丹鄉萬安村5鄰元泰街89號,10013,1001305,1001305-001,5鄰,元泰街,,,,,,89號,120.49015583949,22.586109491333
屏東縣萬丹鄉萬安村5鄰元泰街91號,10013,1001305,1001305-001,5鄰,元泰街,,,,,,91號,120.49015860248,22.586151494026
屏東縣萬丹鄉萬安村5鄰元泰街93號,10013,1001305,1001305-001,5鄰,元泰街,,,,,,93號,120.49017351858,22.586194438385
屏東縣萬丹鄉萬安村6鄰元泰街101號,10013,1001305,1001305-001,6鄰,元泰街,,,,,,101號,120.49018741412,22.586356136512
屏東縣萬丹鄉萬安村6鄰元泰街103號,10013,1001305,1001305-001,6鄰,元泰街,,,,,,103號,120.490171691,22.586400338274
屏東縣萬丹鄉萬安村9鄰元泰街147號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,147號,120.49039410616,22.58743183672
屏東縣萬丹鄉萬安村9鄰元泰街149號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,149號,120.49040315077,22.587484696471
屏東縣萬丹鄉萬安村9鄰元泰街151號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,151號,120.490412212,22.5875330408
屏東縣萬丹鄉萬安村9鄰元泰街153號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,153號,120.49042467043,22.587583202095
屏東縣萬丹鄉萬安村9鄰元泰街155號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,155號,120.49043128043,22.587636957216
屏東縣萬丹鄉萬安村9鄰元泰街182號,10013,1001305,1001305-001,9鄰,元泰街,,,,,,182號,120.49052948012,22.587432627361
