FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣佳冬鄉玉光村6鄰光前巷1號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,1號,120.56029132904,22.429090762246
屏東縣佳冬鄉玉光村6鄰光前巷3號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,3號,120.56048052629,22.428177230217
屏東縣佳冬鄉玉光村6鄰光前巷3之1號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,3之1號,120.56054387377,22.427464118942
屏東縣佳冬鄉玉光村6鄰光前巷3之2號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,3之2號,120.55857914617,22.42860825197
屏東縣佳冬鄉玉光村6鄰光前巷4號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,4號,120.56043995288,22.428043548474
屏東縣佳冬鄉玉光村6鄰光前巷4之1號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,4之1號,120.56027871247,22.428069119462
屏東縣佳冬鄉玉光村6鄰光前巷4之3號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,4之3號,120.56063718554,22.428125727046
屏東縣佳冬鄉玉光村6鄰光前巷5號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,5號,120.56042025383,22.427358117625
屏東縣佳冬鄉玉光村6鄰光前巷6號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,6號,120.56087711268,22.428068941077
屏東縣佳冬鄉玉光村6鄰光前巷7號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,7號,120.5604321137,22.427417123591
屏東縣佳冬鄉玉光村6鄰光前巷7之1號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,7之1號,120.56022959395,22.427811054882
屏東縣佳冬鄉玉光村6鄰光前巷7之2號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,7之2號,120.56046057179,22.428992241011
屏東縣佳冬鄉玉光村6鄰光前巷7之7號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,7之7號,120.56047067674,22.42784991299
屏東縣佳冬鄉玉光村6鄰光前巷8號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,8號,120.56047244472,22.42781288991
屏東縣佳冬鄉玉光村6鄰光前巷8之1號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,8之1號,120.56035834613,22.427706372581
屏東縣佳冬鄉玉光村6鄰光前巷8之2號,10013,1001321,1001321-006,6鄰,光前巷,,,,,,8之2號,120.56034060221,22.427325659493
屏東縣佳冬鄉玉光村7鄰光前巷11號,10013,1001321,1001321-006,7鄰,光前巷,,,,,,11號,120.56045016402,22.427453749042
屏東縣佳冬鄉玉光村7鄰光前巷11之1號,10013,1001321,1001321-006,7鄰,光前巷,,,,,,11之1號,120.56049549406,22.427495867431
