FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣獅子鄉內獅村7鄰南世一巷100號,10013,1001332,1001332-007,7鄰,南世一巷,,,,,,100號,120.6559435251,22.309540639611
屏東縣獅子鄉內獅村7鄰南世一巷101號,10013,1001332,1001332-007,7鄰,南世一巷,,,,,,101號,120.65638868857,22.310198707736
屏東縣獅子鄉內獅村7鄰南世一巷179號,10013,1001332,1001332-007,7鄰,南世一巷,,,,,,179號,120.65614817755,22.313207910651
屏東縣獅子鄉內獅村7鄰南世一巷180號,10013,1001332,1001332-007,7鄰,南世一巷,,,,,,180號,120.656378363,22.313069766603
屏東縣獅子鄉內獅村7鄰南世一巷182號,10013,1001332,1001332-007,7鄰,南世一巷,,,,,,182號,120.65771310432,22.313978799129
屏東縣獅子鄉南世村1鄰南世一巷1號,10013,1001332,1001332-008,1鄰,南世一巷,,,,,,1號,120.65053518879,22.310702617166
屏東縣獅子鄉南世村1鄰南世一巷2號,10013,1001332,1001332-008,1鄰,南世一巷,,,,,,2號,120.65049921312,22.310883799705
屏東縣獅子鄉南世村1鄰南世一巷3號,10013,1001332,1001332-008,1鄰,南世一巷,,,,,,3號,120.65041751805,22.310793219411
屏東縣獅子鄉南世村1鄰南世一巷4號,10013,1001332,1001332-008,1鄰,南世一巷,,,,,,4號,120.65022290831,22.311065999482
屏東縣獅子鄉南世村1鄰南世一巷5號,10013,1001332,1001332-008,1鄰,南世一巷,,,,,,5號,120.65007591605,22.311043013636
屏東縣獅子鄉南世村4鄰南世一巷5號,10013,1001332,1001332-008,4鄰,南世一巷,,,,,,5號,120.65007591605,22.311043013636
屏東縣獅子鄉南世村2鄰南世一巷6號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,6號,120.64992456883,22.311287437775
屏東縣獅子鄉南世村2鄰南世一巷7號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,7號,120.6498402449,22.311355894331
屏東縣獅子鄉南世村2鄰南世一巷8號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,8號,120.64957833228,22.311332118012
屏東縣獅子鄉南世村2鄰南世一巷8之3號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,8之3號,120.64963671141,22.311314271659
屏東縣獅子鄉南世村2鄰南世一巷9號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,9號,120.64945011263,22.311409872169
屏東縣獅子鄉南世村2鄰南世一巷11號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,11號,120.64918047302,22.311254310509
屏東縣獅子鄉南世村2鄰南世一巷11之1號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,11之1號,120.64725997105,22.312113546098
屏東縣獅子鄉南世村2鄰南世一巷12號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,12號,120.64992080989,22.311121071423
屏東縣獅子鄉南世村2鄰南世一巷12之1號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,12之1號,120.65001775026,22.311170050141
屏東縣獅子鄉南世村2鄰南世一巷12之2號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,12之2號,120.64999780326,22.311189785848
屏東縣獅子鄉南世村2鄰南世一巷12之3號,10013,1001332,1001332-008,2鄰,南世一巷,,,,,,12之3號,120.64997083673,22.311221969724
