FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣屏東市溝美里13鄰太義巷1號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,1號,120.49977615333,22.681181281243
屏東縣屏東市溝美里13鄰太義巷1之1號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,1之1號,120.49967168143,22.681194501113
屏東縣屏東市溝美里13鄰太義巷2號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,2號,120.49975365837,22.681265649457
屏東縣屏東市溝美里13鄰太義巷3號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,3號,120.49980583916,22.68131448878
屏東縣屏東市溝美里13鄰太義巷4號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,4號,120.49983619997,22.681342127729
屏東縣屏東市溝美里13鄰太義巷5號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,5號,120.49986810969,22.681372029223
屏東縣屏東市溝美里13鄰太義巷6號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,6號,120.49989328871,22.681406244499
屏東縣屏東市溝美里13鄰太義巷7號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,7號,120.49991471949,22.681427443634
屏東縣屏東市溝美里13鄰太義巷8號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,8號,120.49994023275,22.681450010144
屏東縣屏東市溝美里13鄰太義巷9號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,9號,120.49995750209,22.681464784369
屏東縣屏東市溝美里13鄰太義巷9之1號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,9之1號,120.49989387875,22.681592372254
屏東縣屏東市溝美里13鄰太義巷9之2號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,9之2號,120.49984840729,22.681598732438
屏東縣屏東市溝美里13鄰太義巷10號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,10號,120.4995280914,22.681447819376
屏東縣屏東市溝美里13鄰太義巷11號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,11號,120.4989827457,22.681143760896
屏東縣屏東市溝美里13鄰太義巷12號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,12號,120.4989730501,22.681106974982
屏東縣屏東市溝美里13鄰太義巷13號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,13號,120.49894625077,22.681117005679
屏東縣屏東市溝美里13鄰太義巷14號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,14號,120.49892665859,22.68112552368
屏東縣屏東市溝美里13鄰太義巷15號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,15號,120.49890355933,22.681135024097
屏東縣屏東市溝美里13鄰太義巷16號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,16號,120.49887469858,22.681149924992
屏東縣屏東市溝美里13鄰太義巷17號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,17號,120.49888236705,22.681208920468
屏東縣屏東市溝美里13鄰太義巷18號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,18號,120.49894043287,22.681191492019
屏東縣屏東市溝美里13鄰太義巷19號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,19號,120.49896459725,22.681210261502
屏東縣屏東市溝美里13鄰太義巷20號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,20號,120.49898988285,22.681241858303
屏東縣屏東市溝美里13鄰太義巷21號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,21號,120.49885823648,22.681287955225
屏東縣屏東市溝美里13鄰太義巷22號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,22號,120.49898099048,22.68130540769
屏東縣屏東市溝美里13鄰太義巷23號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,23號,120.49901330831,22.681330072734
屏東縣屏東市溝美里13鄰太義巷24號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,24號,120.49907541812,22.681351399253
屏東縣屏東市溝美里13鄰太義巷24之1號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,24之1號,120.49927179604,22.681113869869
屏東縣屏東市溝美里13鄰太義巷24之2號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,24之2號,120.49924736008,22.681169875056
屏東縣屏東市溝美里13鄰太義巷24之3號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,24之3號,120.4991752391,22.681198638532
屏東縣屏東市溝美里13鄰太義巷24之4號,10013,1001301,1001301-067,13鄰,太義巷,,,,,,24之4號,120.49913476302,22.681222985539
