FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣恆春鎮山腳里11鄰恒東路2號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,2號,120.77772150318,22.005168498708
屏東縣恆春鎮山腳里11鄰恒東路2之3號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,2之3號,120.77733387741,22.004125431831
屏東縣恆春鎮山腳里12鄰恒東路3號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,3號,120.77725974482,22.002972963303
屏東縣恆春鎮山腳里12鄰恒東路3之1號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,3之1號,120.77711904595,22.002769646857
屏東縣恆春鎮山腳里11鄰恒東路4號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,4號,120.77523247129,22.003074243634
屏東縣恆春鎮山腳里11鄰恒東路5號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,5號,120.77498483067,22.00263802919
屏東縣恆春鎮山腳里11鄰恒東路6號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,6號,120.77512598687,22.003102096242
屏東縣恆春鎮山腳里11鄰恒東路7號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,7號,120.77496600699,22.002782602539
屏東縣恆春鎮山腳里11鄰恒東路8號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,8號,120.77503087085,22.003106662324
屏東縣恆春鎮山腳里11鄰恒東路10號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,10號,120.77495336983,22.003057513296
屏東縣恆春鎮山腳里11鄰恒東路14號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,14號,120.77506043837,22.003396172175
屏東縣恆春鎮山腳里11鄰恒東路16號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,16號,120.7749278216,22.003596676875
屏東縣恆春鎮山腳里11鄰恒東路18號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,18號,120.77470742734,22.003570091693
屏東縣恆春鎮山腳里11鄰恒東路20號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,20號,120.77454096786,22.00355116709
屏東縣恆春鎮山腳里11鄰恒東路22號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,22號,120.77444094891,22.003593659658
屏東縣恆春鎮山腳里11鄰恒東路24號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,24號,120.7741784396,22.003557171168
屏東縣恆春鎮山腳里11鄰恒東路26號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,26號,120.77445127566,22.003126819975
屏東縣恆春鎮山腳里11鄰恒東路30號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,30號,120.77467306248,22.003742732543
屏東縣恆春鎮山腳里11鄰恒東路32號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,32號,120.77457543414,22.003743320912
屏東縣恆春鎮山腳里11鄰恒東路34號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,34號,120.77507636466,22.003614853969
屏東縣恆春鎮山腳里11鄰恒東路36號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,36號,120.77518084938,22.003995597407
屏東縣恆春鎮山腳里12鄰恒東路42號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,42號,120.77432579853,22.003283078176
屏東縣恆春鎮山腳里12鄰恒東路42之1號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,42之1號,120.77423927289,22.003306170815
屏東縣恆春鎮山腳里11鄰恒東路47號,10013,1001304,1001304-004,11鄰,恒東路,,,,,,47號,120.77238643391,22.002369540592
屏東縣恆春鎮山腳里12鄰恒東路48號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,48號,120.7714757592,22.003262874109
屏東縣恆春鎮山腳里12鄰恒東路49號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,49號,120.77121794404,22.002474580241
屏東縣恆春鎮山腳里12鄰恒東路50號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,50號,120.77066948247,22.003974267328
屏東縣恆春鎮山腳里12鄰恒東路52號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,52號,120.7704925169,22.003923802941
屏東縣恆春鎮山腳里12鄰恒東路54號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,54號,120.77049840338,22.004298269615
屏東縣恆春鎮山腳里12鄰恒東路56號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,56號,120.77099070047,22.004483206583
屏東縣恆春鎮山腳里12鄰恒東路56之1號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,56之1號,120.77067711813,22.004345394677
屏東縣恆春鎮山腳里12鄰恒東路57號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,57號,120.76907710779,22.002969231926
屏東縣恆春鎮山腳里13鄰恒東路57號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,57號,120.76907710779,22.002969231926
屏東縣恆春鎮山腳里12鄰恒東路58號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,58號,120.7676557106,22.004215599568
屏東縣恆春鎮山腳里12鄰恒東路59號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,59號,120.76837679291,22.001882170219
屏東縣恆春鎮山腳里12鄰恒東路59之2號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,59之2號,120.76802844921,22.003828392128
屏東縣恆春鎮山腳里12鄰恒東路60號,10013,1001304,1001304-004,12鄰,恒東路,,,,,,60號,120.76477254262,22.004246984131
屏東縣恆春鎮山腳里13鄰恒東路61號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,61號,120.76277659,22.001573767528
屏東縣恆春鎮山腳里13鄰恒東路65號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,65號,120.76225177943,22.003069124949
屏東縣恆春鎮山腳里13鄰恒東路130號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,130號,120.75616298334,22.00686284022
屏東縣恆春鎮山腳里13鄰恒東路200號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,200號,120.75281996942,22.005510562739
屏東縣恆春鎮山腳里13鄰恒東路200之1號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,200之1號,120.75283003693,22.005904725231
屏東縣恆春鎮山腳里3鄰恒東路200之2號,10013,1001304,1001304-004,3鄰,恒東路,,,,,,200之2號,120.75306830904,22.005618505522
屏東縣恆春鎮山腳里13鄰恒東路201之1號,10013,1001304,1001304-004,13鄰,恒東路,,,,,,201之1號,120.75357498599,22.004589462926
