FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣萬丹鄉萬安村5鄰惠安路80號,10013,1001305,1001305-001,5鄰,惠安路,,,,,,80號,120.48876539057,22.586407247981
屏東縣萬丹鄉萬安村5鄰惠安路82號,10013,1001305,1001305-001,5鄰,惠安路,,,,,,82號,120.48882430333,22.586439675946
屏東縣萬丹鄉萬安村3鄰惠安路112號,10013,1001305,1001305-001,3鄰,惠安路,,,,,,112號,120.48879305792,22.587105879965
屏東縣萬丹鄉萬安村3鄰惠安路116號,10013,1001305,1001305-001,3鄰,惠安路,,,,,,116號,120.48877967225,22.587175375673
屏東縣萬丹鄉萬安村3鄰惠安路120號,10013,1001305,1001305-001,3鄰,惠安路,,,,,,120號,120.48906718562,22.587140166608
屏東縣萬丹鄉萬安村3鄰惠安路128號,10013,1001305,1001305-001,3鄰,惠安路,,,,,,128號,120.48927060684,22.587201772395
屏東縣萬丹鄉萬安村3鄰惠安路130號,10013,1001305,1001305-001,3鄰,惠安路,,,,,,130號,120.48884929057,22.587284871695
屏東縣萬丹鄉萬安村2鄰惠安路150號,10013,1001305,1001305-001,2鄰,惠安路,,,,,,150號,120.48928705038,22.587463451274
屏東縣萬丹鄉萬安村2鄰惠安路158號,10013,1001305,1001305-001,2鄰,惠安路,,,,,,158號,120.48935050516,22.587662153264
屏東縣萬丹鄉萬安村2鄰惠安路160號,10013,1001305,1001305-001,2鄰,惠安路,,,,,,160號,120.48937313478,22.587723184105
屏東縣萬丹鄉萬安村2鄰惠安路162號,10013,1001305,1001305-001,2鄰,惠安路,,,,,,162號,120.48930184075,22.587804236
屏東縣萬丹鄉萬安村1鄰惠安路176號,10013,1001305,1001305-001,1鄰,惠安路,,,,,,176號,120.48948476314,22.588044950379
屏東縣萬丹鄉萬安村1鄰惠安路180號,10013,1001305,1001305-001,1鄰,惠安路,,,,,,180號,120.48950046064,22.588113364548
屏東縣萬丹鄉萬安村1鄰惠安路182號,10013,1001305,1001305-001,1鄰,惠安路,,,,,,182號,120.48951609212,22.588146919044
屏東縣萬丹鄉萬惠村13鄰惠安路13巷3號,10013,1001305,1001305-002,13鄰,惠安路,,13巷,,,,3號,120.48799252962,22.585431882355
屏東縣萬丹鄉萬惠村13鄰惠安路13巷5號,10013,1001305,1001305-002,13鄰,惠安路,,13巷,,,,5號,120.48797729415,22.585396613091
屏東縣萬丹鄉萬惠村13鄰惠安路13巷6號,10013,1001305,1001305-002,13鄰,惠安路,,13巷,,,,6號,120.48801140092,22.585562259108
屏東縣萬丹鄉萬惠村9鄰惠安路13巷10號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,10號,120.48789862306,22.585447658126
屏東縣萬丹鄉萬惠村9鄰惠安路13巷11號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,11號,120.48773723297,22.585329379993
屏東縣萬丹鄉萬惠村9鄰惠安路11號,10013,1001305,1001305-002,9鄰,惠安路,,,,,,11號,120.48821330489,22.585428341296
屏東縣萬丹鄉萬惠村3鄰惠安路12號,10013,1001305,1001305-002,3鄰,惠安路,,,,,,12號,120.48855910305,22.585383836251
屏東縣萬丹鄉萬惠村9鄰惠安路13巷12號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,12號,120.48780985499,22.585441414707
屏東縣萬丹鄉萬惠村9鄰惠安路13巷13號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,13號,120.4876310478,22.585351889667
屏東縣萬丹鄉萬惠村13鄰惠安路17號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,17號,120.48818046974,22.585523874451
屏東縣萬丹鄉萬惠村9鄰惠安路13巷18號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,18號,120.48770179152,22.585445856539
屏東縣萬丹鄉萬惠村9鄰惠安路13巷19號,10013,1001305,1001305-002,9鄰,惠安路,,13巷,,,,19號,120.48778961236,22.585208532276
屏東縣萬丹鄉萬惠村13鄰惠安路19號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,19號,120.48823876095,22.585592785685
屏東縣萬丹鄉萬惠村13鄰惠安路27號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,27號,120.48837185082,22.585500552052
屏東縣萬丹鄉萬惠村10鄰惠安路13巷27號,10013,1001305,1001305-002,10鄰,惠安路,,13巷,,,,27號,120.4875351839,22.585134389549
屏東縣萬丹鄉萬惠村13鄰惠安路31號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,31號,120.48845479836,22.585687215016
屏東縣萬丹鄉萬惠村13鄰惠安路33號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,33號,120.48845463962,22.585730201834
屏東縣萬丹鄉萬惠村13鄰惠安路35號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,35號,120.48845684892,22.585763984622
屏東縣萬丹鄉萬惠村13鄰惠安路37號,10013,1001305,1001305-002,13鄰,惠安路,,,,,,37號,120.48846056556,22.585810957398
屏東縣萬丹鄉萬惠村1鄰惠安路62號,10013,1001305,1001305-002,1鄰,惠安路,,,,,,62號,120.48867924949,22.58613703873
屏東縣萬丹鄉萬惠村1鄰惠安路66號,10013,1001305,1001305-002,1鄰,惠安路,,,,,,66號,120.48878589271,22.586122296446
屏東縣萬丹鄉萬惠村1鄰惠安路68號,10013,1001305,1001305-002,1鄰,惠安路,,,,,,68號,120.48896566134,22.586083493474
屏東縣萬丹鄉萬惠村1鄰惠安路70號,10013,1001305,1001305-002,1鄰,惠安路,,,,,,70號,120.48865508729,22.586201533113
屏東縣萬丹鄉萬惠村1鄰惠安路78號,10013,1001305,1001305-002,1鄰,惠安路,,,,,,78號,120.48870298494,22.586319900702
屏東縣萬丹鄉萬全村6鄰惠安路185號,10013,1001305,1001305-003,6鄰,惠安路,,,,,,185號,120.48937931978,22.588235077934
屏東縣萬丹鄉萬全村6鄰惠安路187號,10013,1001305,1001305-003,6鄰,惠安路,,,,,,187號,120.4894158523,22.588270956615
屏東縣萬丹鄉萬全村6鄰惠安路189號,10013,1001305,1001305-003,6鄰,惠安路,,,,,,189號,120.48945104859,22.588299967521
屏東縣萬丹鄉萬全村6鄰惠安路191號,10013,1001305,1001305-003,6鄰,惠安路,,,,,,191號,120.48948106753,22.588335193318
屏東縣萬丹鄉萬全村12鄰惠安路197號,10013,1001305,1001305-003,12鄰,惠安路,,,,,,197號,120.49003899109,22.588737759034
