FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣東港鎮興東里22鄰新興一街1號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,1號,120.456286211,22.468852503966
屏東縣東港鎮興東里23鄰新興一街82巷1號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,1號,120.45799558772,22.469062719851
屏東縣東港鎮興東里23鄰新興一街82巷5弄1號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,5弄,,,1號,120.45819094685,22.469000700708
屏東縣東港鎮興東里23鄰新興一街81巷2號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,2號,120.45782645563,22.469326761149
屏東縣東港鎮興東里23鄰新興一街82巷2號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,2號,120.45790061404,22.469047589768
屏東縣東港鎮興東里23鄰新興一街82巷3號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,3號,120.45801132341,22.469014275995
屏東縣東港鎮興東里23鄰新興一街82巷5弄3號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,5弄,,,3號,120.45823166593,22.468999482823
屏東縣東港鎮興東里22鄰新興一街3號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,3號,120.45631539706,22.468893332366
屏東縣東港鎮興東里23鄰新興一街82巷4號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,4號,120.45789090524,22.469095421695
屏東縣東港鎮興東里23鄰新興一街82巷5弄5號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,5弄,,,5號,120.458312031,22.468998127142
屏東縣東港鎮興東里23鄰新興一街81巷6號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,6號,120.45781414923,22.469367901362
屏東縣東港鎮興東里23鄰新興一街82巷6號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,6號,120.45787501557,22.469133479315
屏東縣東港鎮興東里23鄰新興一街82巷6之1號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,,,,6之1號,120.45787491875,22.469133388679
屏東縣東港鎮興東里23鄰新興一街82巷5弄7號,10013,1001303,1001303-019,23鄰,新興一街,,82巷,5弄,,,7號,120.45836013281,22.468997475879
屏東縣東港鎮興東里22鄰新興一街7號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,7號,120.45635401813,22.468906828489
屏東縣東港鎮興東里23鄰新興一街81巷8號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,8號,120.45781313729,22.469403209358
屏東縣東港鎮興東里22鄰新興一街9號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,9號,120.45639668964,22.468928195264
屏東縣東港鎮興東里23鄰新興一街81巷10號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,10號,120.45781115155,22.469439055943
屏東縣東港鎮興東里23鄰新興一街81巷12號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,12號,120.45780720837,22.469478508368
屏東縣東港鎮興東里22鄰新興一街13號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,13號,120.45648966619,22.468932121001
屏東縣東港鎮興東里22鄰新興一街15號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,15號,120.45653968759,22.46901230462
屏東縣東港鎮興東里23鄰新興一街81巷16號,10013,1001303,1001303-019,23鄰,新興一街,,81巷,,,,16號,120.45779937068,22.469519934531
屏東縣東港鎮興東里22鄰新興一街17號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,17號,120.45656647215,22.468971303598
屏東縣東港鎮興東里22鄰新興一街48號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,48號,120.45621031022,22.46868101945
屏東縣東港鎮興東里22鄰新興一街52號,10013,1001303,1001303-019,22鄰,新興一街,,,,,,52號,120.4562894452,22.468720932513
