FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣屏東市溝美里9鄰溝美1號,10013,1001301,1001301-067,9鄰,溝美,,,,,,1號,120.49489134114,22.682124932103
屏東縣屏東市溝美里8鄰溝美9號,10013,1001301,1001301-067,8鄰,溝美,,,,,,9號,120.49475528305,22.682073026986
屏東縣屏東市溝美里7鄰溝美10號,10013,1001301,1001301-067,7鄰,溝美,,,,,,10號,120.49523007563,22.6822414146
屏東縣屏東市溝美里7鄰溝美10之1號,10013,1001301,1001301-067,7鄰,溝美,,,,,,10之1號,120.49524869094,22.682287169382
屏東縣屏東市溝美里7鄰溝美11號,10013,1001301,1001301-067,7鄰,溝美,,,,,,11號,120.49525606957,22.682637589582
屏東縣屏東市溝美里7鄰溝美11之1號,10013,1001301,1001301-067,7鄰,溝美,,,,,,11之1號,120.4953734172,22.682244485379
屏東縣屏東市溝美里7鄰溝美12號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12號,120.4953299249,22.682135436256
屏東縣屏東市溝美里7鄰溝美12之1號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之1號,120.49536676044,22.682122186699
屏東縣屏東市溝美里7鄰溝美12之2號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之2號,120.49540563968,22.682108943573
屏東縣屏東市溝美里7鄰溝美12之3號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之3號,120.49544169401,22.682096414004
屏東縣屏東市溝美里7鄰溝美12之4號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之4號,120.4954792134,22.682082444107
屏東縣屏東市溝美里7鄰溝美12之5號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之5號,120.49551312935,22.682069185316
屏東縣屏東市溝美里7鄰溝美12之6號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之6號,120.49554649375,22.682047074547
屏東縣屏東市溝美里7鄰溝美12之7號,10013,1001301,1001301-067,7鄰,溝美,,,,,,12之7號,120.49558468444,22.682035815995
屏東縣屏東市溝美里7鄰溝美13號,10013,1001301,1001301-067,7鄰,溝美,,,,,,13號,120.49557945915,22.682346821992
屏東縣屏東市溝美里7鄰溝美14號,10013,1001301,1001301-067,7鄰,溝美,,,,,,14號,120.49546707624,22.682287586762
屏東縣屏東市溝美里7鄰溝美15號,10013,1001301,1001301-067,7鄰,溝美,,,,,,15號,120.49572848151,22.682233593009
屏東縣屏東市溝美里7鄰溝美15之1號,10013,1001301,1001301-067,7鄰,溝美,,,,,,15之1號,120.49597036582,22.682248352451
屏東縣屏東市溝美里7鄰溝美16號,10013,1001301,1001301-067,7鄰,溝美,,,,,,16號,120.49594709666,22.682463935891
