FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣高樹鄉大埔村9鄰百畝1號,10013,1001311,1001311-007,9鄰,百畝,,,,,,1號,120.58709024878,22.833975876678
屏東縣高樹鄉大埔村9鄰百畝2號,10013,1001311,1001311-007,9鄰,百畝,,,,,,2號,120.58712240379,22.833748655781
屏東縣高樹鄉大埔村9鄰百畝3號,10013,1001311,1001311-007,9鄰,百畝,,,,,,3號,120.5870625066,22.833967586768
屏東縣高樹鄉大埔村9鄰百畝4號,10013,1001311,1001311-007,9鄰,百畝,,,,,,4號,120.58709381765,22.833761766593
屏東縣高樹鄉大埔村9鄰百畝5號,10013,1001311,1001311-007,9鄰,百畝,,,,,,5號,120.58703330246,22.833959473679
屏東縣高樹鄉大埔村9鄰百畝6號,10013,1001311,1001311-007,9鄰,百畝,,,,,,6號,120.58707568666,22.833732550235
屏東縣高樹鄉大埔村9鄰百畝7號,10013,1001311,1001311-007,9鄰,百畝,,,,,,7號,120.58699923537,22.83394854844
屏東縣高樹鄉大埔村9鄰百畝8號,10013,1001311,1001311-007,9鄰,百畝,,,,,,8號,120.58704990071,22.833721736782
屏東縣高樹鄉大埔村9鄰百畝9號,10013,1001311,1001311-007,9鄰,百畝,,,,,,9號,120.58696322545,22.833935721696
屏東縣高樹鄉大埔村9鄰百畝10號,10013,1001311,1001311-007,9鄰,百畝,,,,,,10號,120.58700900379,22.833746375036
屏東縣高樹鄉大埔村9鄰百畝11號,10013,1001311,1001311-007,9鄰,百畝,,,,,,11號,120.586928195,22.833921181639
屏東縣高樹鄉大埔村9鄰百畝12號,10013,1001311,1001311-007,9鄰,百畝,,,,,,12號,120.58697775044,22.833739340315
屏東縣高樹鄉大埔村9鄰百畝13號,10013,1001311,1001311-007,9鄰,百畝,,,,,,13號,120.58681140115,22.83388123368
屏東縣高樹鄉大埔村9鄰百畝14號,10013,1001311,1001311-007,9鄰,百畝,,,,,,14號,120.58687002586,22.833664376564
屏東縣高樹鄉大埔村9鄰百畝15號,10013,1001311,1001311-007,9鄰,百畝,,,,,,15號,120.58678218505,22.833877094048
屏東縣高樹鄉大埔村9鄰百畝16號,10013,1001311,1001311-007,9鄰,百畝,,,,,,16號,120.58683519726,22.833679819136
屏東縣高樹鄉大埔村9鄰百畝17號,10013,1001311,1001311-007,9鄰,百畝,,,,,,17號,120.5867534629,22.833870698003
屏東縣高樹鄉大埔村9鄰百畝18號,10013,1001311,1001311-007,9鄰,百畝,,,,,,18號,120.58681330845,22.833669015754
屏東縣高樹鄉大埔村9鄰百畝19號,10013,1001311,1001311-007,9鄰,百畝,,,,,,19號,120.58672472984,22.833867914228
屏東縣高樹鄉大埔村9鄰百畝20號,10013,1001311,1001311-007,9鄰,百畝,,,,,,20號,120.58678247784,22.833651054871
屏東縣高樹鄉大埔村9鄰百畝21號,10013,1001311,1001311-007,9鄰,百畝,,,,,,21號,120.58669014294,22.833867824487
屏東縣高樹鄉大埔村9鄰百畝22號,10013,1001311,1001311-007,9鄰,百畝,,,,,,22號,120.58675413372,22.833648543034
屏東縣高樹鄉大埔村9鄰百畝24號,10013,1001311,1001311-007,9鄰,百畝,,,,,,24號,120.58672961438,22.833637732815
屏東縣高樹鄉大埔村9鄰百畝25號,10013,1001311,1001311-007,9鄰,百畝,,,,,,25號,120.58654949602,22.833822305678
屏東縣高樹鄉大埔村9鄰百畝26號,10013,1001311,1001311-007,9鄰,百畝,,,,,,26號,120.58660855861,22.833621885782
屏東縣高樹鄉大埔村9鄰百畝27號,10013,1001311,1001311-007,9鄰,百畝,,,,,,27號,120.58652224077,22.833814107247
屏東縣高樹鄉大埔村9鄰百畝28號,10013,1001311,1001311-007,9鄰,百畝,,,,,,28號,120.58658416563,22.833601503263
屏東縣高樹鄉大埔村9鄰百畝29號,10013,1001311,1001311-007,9鄰,百畝,,,,,,29號,120.58649400852,22.83380680935
屏東縣高樹鄉大埔村9鄰百畝30號,10013,1001311,1001311-007,9鄰,百畝,,,,,,30號,120.5865505711,22.833627695581
屏東縣高樹鄉大埔村9鄰百畝31號,10013,1001311,1001311-007,9鄰,百畝,,,,,,31號,120.58646529186,22.833798607115
屏東縣高樹鄉大埔村9鄰百畝32號,10013,1001311,1001311-007,9鄰,百畝,,,,,,32號,120.58652431472,22.833611372059
屏東縣高樹鄉大埔村9鄰百畝33號,10013,1001311,1001311-007,9鄰,百畝,,,,,,33號,120.58643755357,22.833789052801
屏東縣高樹鄉大埔村9鄰百畝34號,10013,1001311,1001311-007,9鄰,百畝,,,,,,34號,120.5864940196,22.833577428064
屏東縣高樹鄉大埔村9鄰百畝35號,10013,1001311,1001311-007,9鄰,百畝,,,,,,35號,120.5863953321,22.833800592855
