FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣潮州鎮光華里22鄰福康街35巷1號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,1號,120.54532249803,22.544745657517
屏東縣潮州鎮光華里23鄰福康街1號,10013,1001302,1001302-005,23鄰,福康街,,,,,,1號,120.54497322339,22.545708644141
屏東縣潮州鎮光華里22鄰福康街35巷2號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,2號,120.5453376756,22.544712737081
屏東縣潮州鎮光華里23鄰福康街3號,10013,1001302,1001302-005,23鄰,福康街,,,,,,3號,120.54497724853,22.545667112705
屏東縣潮州鎮光華里22鄰福康街35巷3號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,3號,120.54534215861,22.54467978642
屏東縣潮州鎮光華里22鄰福康街35巷4號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,4號,120.54534149648,22.544644473144
屏東縣潮州鎮光華里22鄰福康街35巷5號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,5號,120.54534726676,22.544604391591
屏東縣潮州鎮光華里22鄰福康街35巷6號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,6號,120.54534446986,22.544567807935
屏東縣潮州鎮光華里22鄰福康街35巷7號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,7號,120.54535236898,22.544530802954
屏東縣潮州鎮光華里22鄰福康街35巷8號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,8號,120.54535587679,22.54449875264
屏東縣潮州鎮光華里22鄰福康街35巷9號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,9號,120.54535842273,22.54446353874
屏東縣潮州鎮光華里22鄰福康街35巷10號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,10號,120.54536291607,22.544427427238
屏東縣潮州鎮光華里22鄰福康街35巷11號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,11號,120.54536741534,22.544389509543
屏東縣潮州鎮光華里22鄰福康街35巷12號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,12號,120.54537385018,22.544354306632
屏東縣潮州鎮光華里22鄰福康街35巷13號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,13號,120.54537736981,22.54431864393
屏東縣潮州鎮光華里22鄰福康街35巷14號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,14號,120.54540665499,22.544282602483
屏東縣潮州鎮光華里22鄰福康街35巷15號,10013,1001302,1001302-005,22鄰,福康街,,35巷,,,,15號,120.54541065038,22.544250101992
屏東縣潮州鎮光華里23鄰福康街15號,10013,1001302,1001302-005,23鄰,福康街,,,,,,15號,120.5451185541,22.545002827136
屏東縣潮州鎮光華里23鄰福康街17號,10013,1001302,1001302-005,23鄰,福康街,,,,,,17號,120.54513230003,22.544961774729
屏東縣潮州鎮光華里22鄰福康街19號,10013,1001302,1001302-005,22鄰,福康街,,,,,,19號,120.54528859628,22.544855379261
屏東縣潮州鎮光華里23鄰福康街19之2號,10013,1001302,1001302-005,23鄰,福康街,,,,,,19之2號,120.54526847269,22.544973538817
屏東縣潮州鎮光華里22鄰福康街21號,10013,1001302,1001302-005,22鄰,福康街,,,,,,21號,120.5451417567,22.544835186156
屏東縣潮州鎮光華里20鄰福康街22號,10013,1001302,1001302-005,20鄰,福康街,,,,,,22號,120.54493947779,22.544999521064
屏東縣潮州鎮光華里22鄰福康街23號,10013,1001302,1001302-005,22鄰,福康街,,,,,,23號,120.54514886716,22.544801520446
屏東縣潮州鎮光華里20鄰福康街24號,10013,1001302,1001302-005,20鄰,福康街,,,,,,24號,120.54494357645,22.544965214671
屏東縣潮州鎮光華里22鄰福康街25號,10013,1001302,1001302-005,22鄰,福康街,,,,,,25號,120.54515704381,22.544768851165
