FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣萬丹鄉竹林村14鄰竹圍街160巷5號,10013,1001305,1001305-008,14鄰,竹圍街,,160巷,,,,5號,120.51025912146,22.612918657494
屏東縣萬丹鄉竹林村13鄰竹圍街7號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,7號,120.50633193346,22.609931744308
屏東縣萬丹鄉竹林村13鄰竹圍街37巷9號,10013,1001305,1001305-008,13鄰,竹圍街,,37巷,,,,9號,120.50628639204,22.610373307535
屏東縣萬丹鄉竹林村14鄰竹圍街51巷9號,10013,1001305,1001305-008,14鄰,竹圍街,,51巷,,,,9號,120.50619835826,22.611055956392
屏東縣萬丹鄉竹林村14鄰竹圍街37巷10號,10013,1001305,1001305-008,14鄰,竹圍街,,37巷,,,,10號,120.50639973714,22.610693261105
屏東縣萬丹鄉竹林村13鄰竹圍街11號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,11號,120.50638078867,22.610169859845
屏東縣萬丹鄉竹林村14鄰竹圍街160巷15弄11號,10013,1001305,1001305-008,14鄰,竹圍街,,160巷,15弄,,,11號,120.51109786946,22.612347749836
屏東縣萬丹鄉竹林村14鄰竹圍街12號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,12號,120.5064947695,22.609820712918
屏東縣萬丹鄉竹林村14鄰竹圍街13號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,13號,120.50646685457,22.61022936747
屏東縣萬丹鄉竹林村13鄰竹圍街15號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,15號,120.50653493456,22.610013646992
屏東縣萬丹鄉竹林村13鄰竹圍街17號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,17號,120.50656327448,22.610085801024
屏東縣萬丹鄉竹林村13鄰竹圍街37巷18號,10013,1001305,1001305-008,13鄰,竹圍街,,37巷,,,,18號,120.506197761,22.610596460346
屏東縣萬丹鄉竹林村14鄰竹圍街18號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,18號,120.50672011471,22.609773993152
屏東縣萬丹鄉竹林村14鄰竹圍街51巷60弄20號,10013,1001305,1001305-008,14鄰,竹圍街,,51巷,60弄,,,20號,120.50707322444,22.613289739025
屏東縣萬丹鄉竹林村13鄰竹圍街37巷20號,10013,1001305,1001305-008,13鄰,竹圍街,,37巷,,,,20號,120.50611861443,22.610696731193
屏東縣萬丹鄉竹林村13鄰竹圍街21號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,21號,120.50656216331,22.610151904094
屏東縣萬丹鄉竹林村13鄰竹圍街37巷22號,10013,1001305,1001305-008,13鄰,竹圍街,,37巷,,,,22號,120.50610143859,22.610739755925
屏東縣萬丹鄉竹林村14鄰竹圍街22號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,22號,120.50677965143,22.609853648389
屏東縣萬丹鄉竹林村13鄰竹圍街23號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,23號,120.50655507431,22.610230451485
屏東縣萬丹鄉竹林村13鄰竹圍街27號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,27號,120.50654494067,22.610371754552
屏東縣萬丹鄉竹林村13鄰竹圍街29號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,29號,120.50654511298,22.61032343955
屏東縣萬丹鄉竹林村14鄰竹圍街30號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,30號,120.5068282006,22.610014096769
屏東縣萬丹鄉竹林村13鄰竹圍街35號,10013,1001305,1001305-008,13鄰,竹圍街,,,,,,35號,120.50648316468,22.610483548283
屏東縣萬丹鄉竹林村14鄰竹圍街36號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,36號,120.50669792862,22.61013109869
屏東縣萬丹鄉竹林村14鄰竹圍街38號,10013,1001305,1001305-008,14鄰,竹圍街,,,,,,38號,120.50694261857,22.610115143271
