FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣內埔鄉龍泉村2鄰通賢巷1號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,1號,120.60042767103,22.668529421257
屏東縣內埔鄉龍泉村2鄰通賢巷2號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,2號,120.60054158983,22.668440027966
屏東縣內埔鄉龍泉村2鄰通賢巷3號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,3號,120.60058338817,22.668724697651
屏東縣內埔鄉龍泉村2鄰通賢巷4號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,4號,120.5745325341,22.704745886532
屏東縣內埔鄉龍泉村2鄰通賢巷5號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,5號,120.60048852958,22.668516026613
屏東縣內埔鄉龍泉村2鄰通賢巷6號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,6號,120.60073335562,22.668183214065
屏東縣內埔鄉龍泉村2鄰通賢巷7號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,7號,120.60078172332,22.668652673473
屏東縣內埔鄉龍泉村2鄰通賢巷8號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,8號,120.60082162622,22.668381844189
屏東縣內埔鄉龍泉村2鄰通賢巷9號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,9號,120.60087811454,22.668499929248
屏東縣內埔鄉龍泉村2鄰通賢巷10號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,10號,120.60097891655,22.668369773341
屏東縣內埔鄉龍泉村2鄰通賢巷11號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,11號,120.60090903094,22.668644411284
屏東縣內埔鄉龍泉村2鄰通賢巷13號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,13號,120.60099008844,22.668712796936
屏東縣內埔鄉龍泉村2鄰通賢巷15號,10013,1001313,1001313-017,2鄰,通賢巷,,,,,,15號,120.60099323293,22.668466711177
屏東縣內埔鄉龍泉村6鄰通賢巷17號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,17號,120.60117143467,22.668491990082
屏東縣內埔鄉龍泉村6鄰通賢巷18號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,18號,120.60172194413,22.668249885113
屏東縣內埔鄉龍泉村6鄰通賢巷19號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,19號,120.60128200908,22.66848215067
屏東縣內埔鄉龍泉村6鄰通賢巷21號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,21號,120.60139332937,22.668449916262
屏東縣內埔鄉龍泉村6鄰通賢巷23號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,23號,120.60159772654,22.66843507211
屏東縣內埔鄉龍泉村6鄰通賢巷25號,10013,1001313,1001313-017,6鄰,通賢巷,,,,,,25號,120.60179724866,22.668490927982
