FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣潮州鎮三共里29鄰重義巷4號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,4號,120.54068166325,22.558356788419
屏東縣潮州鎮三共里29鄰重義巷6號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,6號,120.54084364859,22.558417307393
屏東縣潮州鎮三共里29鄰重義巷10號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,10號,120.54047011096,22.558465730384
屏東縣潮州鎮三共里29鄰重義巷12號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,12號,120.54051997435,22.558559073104
屏東縣潮州鎮三共里29鄰重義巷13號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,13號,120.54035377228,22.558626692063
屏東縣潮州鎮三共里29鄰重義巷16號,10013,1001302,1001302-008,29鄰,重義巷,,,,,,16號,120.54054925477,22.558848691584
屏東縣潮州鎮三共里34鄰重義巷23號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,23號,120.54042126591,22.559532426282
屏東縣潮州鎮三共里34鄰重義巷26號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,26號,120.54055649947,22.559508970832
屏東縣潮州鎮三共里34鄰重義巷26之1號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,26之1號,120.54056028202,22.559541222413
屏東縣潮州鎮三共里34鄰重義巷27號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,27號,120.5404362865,22.559665135024
屏東縣潮州鎮三共里34鄰重義巷29號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,29號,120.54044694384,22.559882181098
屏東縣潮州鎮三共里34鄰重義巷30號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,30號,120.54060351629,22.559610523623
屏東縣潮州鎮三共里34鄰重義巷30之1號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,30之1號,120.54060606826,22.559573955247
屏東縣潮州鎮三共里34鄰重義巷31號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,31號,120.54044519602,22.559910804462
屏東縣潮州鎮三共里34鄰重義巷32號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,32號,120.54067253443,22.560027141527
屏東縣潮州鎮三共里34鄰重義巷33號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,33號,120.54044109783,22.559944478485
屏東縣潮州鎮三共里34鄰重義巷33之1號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,33之1號,120.54048211819,22.56035921022
屏東縣潮州鎮三共里34鄰重義巷34號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,34號,120.54066947834,22.560069127079
屏東縣潮州鎮三共里34鄰重義巷35號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,35號,120.54044969686,22.560019731527
屏東縣潮州鎮三共里34鄰重義巷35之1號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,35之1號,120.54045559012,22.560060568617
屏東縣潮州鎮三共里34鄰重義巷35之2號,10013,1001302,1001302-008,34鄰,重義巷,,,,,,35之2號,120.54041430429,22.560107502272
