FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣枋寮鄉隆山村20鄰隆興路199巷1號,10013,1001316,1001316-006,20鄰,隆興路,,199巷,,,,1號,120.60193050791,22.364136543145
屏東縣枋寮鄉隆山村20鄰隆興路219巷1號,10013,1001316,1001316-006,20鄰,隆興路,,219巷,,,,1號,120.60162344007,22.364560800686
屏東縣枋寮鄉隆山村20鄰隆興路243巷1號,10013,1001316,1001316-006,20鄰,隆興路,,243巷,,,,1號,120.60124244385,22.364894652871
屏東縣枋寮鄉隆山村21鄰隆興路194巷1號,10013,1001316,1001316-006,21鄰,隆興路,,194巷,,,,1號,120.60213296543,22.364441847124
屏東縣枋寮鄉隆山村22鄰隆興路218巷1號,10013,1001316,1001316-006,22鄰,隆興路,,218巷,,,,1號,120.60180648604,22.364897305576
屏東縣枋寮鄉隆山村22鄰隆興路218巷2號,10013,1001316,1001316-006,22鄰,隆興路,,218巷,,,,2號,120.60193427927,22.36472277394
屏東縣枋寮鄉隆山村21鄰隆興路194巷2號,10013,1001316,1001316-006,21鄰,隆興路,,194巷,,,,2號,120.60209271633,22.364186072164
屏東縣枋寮鄉隆山村20鄰隆興路243巷2號,10013,1001316,1001316-006,20鄰,隆興路,,243巷,,,,2號,120.60107112369,22.365009921702
屏東縣枋寮鄉隆山村20鄰隆興路199巷2號,10013,1001316,1001316-006,20鄰,隆興路,,199巷,,,,2號,120.60184761398,22.364194862113
屏東縣枋寮鄉隆山村22鄰隆興路218巷2之1號,10013,1001316,1001316-006,22鄰,隆興路,,218巷,,,,2之1號,120.60196975263,22.364745620028
屏東縣枋寮鄉隆山村20鄰隆興路199巷3號,10013,1001316,1001316-006,20鄰,隆興路,,199巷,,,,3號,120.60189939642,22.364116417163
屏東縣枋寮鄉隆山村20鄰隆興路219巷3號,10013,1001316,1001316-006,20鄰,隆興路,,219巷,,,,3號,120.60159271435,22.364541578725
屏東縣枋寮鄉隆山村20鄰隆興路243巷3號,10013,1001316,1001316-006,20鄰,隆興路,,243巷,,,,3號,120.60120435534,22.364869542358
屏東縣枋寮鄉隆山村22鄰隆興路218巷3號,10013,1001316,1001316-006,22鄰,隆興路,,218巷,,,,3號,120.60184176266,22.364921054338
屏東縣枋寮鄉隆山村22鄰隆興路240巷3號,10013,1001316,1001316-006,22鄰,隆興路,,240巷,,,,3號,120.60153119086,22.365279284246
屏東縣枋寮鄉隆山村21鄰隆興路194巷3號,10013,1001316,1001316-006,21鄰,隆興路,,194巷,,,,3號,120.60217251432,22.364465606314
屏東縣枋寮鄉隆山村20鄰隆興路199巷4號,10013,1001316,1001316-006,20鄰,隆興路,,199巷,,,,4號,120.60181319627,22.36417644393
屏東縣枋寮鄉隆山村20鄰隆興路199巷5號,10013,1001316,1001316-006,20鄰,隆興路,,199巷,,,,5號,120.60186702908,22.364094030263
屏東縣枋寮鄉隆山村20鄰隆興路219巷5號,10013,1001316,1001316-006,20鄰,隆興路,,219巷,,,,5號,120.60156189822,22.364520008399
屏東縣枋寮鄉隆山村20鄰隆興路243巷5號,10013,1001316,1001316-006,20鄰,隆興路,,243巷,,,,5號,120.60116907138,22.364848412517
