FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣潮州鎮三共里7鄰順昌街1號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,1號,120.54765672846,22.556027859111
屏東縣潮州鎮三共里7鄰順昌街3號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,3號,120.54762017254,22.556056655605
屏東縣潮州鎮三共里7鄰順昌街5號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,5號,120.54758753531,22.556076432077
屏東縣潮州鎮三共里7鄰順昌街7號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,7號,120.54754662458,22.556098894575
屏東縣潮州鎮三共里7鄰順昌街9號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,9號,120.54751299292,22.556125441512
屏東縣潮州鎮三共里7鄰順昌街11號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,11號,120.54747838599,22.556152888801
屏東縣潮州鎮三共里7鄰順昌街13號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,13號,120.54744087832,22.556175360848
屏東縣潮州鎮三共里7鄰順昌街15號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,15號,120.54740626694,22.556204162765
屏東縣潮州鎮三共里7鄰順昌街17號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,17號,120.54736338795,22.556233844507
屏東縣潮州鎮三共里7鄰順昌街19號,10013,1001302,1001302-008,7鄰,順昌街,,,,,,19號,120.54730328422,22.556327598122
