FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
屏東縣牡丹鄉高士村6鄰高士佛1號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,1號,120.83672951336,22.121112020908
屏東縣牡丹鄉高士村6鄰高士佛2號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,2號,120.83679480889,22.121144329338
屏東縣牡丹鄉高士村6鄰高士佛3號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,3號,120.83686658658,22.121187391937
屏東縣牡丹鄉高士村6鄰高士佛5號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,5號,120.83693070382,22.121232885413
屏東縣牡丹鄉高士村6鄰高士佛6號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,6號,120.83697932836,22.121264003
屏東縣牡丹鄉高士村6鄰高士佛7號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,7號,120.83671896605,22.121348550506
屏東縣牡丹鄉高士村6鄰高士佛8號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,8號,120.83678939092,22.121387999107
屏東縣牡丹鄉高士村6鄰高士佛9號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,9號,120.83686244528,22.121416792903
屏東縣牡丹鄉高士村6鄰高士佛10號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,10號,120.83665595531,22.121520541312
屏東縣牡丹鄉高士村6鄰高士佛11號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,11號,120.83671611491,22.121551670515
屏東縣牡丹鄉高士村6鄰高士佛12號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,12號,120.83690199741,22.121666558825
屏東縣牡丹鄉高士村6鄰高士佛13號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,13號,120.83696990908,22.121700043918
屏東縣牡丹鄉高士村6鄰高士佛15號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,15號,120.83701113432,22.121506535812
屏東縣牡丹鄉高士村6鄰高士佛16號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,16號,120.83708165483,22.12154724882
屏東縣牡丹鄉高士村6鄰高士佛17號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,17號,120.83715595172,22.121591487925
屏東縣牡丹鄉高士村6鄰高士佛18號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,18號,120.83713438749,22.121377595838
屏東縣牡丹鄉高士村6鄰高士佛19號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,19號,120.83720103615,22.121413518134
屏東縣牡丹鄉高士村6鄰高士佛20號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,20號,120.83729710996,22.12148649968
屏東縣牡丹鄉高士村6鄰高士佛21號,10013,1001333,1001333-005,6鄰,高士佛,,,,,,21號,120.83735988274,22.121521243929
