FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣長濱鄉寧埔村?曼1之1號,10014,1001408,1001408-006,,?曼,,,,,,1之1號,121.41368091069,23.223674988259
臺東縣長濱鄉寧埔村?曼1之3號,10014,1001408,1001408-006,,?曼,,,,,,1之3號,121.41370605866,23.223807414906
臺東縣長濱鄉寧埔村?曼1之5號,10014,1001408,1001408-006,,?曼,,,,,,1之5號,121.41333957306,23.223852717731
臺東縣長濱鄉寧埔村?曼1之6號,10014,1001408,1001408-006,,?曼,,,,,,1之6號,121.41337165506,23.223933373451
臺東縣長濱鄉寧埔村?曼1之8號,10014,1001408,1001408-006,,?曼,,,,,,1之8號,121.41343441754,23.223011032325
臺東縣長濱鄉寧埔村?曼3號,10014,1001408,1001408-006,,?曼,,,,,,3號,121.413827205,23.224101150289
臺東縣長濱鄉寧埔村?曼3之1號,10014,1001408,1001408-006,,?曼,,,,,,3之1號,121.41386158263,23.224244921775
臺東縣長濱鄉寧埔村?曼3之2號,10014,1001408,1001408-006,,?曼,,,,,,3之2號,121.41333643676,23.224246393641
臺東縣長濱鄉寧埔村?曼3之5號,10014,1001408,1001408-006,,?曼,,,,,,3之5號,121.41375241189,23.223889839054
臺東縣長濱鄉寧埔村?曼5之1號,10014,1001408,1001408-006,,?曼,,,,,,5之1號,121.4141990763,23.223711018506
臺東縣長濱鄉寧埔村?曼5之2號,10014,1001408,1001408-006,,?曼,,,,,,5之2號,121.41424410745,23.223782880519
臺東縣長濱鄉寧埔村?曼7號,10014,1001408,1001408-006,,?曼,,,,,,7號,121.41417022278,23.224103859131
臺東縣長濱鄉寧埔村?曼7之1號,10014,1001408,1001408-006,,?曼,,,,,,7之1號,121.41409931762,23.224161758666
臺東縣長濱鄉寧埔村?曼8號,10014,1001408,1001408-006,,?曼,,,,,,8號,121.4143166384,23.223887811313
臺東縣長濱鄉寧埔村?曼9號,10014,1001408,1001408-006,,?曼,,,,,,9號,121.41417517425,23.223593037168
臺東縣長濱鄉寧埔村?曼9之2號,10014,1001408,1001408-006,,?曼,,,,,,9之2號,121.41442466179,23.223424226174
