FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市知本里1鄰富民街1號,10014,1001401,1001401-045,1鄰,富民街,,,,,,1號,121.05761065662,22.706638076435
臺東縣臺東市知本里1鄰富民街248巷1號,10014,1001401,1001401-045,1鄰,富民街,,248巷,,,,1號,121.05778180252,22.709149192626
臺東縣臺東市知本里富民街302巷2號,10014,1001401,1001401-045,,富民街,,302巷,,,,2號,121.05778854451,22.710091039748
臺東縣臺東市知本里1鄰富民街302巷2號,10014,1001401,1001401-045,1鄰,富民街,,302巷,,,,2號,121.05778854451,22.710091039748
臺東縣臺東市知本里1鄰富民街248巷3號,10014,1001401,1001401-045,1鄰,富民街,,248巷,,,,3號,121.05782383291,22.709191117698
臺東縣臺東市知本里1鄰富民街3號,10014,1001401,1001401-045,1鄰,富民街,,,,,,3號,121.05761076418,22.706685778488
臺東縣臺東市知本里富民街302巷4號,10014,1001401,1001401-045,,富民街,,302巷,,,,4號,121.05782603769,22.710083440107
臺東縣臺東市知本里1鄰富民街302巷4號,10014,1001401,1001401-045,1鄰,富民街,,302巷,,,,4號,121.05782603769,22.710083440107
臺東縣臺東市知本里1鄰富民街5號,10014,1001401,1001401-045,1鄰,富民街,,,,,,5號,121.05761447506,22.706737615472
臺東縣臺東市知本里富民街302巷6號,10014,1001401,1001401-045,,富民街,,302巷,,,,6號,121.05791041984,22.710073565723
臺東縣臺東市知本里1鄰富民街7號,10014,1001401,1001401-045,1鄰,富民街,,,,,,7號,121.05761562652,22.706790943504
臺東縣臺東市知本里富民街302巷8號,10014,1001401,1001401-045,,富民街,,302巷,,,,8號,121.05794132303,22.710066239372
臺東縣臺東市知本里1鄰富民街302巷8號,10014,1001401,1001401-045,1鄰,富民街,,302巷,,,,8號,121.05794132303,22.710066239372
臺東縣臺東市知本里1鄰富民街9號,10014,1001401,1001401-045,1鄰,富民街,,,,,,9號,121.05761847118,22.706843024638
臺東縣臺東市知本里1鄰富民街302巷10號,10014,1001401,1001401-045,1鄰,富民街,,302巷,,,,10號,121.05803904052,22.71005500543
臺東縣臺東市知本里1鄰富民街11號,10014,1001401,1001401-045,1鄰,富民街,,,,,,11號,121.05762004962,22.706893200673
臺東縣臺東市知本里富民街322巷12號,10014,1001401,1001401-045,,富民街,,322巷,,,,12號,121.05795805509,22.710502921292
臺東縣臺東市知本里1鄰富民街322巷14號,10014,1001401,1001401-045,1鄰,富民街,,322巷,,,,14號,121.05800526163,22.710491615354
臺東縣臺東市知本里1鄰富民街46巷15號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,15號,121.05831998813,22.707704722435
臺東縣臺東市知本里1鄰富民街56巷16號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,16號,121.05826569074,22.707979304656
臺東縣臺東市知本里富民街322巷16號,10014,1001401,1001401-045,,富民街,,322巷,,,,16號,121.05805150543,22.710482567516
臺東縣臺東市知本里1鄰富民街46巷17號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,17號,121.05836041145,22.707722119587
臺東縣臺東市知本里1鄰富民街56巷18號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,18號,121.05831370822,22.708000176012
臺東縣臺東市知本里富民街322巷18號,10014,1001401,1001401-045,,富民街,,322巷,,,,18號,121.05810504879,22.710470807695
臺東縣臺東市知本里1鄰富民街46巷19號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,19號,121.05840021288,22.707742054684
臺東縣臺東市知本里1鄰富民街56巷20號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,20號,121.05836123995,22.708023287236
臺東縣臺東市知本里1鄰富民街322巷20號,10014,1001401,1001401-045,1鄰,富民街,,322巷,,,,20號,121.05814784682,22.710462212635
臺東縣臺東市知本里1鄰富民街46巷21號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,21號,121.05844240831,22.707760580052
臺東縣臺東市知本里1鄰富民街56巷22號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,22號,121.05840085608,22.708042192859
臺東縣臺東市知本里1鄰富民街46巷23號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,23號,121.05847626198,22.707779930284
臺東縣臺東市知本里1鄰富民街56巷24號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,24號,121.05844614685,22.708060238448
臺東縣臺東市知本里1鄰富民街46巷25號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,25號,121.05851894414,22.707798464484
臺東縣臺東市知本里1鄰富民街56巷26號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,26號,121.05847658563,22.708083626813
臺東縣臺東市知本里1鄰富民街46巷27號,10014,1001401,1001401-045,1鄰,富民街,,46巷,,,,27號,121.05856017681,22.707819067317
臺東縣臺東市知本里1鄰富民街56巷28號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,28號,121.0585205348,22.70810564654
臺東縣臺東市知本里1鄰富民街56巷30號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,30號,121.05856773334,22.708123330154
臺東縣臺東市知本里1鄰富民街56巷32號,10014,1001401,1001401-045,1鄰,富民街,,56巷,,,,32號,121.05860997765,22.708142008986
臺東縣臺東市知本里富民街300號,10014,1001401,1001401-045,,富民街,,,,,,300號,121.05768689822,22.710111576949
臺東縣臺東市知本里1鄰富民街351號,10014,1001401,1001401-045,1鄰,富民街,,,,,,351號,121.05741149514,22.711695805508
