FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市岩灣里1鄰樂利路28巷13弄1號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,13弄,,,1號,121.12794001787,22.797349863029
臺東縣臺東市岩灣里1鄰樂利路1號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,1號,121.12411449023,22.798025330644
臺東縣臺東市岩灣里1鄰樂利路1之1號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,1之1號,121.12417607197,22.79804951275
臺東縣臺東市岩灣里1鄰樂利路2號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,2號,121.12406498521,22.797708888496
臺東縣臺東市岩灣里1鄰樂利路28巷13弄2號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,13弄,,,2號,121.12795779691,22.79713364779
臺東縣臺東市岩灣里1鄰樂利路2之3號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,2之3號,121.12423189767,22.797741098404
臺東縣臺東市岩灣里1鄰樂利路2之12號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,2之12號,121.12470176928,22.797689255277
臺東縣臺東市岩灣里1鄰樂利路2之13號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,2之13號,121.12474344413,22.797641412828
臺東縣臺東市岩灣里1鄰樂利路2之15號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,2之15號,121.12478719987,22.797589694462
臺東縣臺東市岩灣里1鄰樂利路3號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,3號,121.12421553934,22.798016094588
臺東縣臺東市岩灣里1鄰樂利路3之1號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,3之1號,121.12426898876,22.798030592781
臺東縣臺東市岩灣里1鄰樂利路27巷22弄5號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,22弄,,,5號,121.12781854635,22.798688636278
臺東縣臺東市岩灣里1鄰樂利路57巷6號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,6號,121.12836529678,22.798100941555
臺東縣臺東市岩灣里1鄰樂利路6之8號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,6之8號,121.12604073822,22.79752717182
臺東縣臺東市岩灣里1鄰樂利路27巷22弄7號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,22弄,,,7號,121.12787321094,22.798637233446
臺東縣臺東市岩灣里1鄰樂利路28巷7號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,7號,121.12774774918,22.79742055791
臺東縣臺東市岩灣里1鄰樂利路57巷8號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,8號,121.12835102116,22.798146758024
臺東縣臺東市岩灣里1鄰樂利路28巷9號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,9號,121.1277505078,22.797370524231
臺東縣臺東市岩灣里1鄰樂利路57巷10號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,10號,121.12835321421,22.798189906139
臺東縣臺東市岩灣里1鄰樂利路28巷10號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,10號,121.12746549756,22.797333535722
臺東縣臺東市岩灣里1鄰樂利路27巷10號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,10號,121.12764106147,22.798057984624
臺東縣臺東市岩灣里1鄰樂利路11號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,11號,121.12467319675,22.79807070888
臺東縣臺東市岩灣里1鄰樂利路27巷11號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,11號,121.12734803651,22.798097738315
臺東縣臺東市岩灣里1鄰樂利路28巷11號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,11號,121.12776289889,22.797298709211
臺東縣臺東市岩灣里1鄰樂利路57巷12號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,12號,121.12834752906,22.798235047404
臺東縣臺東市岩灣里1鄰樂利路52巷12號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,12號,121.12819861493,22.79748351213
臺東縣臺東市岩灣里1鄰樂利路28巷12號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,12號,121.12746956016,22.797292531955
臺東縣臺東市岩灣里1鄰樂利路27巷12號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,12號,121.12763637204,22.798105725982
臺東縣臺東市岩灣里1鄰樂利路12號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,12號,121.12726145364,22.797395009796
臺東縣臺東市岩灣里1鄰樂利路13號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,13號,121.12473224658,22.798063311513
臺東縣臺東市岩灣里1鄰樂利路77巷13號,10014,1001401,1001401-003,1鄰,樂利路,,77巷,,,,13號,121.12859419855,22.798444023561
臺東縣臺東市岩灣里1鄰樂利路77巷15號,10014,1001401,1001401-003,1鄰,樂利路,,77巷,,,,15號,121.12859299554,22.798511458633
臺東縣臺東市岩灣里1鄰樂利路95巷15號,10014,1001401,1001401-003,1鄰,樂利路,,95巷,,,,15號,121.12911715764,22.798413952419
臺東縣臺東市岩灣里1鄰樂利路15號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,15號,121.12478248051,22.798055099206
臺東縣臺東市岩灣里1鄰樂利路28巷15號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,15號,121.12777241758,22.797165296372
臺東縣臺東市岩灣里1鄰樂利路28巷16號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,16號,121.12746258383,22.797216849127
臺東縣臺東市岩灣里1鄰樂利路16號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,16號,121.12732134942,22.797397002986
臺東縣臺東市岩灣里1鄰樂利路52巷16號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,16號,121.12819855884,22.797423519567
臺東縣臺東市岩灣里1鄰樂利路57巷16號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,16號,121.12833373905,22.798373024324
臺東縣臺東市岩灣里1鄰樂利路57巷16之1號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,16之1號,121.12833049822,22.798417585639
臺東縣臺東市岩灣里1鄰樂利路57巷16之2,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,16之2,121.12832115196,22.798464156737
臺東縣臺東市岩灣里1鄰樂利路57巷16之3,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,16之3,121.12831826051,22.798507363128
臺東縣臺東市岩灣里1鄰樂利路95巷17號,10014,1001401,1001401-003,1鄰,樂利路,,95巷,,,,17號,121.12911722347,22.798483842885
臺東縣臺東市岩灣里1鄰樂利路77巷17號,10014,1001401,1001401-003,1鄰,樂利路,,77巷,,,,17號,121.12858499605,22.798571069351
臺東縣臺東市岩灣里1鄰樂利路28巷17號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,17號,121.12778079119,22.79708876138
臺東縣臺東市岩灣里1鄰樂利路28巷18號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,18號,121.12746670637,22.797156510045
臺東縣臺東市岩灣里1鄰樂利路18號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,18號,121.12736920902,22.797444142461
臺東縣臺東市岩灣里1鄰樂利路52巷18號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,18號,121.1281997549,22.797369287744
臺東縣臺東市岩灣里1鄰樂利路57巷18號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,18號,121.12834245331,22.798650213285
臺東縣臺東市岩灣里1鄰樂利路77巷19號,10014,1001401,1001401-003,1鄰,樂利路,,77巷,,,,19號,121.12857626299,22.798627465642
臺東縣臺東市岩灣里1鄰樂利路28巷19號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,19號,121.12778201418,22.797031892498
臺東縣臺東市岩灣里1鄰樂利路52巷20號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,20號,121.12819970204,22.797312754033
臺東縣臺東市岩灣里1鄰樂利路20號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,20號,121.12744115163,22.797464811023
臺東縣臺東市岩灣里1鄰樂利路28巷21號,10014,1001401,1001401-003,1鄰,樂利路,,28巷,,,,21號,121.12778332758,22.796977967634
臺東縣臺東市岩灣里1鄰樂利路57巷21號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,21號,121.12800346666,22.798601339298
臺東縣臺東市岩灣里1鄰樂利路95巷21號,10014,1001401,1001401-003,1鄰,樂利路,,95巷,,,,21號,121.12907974945,22.79871937329
臺東縣臺東市岩灣里1鄰樂利路52巷22號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,22號,121.1281308268,22.797259933162
臺東縣臺東市岩灣里1鄰樂利路22號,10014,1001401,1001401-003,1鄰,樂利路,,,,,,22號,121.12750526629,22.797394824092
臺東縣臺東市岩灣里1鄰樂利路27巷23號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,23號,121.12744536912,22.798491527398
臺東縣臺東市岩灣里1鄰樂利路57巷23號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,23號,121.12798891369,22.798663258138
臺東縣臺東市岩灣里1鄰樂利路57巷25號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,25號,121.12799868049,22.79872269201
臺東縣臺東市岩灣里1鄰樂利路27巷25號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,25號,121.12737199066,22.798561503635
臺東縣臺東市岩灣里1鄰樂利路27巷26號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,26號,121.12768278629,22.798587706762
臺東縣臺東市岩灣里1鄰樂利路52巷26號,10014,1001401,1001401-003,1鄰,樂利路,,52巷,,,,26號,121.12644914734,22.797254782088
臺東縣臺東市岩灣里1鄰樂利路57巷27號,10014,1001401,1001401-003,1鄰,樂利路,,57巷,,,,27號,121.12805658013,22.798797755937
臺東縣臺東市岩灣里1鄰樂利路27巷27號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,27號,121.12736236329,22.798609899154
臺東縣臺東市岩灣里1鄰樂利路27巷28號,10014,1001401,1001401-003,1鄰,樂利路,,27巷,,,,28號,121.1276762679,22.798658785556
