FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣卑南鄉初鹿村16鄰水源頭1號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,1號,121.08682030784,22.861466806045
臺東縣卑南鄉初鹿村16鄰水源頭2號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,2號,121.08695051267,22.863093269807
臺東縣卑南鄉初鹿村16鄰水源頭3號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,3號,121.08621964943,22.86162790046
臺東縣卑南鄉初鹿村16鄰水源頭5號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,5號,121.08615070595,22.862049273823
臺東縣卑南鄉初鹿村16鄰水源頭6號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,6號,121.08621363981,22.862173423461
臺東縣卑南鄉初鹿村16鄰水源頭7號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,7號,121.08601314508,22.862374758165
臺東縣卑南鄉初鹿村16鄰水源頭10號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,10號,121.08568704668,22.862003096368
臺東縣卑南鄉初鹿村16鄰水源頭12號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,12號,121.08562925021,22.861865307114
臺東縣卑南鄉初鹿村16鄰水源頭13號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,13號,121.08563538236,22.862289249757
臺東縣卑南鄉初鹿村16鄰水源頭14號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,14號,121.08562379433,22.862396290057
臺東縣卑南鄉初鹿村水源頭15號,10014,1001404,1001404-006,,水源頭,,,,,,15號,121.08582848627,22.862592800242
臺東縣卑南鄉初鹿村水源頭16號,10014,1001404,1001404-006,,水源頭,,,,,,16號,121.08509654718,22.862349603234
臺東縣卑南鄉初鹿村16鄰水源頭17號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,17號,121.08500218577,22.862616091903
臺東縣卑南鄉初鹿村18鄰水源頭20號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,20號,121.08316127295,22.858583842598
臺東縣卑南鄉初鹿村18鄰水源頭21號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,21號,121.0826758586,22.858315489697
臺東縣卑南鄉初鹿村16鄰水源頭22號,10014,1001404,1001404-006,16鄰,水源頭,,,,,,22號,121.08269152473,22.858422506651
臺東縣卑南鄉初鹿村18鄰水源頭22之1號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,22之1號,121.08274094843,22.858016957813
臺東縣卑南鄉初鹿村18鄰水源頭22之7號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,22之7號,121.08500116257,22.85786830133
臺東縣卑南鄉初鹿村18鄰水源頭23號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,23號,121.08256921816,22.858471345994
臺東縣卑南鄉初鹿村18鄰水源頭24號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,24號,121.08224911662,22.858415059637
臺東縣卑南鄉初鹿村18鄰水源頭25號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,25號,121.08244255607,22.858504825952
臺東縣卑南鄉初鹿村水源頭27號,10014,1001404,1001404-006,,水源頭,,,,,,27號,121.08221079445,22.858713487174
臺東縣卑南鄉初鹿村18鄰水源頭27之7號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,27之7號,121.08197425908,22.858535384543
臺東縣卑南鄉初鹿村水源頭28號,10014,1001404,1001404-006,,水源頭,,,,,,28號,121.08228405728,22.859039500595
臺東縣卑南鄉初鹿村18鄰水源頭30號,10014,1001404,1001404-006,18鄰,水源頭,,,,,,30號,121.08366862984,22.860022585809
臺東縣卑南鄉初鹿村水源頭31號,10014,1001404,1001404-006,,水源頭,,,,,,31號,121.08152193512,22.85935274994
臺東縣卑南鄉初鹿村19鄰水源頭32號,10014,1001404,1001404-006,19鄰,水源頭,,,,,,32號,121.08107837912,22.859320817524
臺東縣卑南鄉初鹿村19鄰水源頭33號,10014,1001404,1001404-006,19鄰,水源頭,,,,,,33號,121.08120565744,22.859518998737
臺東縣卑南鄉初鹿村19鄰水源頭34號,10014,1001404,1001404-006,19鄰,水源頭,,,,,,34號,121.08094890628,22.859480748252
