FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣臺東市卑南里28鄰永安街182巷1號,10014,1001401,1001401-005,28鄰,永安街,,182巷,,,,1號,121.1220727853,22.783260834985
臺東縣臺東市卑南里28鄰永安街197巷1號,10014,1001401,1001401-005,28鄰,永安街,,197巷,,,,1號,121.12140769868,22.783040435889
臺東縣臺東市卑南里6鄰永安街18巷31弄1號,10014,1001401,1001401-005,6鄰,永安街,,18巷,31弄,,,1號,121.1258314892,22.781172998591
臺東縣臺東市卑南里8鄰永安街47巷6弄1號,10014,1001401,1001401-005,8鄰,永安街,,47巷,6弄,,,1號,121.12445401426,22.780486487822
臺東縣臺東市卑南里9鄰永安街18巷1號,10014,1001401,1001401-005,9鄰,永安街,,18巷,,,,1號,121.12550220708,22.7809207881
臺東縣臺東市卑南里9鄰永安街61巷1號,10014,1001401,1001401-005,9鄰,永安街,,61巷,,,,1號,121.12444422665,22.781120406387
臺東縣臺東市卑南里9鄰永安街72巷14弄1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,14弄,,,1號,121.12487982565,22.78177310456
臺東縣臺東市卑南里9鄰永安街72巷15弄1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,15弄,,,1號,121.12466213446,22.781700530314
臺東縣臺東市卑南里9鄰永安街72巷1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,,,,1號,121.12448658101,22.781526369646
臺東縣臺東市卑南里9鄰永安街72巷2弄1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,2弄,,,1號,121.12484162468,22.781426923193
臺東縣臺東市卑南里9鄰永安街90巷1號,10014,1001401,1001401-005,9鄰,永安街,,90巷,,,,1號,121.12419142062,22.78172981452
臺東縣臺東市卑南里9鄰永安街90巷2號,10014,1001401,1001401-005,9鄰,永安街,,90巷,,,,2號,121.12434026716,22.781622862233
臺東縣臺東市卑南里9鄰永安街72巷15弄2號,10014,1001401,1001401-005,9鄰,永安街,,72巷,15弄,,,2號,121.12480099097,22.781832319086
臺東縣臺東市卑南里9鄰永安街72巷14弄2號,10014,1001401,1001401-005,9鄰,永安街,,72巷,14弄,,,2號,121.12493730469,22.781556487882
臺東縣臺東市卑南里9鄰永安街61巷2號,10014,1001401,1001401-005,9鄰,永安街,,61巷,,,,2號,121.12407250133,22.781221237636
臺東縣臺東市卑南里9鄰永安街56巷2號,10014,1001401,1001401-005,9鄰,永安街,,56巷,,,,2號,121.12519178927,22.781136248986
臺東縣臺東市卑南里8鄰永安街47巷6弄2號,10014,1001401,1001401-005,8鄰,永安街,,47巷,6弄,,,2號,121.12462610677,22.780690471522
臺東縣臺東市卑南里28鄰永安街197巷2號,10014,1001401,1001401-005,28鄰,永安街,,197巷,,,,2號,121.12121084148,22.783223200772
臺東縣臺東市卑南里9鄰永安街56巷2之1號,10014,1001401,1001401-005,9鄰,永安街,,56巷,,,,2之1號,121.12522591249,22.781175407592
臺東縣臺東市卑南里9鄰永安街72巷14弄2之1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,14弄,,,2之1號,121.12497694628,22.781505883409
臺東縣臺東市卑南里9鄰永安街72巷15弄2之1號,10014,1001401,1001401-005,9鄰,永安街,,72巷,15弄,,,2之1號,121.12473628254,22.781874824269
