FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣卑南鄉富山村1鄰漁場1號,10014,1001404,1001404-003,1鄰,漁場,,,,,,1號,121.18869317994,22.819629604405
臺東縣卑南鄉富山村3鄰漁場2號,10014,1001404,1001404-003,3鄰,漁場,,,,,,2號,121.189113098,22.819558394654
臺東縣卑南鄉富山村1鄰漁場3號,10014,1001404,1001404-003,1鄰,漁場,,,,,,3號,121.1887684245,22.819769060875
臺東縣卑南鄉富山村1鄰漁場5號,10014,1001404,1001404-003,1鄰,漁場,,,,,,5號,121.18876993021,22.819808343538
臺東縣卑南鄉富山村3鄰漁場6號,10014,1001404,1001404-003,3鄰,漁場,,,,,,6號,121.18904424937,22.81979691035
臺東縣卑南鄉富山村1鄰漁場7號,10014,1001404,1001404-003,1鄰,漁場,,,,,,7號,121.18877045923,22.819845821175
臺東縣卑南鄉富山村3鄰漁場8號,10014,1001404,1001404-003,3鄰,漁場,,,,,,8號,121.18904044328,22.819834393129
臺東縣卑南鄉富山村1鄰漁場9號,10014,1001404,1001404-003,1鄰,漁場,,,,,,9號,121.18877100111,22.819885565556
臺東縣卑南鄉富山村3鄰漁場10號,10014,1001404,1001404-003,3鄰,漁場,,,,,,10號,121.18903848155,22.819874140478
臺東縣卑南鄉富山村1鄰漁場11號,10014,1001404,1001404-003,1鄰,漁場,,,,,,11號,121.18876961181,22.819930730767
臺東縣卑南鄉富山村3鄰漁場12號,10014,1001404,1001404-003,3鄰,漁場,,,,,,12號,121.18904199917,22.819917033113
臺東縣卑南鄉富山村1鄰漁場13號,10014,1001404,1001404-003,1鄰,漁場,,,,,,13號,121.18857107044,22.820058762185
臺東縣卑南鄉富山村3鄰漁場14號,10014,1001404,1001404-003,3鄰,漁場,,,,,,14號,121.1890390821,22.81995633005
臺東縣卑南鄉富山村3鄰漁場16號,10014,1001404,1001404-003,3鄰,漁場,,,,,,16號,121.18904066832,22.819997418794
臺東縣卑南鄉富山村3鄰漁場18號,10014,1001404,1001404-003,3鄰,漁場,,,,,,18號,121.18903822859,22.820036706133
臺東縣卑南鄉富山村3鄰漁場20號,10014,1001404,1001404-003,3鄰,漁場,,,,,,20號,121.18903779573,22.820076000122
臺東縣卑南鄉富山村3鄰漁場22號,10014,1001404,1001404-003,3鄰,漁場,,,,,,22號,121.18903978,22.820116094994
臺東縣卑南鄉富山村漁場23號,10014,1001404,1001404-003,,漁場,,,,,,23號,121.18856828309,22.820482441439
臺東縣卑南鄉富山村3鄰漁場24號,10014,1001404,1001404-003,3鄰,漁場,,,,,,24號,121.18904329328,22.820155835846
臺東縣卑南鄉富山村1鄰漁場25號,10014,1001404,1001404-003,1鄰,漁場,,,,,,25號,121.18855041099,22.820577747679
臺東縣卑南鄉富山村1鄰漁場25之2號,10014,1001404,1001404-003,1鄰,漁場,,,,,,25之2號,121.18870785687,22.82075768274
臺東縣卑南鄉富山村1鄰漁場27號,10014,1001404,1001404-003,1鄰,漁場,,,,,,27號,121.18814835558,22.820258321064
臺東縣卑南鄉富山村1鄰漁場33號,10014,1001404,1001404-003,1鄰,漁場,,,,,,33號,121.18836509856,22.820741444294
臺東縣卑南鄉富山村1鄰漁場35號,10014,1001404,1001404-003,1鄰,漁場,,,,,,35號,121.18810265722,22.820919049038
臺東縣卑南鄉富山村1鄰漁場37號,10014,1001404,1001404-003,1鄰,漁場,,,,,,37號,121.18804941135,22.820475287984
臺東縣卑南鄉富山村1鄰漁場37之1號,10014,1001404,1001404-003,1鄰,漁場,,,,,,37之1號,121.1879311796,22.820331736698
臺東縣卑南鄉富山村1鄰漁場39號,10014,1001404,1001404-003,1鄰,漁場,,,,,,39號,121.18713374849,22.819935459663
臺東縣卑南鄉富山村1鄰漁場41號,10014,1001404,1001404-003,1鄰,漁場,,,,,,41號,121.18583594865,22.819829673075
臺東縣卑南鄉富山村1鄰漁場43號,10014,1001404,1001404-003,1鄰,漁場,,,,,,43號,121.18770302528,22.819894259459
臺東縣卑南鄉富山村1鄰漁場43之2號,10014,1001404,1001404-003,1鄰,漁場,,,,,,43之2號,121.18724331167,22.819496943614
臺東縣卑南鄉富山村1鄰漁場43之5號,10014,1001404,1001404-003,1鄰,漁場,,,,,,43之5號,121.18700164044,22.8192245391
臺東縣卑南鄉富山村漁場45號,10014,1001404,1001404-003,,漁場,,,,,,45號,121.18314337037,22.81679657987
臺東縣卑南鄉富山村1鄰漁場47號,10014,1001404,1001404-003,1鄰,漁場,,,,,,47號,121.18254542445,22.815865094971
臺東縣卑南鄉富山村1鄰漁場49號,10014,1001404,1001404-003,1鄰,漁場,,,,,,49號,121.18259076544,22.816488501177
臺東縣卑南鄉富山村2鄰漁場51號,10014,1001404,1001404-003,2鄰,漁場,,,,,,51號,121.18863473364,22.82094921549
臺東縣卑南鄉富山村2鄰漁場55號,10014,1001404,1001404-003,2鄰,漁場,,,,,,55號,121.18867640032,22.821154095476
臺東縣卑南鄉富山村2鄰漁場59號,10014,1001404,1001404-003,2鄰,漁場,,,,,,59號,121.18859240733,22.821368796309
臺東縣卑南鄉富山村2鄰漁場61號,10014,1001404,1001404-003,2鄰,漁場,,,,,,61號,121.18865340703,22.821435561837
臺東縣卑南鄉富山村3鄰漁場62號,10014,1001404,1001404-003,3鄰,漁場,,,,,,62號,121.18899048933,22.821079037702
臺東縣卑南鄉富山村漁場64號,10014,1001404,1001404-003,,漁場,,,,,,64號,121.18933353848,22.820797651925
臺東縣卑南鄉富山村3鄰漁場66號,10014,1001404,1001404-003,3鄰,漁場,,,,,,66號,121.19009472739,22.821416229716
臺東縣卑南鄉富山村漁場70號,10014,1001404,1001404-003,,漁場,,,,,,70號,121.18901664452,22.821338491687
臺東縣卑南鄉富山村3鄰漁場72號,10014,1001404,1001404-003,3鄰,漁場,,,,,,72號,121.18901967508,22.821381384893
臺東縣卑南鄉富山村2鄰漁場73號,10014,1001404,1001404-003,2鄰,漁場,,,,,,73號,121.18870043464,22.82157161093
臺東縣卑南鄉富山村2鄰漁場75號,10014,1001404,1001404-003,2鄰,漁場,,,,,,75號,121.18884505849,22.821671872303
臺東縣卑南鄉富山村3鄰漁場76號,10014,1001404,1001404-003,3鄰,漁場,,,,,,76號,121.18931338402,22.821390970236
臺東縣卑南鄉富山村2鄰漁場79號,10014,1001404,1001404-003,2鄰,漁場,,,,,,79號,121.18879713918,22.821772452086
臺東縣卑南鄉富山村2鄰漁場81號,10014,1001404,1001404-003,2鄰,漁場,,,,,,81號,121.18879768918,22.821818066535
臺東縣卑南鄉富山村3鄰漁場82號,10014,1001404,1001404-003,3鄰,漁場,,,,,,82號,121.18904498887,22.821673441428
臺東縣卑南鄉富山村4鄰漁場84號,10014,1001404,1001404-003,4鄰,漁場,,,,,,84號,121.18902228471,22.821874514364
臺東縣卑南鄉富山村4鄰漁場86號,10014,1001404,1001404-003,4鄰,漁場,,,,,,86號,121.1890228612,22.821946318403
臺東縣卑南鄉富山村4鄰漁場90號,10014,1001404,1001404-003,4鄰,漁場,,,,,,90號,121.18910084912,22.821975937552
臺東縣卑南鄉富山村漁場90之1號,10014,1001404,1001404-003,,漁場,,,,,,90之1號,121.18914567863,22.821966040661
臺東縣卑南鄉富山村4鄰漁場92號,10014,1001404,1001404-003,4鄰,漁場,,,,,,92號,121.18907582024,22.822179632208
臺東縣卑南鄉富山村2鄰漁場95號,10014,1001404,1001404-003,2鄰,漁場,,,,,,95號,121.18797827196,22.823028029524
臺東縣卑南鄉富山村4鄰漁場96號,10014,1001404,1001404-003,4鄰,漁場,,,,,,96號,121.18920453606,22.822286965253
臺東縣卑南鄉富山村2鄰漁場97號,10014,1001404,1001404-003,2鄰,漁場,,,,,,97號,121.18763364072,22.822573323289
臺東縣卑南鄉富山村漁場99號,10014,1001404,1001404-003,,漁場,,,,,,99號,121.18218686047,22.816868397196
臺東縣卑南鄉富山村4鄰漁場100號,10014,1001404,1001404-003,4鄰,漁場,,,,,,100號,121.18913612059,22.822494323782
臺東縣卑南鄉富山村4鄰漁場110號,10014,1001404,1001404-003,4鄰,漁場,,,,,,110號,121.18940457787,22.821903591494
臺東縣卑南鄉富山村4鄰漁場112號,10014,1001404,1001404-003,4鄰,漁場,,,,,,112號,121.18963105785,22.821871352741
