FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣長濱鄉長濱村烏石鼻48之2號,10014,1001408,1001408-004,,烏石鼻,,,,,,48之2號,121.45027234896,23.312692526666
臺東縣長濱鄉寧埔村烏石鼻5之1號,10014,1001408,1001408-006,,烏石鼻,,,,,,5之1號,121.41367259686,23.234187764926
臺東縣長濱鄉寧埔村13鄰烏石鼻5之2號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,5之2號,121.41358391074,23.233890242058
臺東縣長濱鄉寧埔村13鄰烏石鼻5之4號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,5之4號,121.41364250328,23.234020765415
臺東縣長濱鄉寧埔村13鄰烏石鼻5之5號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,5之5號,121.4136714182,23.234119218977
臺東縣長濱鄉寧埔村13鄰烏石鼻5之6號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,5之6號,121.41337436793,23.234106274509
臺東縣長濱鄉寧埔村13鄰烏石鼻5之7號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,5之7號,121.41370507921,23.234267426053
臺東縣長濱鄉寧埔村烏石鼻5之9號,10014,1001408,1001408-006,,烏石鼻,,,,,,5之9號,121.41356666411,23.233839618394
臺東縣長濱鄉寧埔村13鄰烏石鼻6號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,6號,121.41348310463,23.234447993237
臺東縣長濱鄉寧埔村13鄰烏石鼻6之1號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,6之1號,121.41345939232,23.234338147771
臺東縣長濱鄉寧埔村13鄰烏石鼻6之2號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,6之2號,121.4137832038,23.234533632451
臺東縣長濱鄉寧埔村13鄰烏石鼻6之3號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,6之3號,121.41309068362,23.233826060488
臺東縣長濱鄉寧埔村13鄰烏石鼻6之5號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,6之5號,121.41340245886,23.2342227909
臺東縣長濱鄉寧埔村13鄰烏石鼻7號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,7號,121.41352250095,23.234808505795
臺東縣長濱鄉寧埔村13鄰烏石鼻8之2號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,8之2號,121.41358458561,23.233769938543
臺東縣長濱鄉寧埔村13鄰烏石鼻8之3號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,8之3號,121.41319653088,23.233283458135
臺東縣長濱鄉寧埔村13鄰烏石鼻9號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,9號,121.41362133175,23.235100041957
臺東縣長濱鄉寧埔村13鄰烏石鼻9之1號,10014,1001408,1001408-006,13鄰,烏石鼻,,,,,,9之1號,121.41356061394,23.235041053252
臺東縣長濱鄉寧埔村烏石鼻9之2號,10014,1001408,1001408-006,,烏石鼻,,,,,,9之2號,121.41359972923,23.234970956422
臺東縣長濱鄉寧埔村12鄰烏石鼻10號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,10號,121.41373178832,23.235320840152
臺東縣長濱鄉寧埔村12鄰烏石鼻10之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,10之1號,121.41366248344,23.235272159614
臺東縣長濱鄉寧埔村12鄰烏石鼻10之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,10之2號,121.41375434904,23.235370808643
臺東縣長濱鄉寧埔村12鄰烏石鼻10之3號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,10之3號,121.41375434065,23.235212769308
臺東縣長濱鄉寧埔村12鄰烏石鼻12號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,12號,121.41383173119,23.235503729638
臺東縣長濱鄉寧埔村12鄰烏石鼻13號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,13號,121.41384480374,23.235613964256
臺東縣長濱鄉寧埔村12鄰烏石鼻14號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,14號,121.41390550715,23.235747371614
臺東縣長濱鄉寧埔村12鄰烏石鼻15號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,15號,121.41402547506,23.23594042149
臺東縣長濱鄉寧埔村12鄰烏石鼻15之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,15之1號,121.41410225845,23.23600893979
臺東縣長濱鄉寧埔村12鄰烏石鼻15之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,15之2號,121.41393110839,23.235842131403
臺東縣長濱鄉寧埔村12鄰烏石鼻16號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,16號,121.41430736624,23.236264435369
臺東縣長濱鄉寧埔村烏石鼻16之1號,10014,1001408,1001408-006,,烏石鼻,,,,,,16之1號,121.41424707109,23.236209681046
臺東縣長濱鄉寧埔村12鄰烏石鼻16之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,16之2號,121.41415386966,23.236121781907
臺東縣長濱鄉寧埔村12鄰烏石鼻16之3號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,16之3號,121.41433539829,23.236076603405
臺東縣長濱鄉寧埔村12鄰烏石鼻16之4號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,16之4號,121.4143912692,23.236315695904
臺東縣長濱鄉寧埔村12鄰烏石鼻17號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,17號,121.41455580882,23.236483776416
臺東縣長濱鄉寧埔村12鄰烏石鼻17之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,17之1號,121.41417329478,23.236488668042
臺東縣長濱鄉寧埔村12鄰烏石鼻17之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,17之2號,121.41450058302,23.236453670577
臺東縣長濱鄉寧埔村12鄰烏石鼻19之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,19之1號,121.41451225274,23.236758078378
臺東縣長濱鄉寧埔村12鄰烏石鼻20號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,20號,121.41418435382,23.236782250151
臺東縣長濱鄉寧埔村12鄰烏石鼻20之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,20之2號,121.4144559316,23.236715062083
臺東縣長濱鄉寧埔村12鄰烏石鼻20之3號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,20之3號,121.41438101081,23.236908164972
臺東縣長濱鄉寧埔村12鄰烏石鼻20之5號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,20之5號,121.41431155547,23.23686490332
臺東縣長濱鄉寧埔村12鄰烏石鼻21號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,21號,121.41410940382,23.236443504296
臺東縣長濱鄉寧埔村烏石鼻21之1號,10014,1001408,1001408-006,,烏石鼻,,,,,,21之1號,121.41423765058,23.236551448656
臺東縣長濱鄉寧埔村12鄰烏石鼻21之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,21之2號,121.41437983047,23.236655653744
臺東縣長濱鄉寧埔村12鄰烏石鼻21之3號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,21之3號,121.41429922152,23.236601585131
臺東縣長濱鄉寧埔村12鄰烏石鼻22號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,22號,121.41394791115,23.236299968676
臺東縣長濱鄉寧埔村12鄰烏石鼻22之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,22之1號,121.41379488068,23.236140408905
臺東縣長濱鄉寧埔村12鄰烏石鼻22之2號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,22之2號,121.41389332559,23.236214405842
臺東縣長濱鄉寧埔村12鄰烏石鼻22之3號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,22之3號,121.41372867867,23.235960428651
臺東縣長濱鄉寧埔村烏石鼻22之4號,10014,1001408,1001408-006,,烏石鼻,,,,,,22之4號,121.41382380025,23.236179966755
臺東縣長濱鄉寧埔村12鄰烏石鼻23號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,23號,121.41366244512,23.235915993307
臺東縣長濱鄉寧埔村12鄰烏石鼻23之1號,10014,1001408,1001408-006,12鄰,烏石鼻,,,,,,23之1號,121.41364782874,23.235774057343
