FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣鹿野鄉永安村5鄰鹿寮路1號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,1號,121.1290262833,22.931722146804
臺東縣鹿野鄉永安村5鄰鹿寮路7巷1號,10014,1001405,1001405-004,5鄰,鹿寮路,,7巷,,,,1號,121.12881965842,22.931874050072
臺東縣鹿野鄉永安村鹿寮路7巷2號,10014,1001405,1001405-004,,鹿寮路,,7巷,,,,2號,121.12874383805,22.932148133088
臺東縣鹿野鄉永安村鹿寮路3號,10014,1001405,1001405-004,,鹿寮路,,,,,,3號,121.12903034026,22.931764317336
臺東縣鹿野鄉永安村鹿寮路5號,10014,1001405,1001405-004,,鹿寮路,,,,,,5號,121.12903722687,22.931819047408
臺東縣鹿野鄉永安村5鄰鹿寮路370巷5號,10014,1001405,1001405-004,5鄰,鹿寮路,,370巷,,,,5號,121.13074236088,22.943752457093
臺東縣鹿野鄉永安村5鄰鹿寮路51巷5號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,5號,121.12896163951,22.935057037747
臺東縣鹿野鄉永安村5鄰鹿寮路7巷6號,10014,1001405,1001405-004,5鄰,鹿寮路,,7巷,,,,6號,121.12877980018,22.931987337651
臺東縣鹿野鄉永安村5鄰鹿寮路316巷6號,10014,1001405,1001405-004,5鄰,鹿寮路,,316巷,,,,6號,121.13177819638,22.940841411532
臺東縣鹿野鄉永安村5鄰鹿寮路51巷9號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,9號,121.12858423377,22.935291683992
臺東縣鹿野鄉永安村鹿寮路7巷9號,10014,1001405,1001405-004,,鹿寮路,,7巷,,,,9號,121.12886896017,22.931962430607
臺東縣鹿野鄉永安村5鄰鹿寮路51巷10號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,10號,121.12904265478,22.935685135909
臺東縣鹿野鄉永安村5鄰鹿寮路51巷11號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,11號,121.12862169631,22.935149274133
臺東縣鹿野鄉永安村5鄰鹿寮路69巷12號,10014,1001405,1001405-004,5鄰,鹿寮路,,69巷,,,,12號,121.12919813575,22.936849268351
臺東縣鹿野鄉永安村5鄰鹿寮路12號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,12號,121.1350629986,22.946018373591
臺東縣鹿野鄉永安村5鄰鹿寮路69巷15號,10014,1001405,1001405-004,5鄰,鹿寮路,,69巷,,,,15號,121.1289437795,22.936635084152
臺東縣鹿野鄉永安村5鄰鹿寮路51巷15號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,15號,121.12843779225,22.93517561234
臺東縣鹿野鄉永安村5鄰鹿寮路33巷16號,10014,1001405,1001405-004,5鄰,鹿寮路,,33巷,,,,16號,121.12883080528,22.934247469968
臺東縣鹿野鄉永安村5鄰鹿寮路322巷20號,10014,1001405,1001405-004,5鄰,鹿寮路,,322巷,,,,20號,121.13518342415,22.943406975207
臺東縣鹿野鄉永安村3鄰鹿寮路82巷22號,10014,1001405,1001405-004,3鄰,鹿寮路,,82巷,,,,22號,121.12992497242,22.935341273123
臺東縣鹿野鄉永安村3鄰鹿寮路28號,10014,1001405,1001405-004,3鄰,鹿寮路,,,,,,28號,121.12940497287,22.932644695832
臺東縣鹿野鄉永安村5鄰鹿寮路29號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,29號,121.13571997711,22.944104082037
臺東縣鹿野鄉永安村5鄰鹿寮路33巷30號,10014,1001405,1001405-004,5鄰,鹿寮路,,33巷,,,,30號,121.12730565553,22.93472223015
臺東縣鹿野鄉永安村鹿寮路31號,10014,1001405,1001405-004,,鹿寮路,,,,,,31號,121.12834955827,22.933619704698
臺東縣鹿野鄉永安村3鄰鹿寮路36號,10014,1001405,1001405-004,3鄰,鹿寮路,,,,,,36號,121.12947110382,22.933009883476
臺東縣鹿野鄉永安村5鄰鹿寮路51巷36號,10014,1001405,1001405-004,5鄰,鹿寮路,,51巷,,,,36號,121.12716739518,22.935910278828
臺東縣鹿野鄉永安村5鄰鹿寮路36之1號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,36之1號,121.13591428309,22.938995895672
臺東縣鹿野鄉永安村3鄰鹿寮路40號,10014,1001405,1001405-004,3鄰,鹿寮路,,,,,,40號,121.12963999777,22.933186758295
臺東縣鹿野鄉永安村5鄰鹿寮路47號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,47號,121.12963540895,22.934870273965
臺東縣鹿野鄉永安村3鄰鹿寮路48號,10014,1001405,1001405-004,3鄰,鹿寮路,,,,,,48號,121.12953284143,22.933317358838
臺東縣鹿野鄉永安村5鄰鹿寮路49號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,49號,121.12957051111,22.935126205487
臺東縣鹿野鄉永安村5鄰鹿寮路33巷106之1號,10014,1001405,1001405-004,5鄰,鹿寮路,,33巷,,,,106之1號,121.12475129472,22.935046323348
臺東縣鹿野鄉永安村5鄰鹿寮路266之1號,10014,1001405,1001405-004,5鄰,鹿寮路,,,,,,266之1號,121.13173678546,22.938876535947
