FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣鹿野鄉龍田村1鄰龍一路127巷1號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,1號,121.13266369893,22.907182352586
臺東縣鹿野鄉龍田村1鄰龍一路135巷1號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,1號,121.13269302482,22.907806683227
臺東縣鹿野鄉龍田村1鄰龍一路135巷2號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,2號,121.13271507878,22.908110561088
臺東縣鹿野鄉龍田村1鄰龍一路127巷2號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,2號,121.13267677074,22.907502348967
臺東縣鹿野鄉龍田村1鄰龍一路127巷3號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,3號,121.13257812134,22.907224895986
臺東縣鹿野鄉龍田村1鄰龍一路135巷3號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,3號,121.13261730442,22.907811225734
臺東縣鹿野鄉龍田村1鄰龍一路135巷5號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,5號,121.13241351338,22.907818403618
臺東縣鹿野鄉龍田村1鄰龍一路127巷5號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,5號,121.13238333371,22.907196945435
臺東縣鹿野鄉龍田村1鄰龍一路127巷6號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,6號,121.13259738336,22.907505043207
臺東縣鹿野鄉龍田村1鄰龍一路135巷6號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,6號,121.13263008322,22.90811063206
臺東縣鹿野鄉龍田村1鄰龍一路135巷7號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,7號,121.13233187623,22.907823447615
臺東縣鹿野鄉龍田村1鄰龍一路127巷7號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,7號,121.13229847518,22.907197016113
臺東縣鹿野鄉龍田村1鄰龍一路127巷8號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,8號,121.13241046709,22.907512261188
臺東縣鹿野鄉龍田村1鄰龍一路135巷8號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,8號,121.13242840423,22.90811484609
臺東縣鹿野鄉龍田村1鄰龍一路135巷10號,10014,1001405,1001405-007,1鄰,龍一路,,135巷,,,,10號,121.13234120944,22.908118937458
臺東縣鹿野鄉龍田村1鄰龍一路127巷10號,10014,1001405,1001405-007,1鄰,龍一路,,127巷,,,,10號,121.13232400414,22.907516704137
臺東縣鹿野鄉龍田村2鄰龍一路55號,10014,1001405,1001405-007,2鄰,龍一路,,,,,,55號,121.13224871919,22.901757509444
臺東縣鹿野鄉龍田村2鄰龍一路75號,10014,1001405,1001405-007,2鄰,龍一路,,,,,,75號,121.13258792883,22.903485664592
