FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
臺東縣池上鄉萬安村10鄰龍仔尾1號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,1號,121.21235091535,23.090535059031
臺東縣池上鄉萬安村10鄰龍仔尾2號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,2號,121.21243248388,23.090747637784
臺東縣池上鄉萬安村10鄰龍仔尾3號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,3號,121.21240182952,23.090962805732
臺東縣池上鄉萬安村龍仔尾4號,10014,1001406,1001406-008,,龍仔尾,,,,,,4號,121.21207781549,23.091464944654
臺東縣池上鄉萬安村龍仔尾5號,10014,1001406,1001406-008,,龍仔尾,,,,,,5號,121.21248958201,23.091215571277
臺東縣池上鄉萬安村10鄰龍仔尾6號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,6號,121.21222214161,23.09123670128
臺東縣池上鄉萬安村10鄰龍仔尾7號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,7號,121.21253298173,23.091370947377
臺東縣池上鄉萬安村10鄰龍仔尾7之2號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,7之2號,121.21270767695,23.091454154802
臺東縣池上鄉萬安村10鄰龍仔尾7之3號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,7之3號,121.21267539667,23.091411302982
臺東縣池上鄉萬安村10鄰龍仔尾8號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,8號,121.21230941074,23.091125950219
臺東縣池上鄉萬安村10鄰龍仔尾10號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,10號,121.21203917906,23.091676149778
臺東縣池上鄉萬安村10鄰龍仔尾12號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,12號,121.21182179117,23.092243165172
臺東縣池上鄉萬安村10鄰龍仔尾13號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,13號,121.21251055523,23.091852353107
臺東縣池上鄉萬安村10鄰龍仔尾14之1號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,14之1號,121.21271931131,23.091788216737
臺東縣池上鄉萬安村10鄰龍仔尾15號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,15號,121.21273642438,23.092074219515
臺東縣池上鄉萬安村10鄰龍仔尾15之1號,10014,1001406,1001406-008,10鄰,龍仔尾,,,,,,15之1號,121.21276029187,23.091938177665
臺東縣池上鄉萬安村9鄰龍仔尾17號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,17號,121.21418848763,23.093465450403
臺東縣池上鄉萬安村9鄰龍仔尾17之1號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,17之1號,121.21446509715,23.093185280291
臺東縣池上鄉萬安村9鄰龍仔尾18號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,18號,121.21448721616,23.093879774558
臺東縣池上鄉萬安村9鄰龍仔尾19號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,19號,121.21499878795,23.094617934189
臺東縣池上鄉萬安村9鄰龍仔尾20號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,20號,121.21632348173,23.095686357348
臺東縣池上鄉萬安村9鄰龍仔尾21號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,21號,121.21674258226,23.095788740253
臺東縣池上鄉萬安村9鄰龍仔尾22號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,22號,121.21594047653,23.095593496381
臺東縣池上鄉萬安村1鄰龍仔尾23號,10014,1001406,1001406-008,1鄰,龍仔尾,,,,,,23號,121.21724636648,23.095326178728
臺東縣池上鄉萬安村1鄰龍仔尾23之2號,10014,1001406,1001406-008,1鄰,龍仔尾,,,,,,23之2號,121.21709631874,23.095356610473
臺東縣池上鄉萬安村9鄰龍仔尾24號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,24號,121.21744418107,23.096710791323
臺東縣池上鄉萬安村9鄰龍仔尾24之1號,10014,1001406,1001406-008,9鄰,龍仔尾,,,,,,24之1號,121.22520893181,23.094340306355
