FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市民立里8鄰中美一街1號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,1號,121.62848537435,23.992390677579
花蓮縣花蓮市民立里8鄰中美一街3號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,3號,121.62850506269,23.992411571777
花蓮縣花蓮市民立里8鄰中美一街5號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,5號,121.6286230049,23.992633830243
花蓮縣花蓮市民立里8鄰中美一街6號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,6號,121.62872816377,23.992283914156
花蓮縣花蓮市民立里8鄰中美一街7號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,7號,121.62865317108,23.992669155313
花蓮縣花蓮市民立里8鄰中美一街8號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,8號,121.62876033636,23.992321587609
花蓮縣花蓮市民立里8鄰中美一街10號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,10號,121.62879598813,23.992363327997
花蓮縣花蓮市民立里8鄰中美一街12號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,12號,121.6288279631,23.992400776514
花蓮縣花蓮市民立里8鄰中美一街14號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,14號,121.62885839613,23.992436407444
花蓮縣花蓮市民立里8鄰中美一街16號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,16號,121.62888815707,23.992471255581
花蓮縣花蓮市民立里8鄰中美一街18號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,18號,121.62891963787,23.992508119205
花蓮縣花蓮市民立里8鄰中美一街20號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,20號,121.62895156343,23.992545495663
花蓮縣花蓮市民立里8鄰中美一街22號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,22號,121.6290097981,23.992621282866
花蓮縣花蓮市民立里8鄰中美一街24號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,24號,121.62903279098,23.992640619443
花蓮縣花蓮市民立里8鄰中美一街26號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,26號,121.62906426199,23.992677474046
花蓮縣花蓮市民立里8鄰中美一街28號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,28號,121.62920012286,23.992677566822
花蓮縣花蓮市民立里8鄰中美一街30號,10015,1001501,1001501-001,8鄰,中美一街,,,,,,30號,121.62927128145,23.992765499374
花蓮縣花蓮市民運里2鄰中美一街1之1號,10015,1001501,1001501-002,2鄰,中美一街,,,,,,1之1號,121.62953053333,23.993592541202
花蓮縣花蓮市民運里2鄰中美一街1之2號,10015,1001501,1001501-002,2鄰,中美一街,,,,,,1之2號,121.62950197889,23.993561345083
花蓮縣花蓮市民運里2鄰中美一街1之3號,10015,1001501,1001501-002,2鄰,中美一街,,,,,,1之3號,121.62947913063,23.993537439204
花蓮縣花蓮市民運里49鄰中美一街38號,10015,1001501,1001501-002,49鄰,中美一街,,,,,,38號,121.62975523606,23.993547447717
花蓮縣花蓮市民運里49鄰中美一街40號,10015,1001501,1001501-002,49鄰,中美一街,,,,,,40號,121.62981214028,23.99361218829
花蓮縣花蓮市民運里48鄰中美一街42號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,42號,121.62987090859,23.993690392778
花蓮縣花蓮市民運里48鄰中美一街44號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,44號,121.62990351147,23.993727486336
花蓮縣花蓮市民運里48鄰中美一街46號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,46號,121.62993379452,23.993762467548
花蓮縣花蓮市民運里48鄰中美一街48號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,48號,121.62996870178,23.993798486177
花蓮縣花蓮市民運里48鄰中美一街50號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,50號,121.62999551099,23.993834538065
花蓮縣花蓮市民運里48鄰中美一街52號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,52號,121.63002924824,23.993868430591
花蓮縣花蓮市民運里48鄰中美一街54號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,54號,121.63008517629,23.993940533878
花蓮縣花蓮市民運里48鄰中美一街56號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,56號,121.63011551007,23.993979857897
花蓮縣花蓮市民運里48鄰中美一街58號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,58號,121.63014229865,23.99401165708
花蓮縣花蓮市民運里48鄰中美一街60號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,60號,121.63017258753,23.994049825532
花蓮縣花蓮市民運里48鄰中美一街62號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,62號,121.6302098091,23.994084769145
花蓮縣花蓮市民運里48鄰中美一街62之1號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,62之1號,121.63024355634,23.994118670609
花蓮縣花蓮市民運里48鄰中美一街66號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,66號,121.63027266489,23.994152591129
花蓮縣花蓮市民運里48鄰中美一街68號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,68號,121.63030063393,23.994188638192
花蓮縣花蓮市民運里48鄰中美一街70號,10015,1001501,1001501-002,48鄰,中美一街,,,,,,70號,121.63036848414,23.994256809804
花蓮縣花蓮市民運里4鄰中美一街72號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之1號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之1號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之2號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之2號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之3號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之3號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之4號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之4號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之5號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之5號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之6號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之6號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之7號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之7號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之8號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之8號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之9號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之9號,121.63080946147,23.994693545569
花蓮縣花蓮市民運里4鄰中美一街72之10號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,72之10號,121.63087639428,23.994726633185
花蓮縣花蓮市民運里4鄰中美一街74號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,74號,121.63086032204,23.994794490653
花蓮縣花蓮市民運里4鄰中美一街76號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,76號,121.63089332729,23.994837397144
花蓮縣花蓮市民運里4鄰中美一街76之1號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,76之1號,121.63093484328,23.994874182922
花蓮縣花蓮市民運里4鄰中美一街78號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,78號,121.63094760662,23.994917867929
花蓮縣花蓮市民運里4鄰中美一街80號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,80號,121.63097353784,23.994951124188
花蓮縣花蓮市民運里4鄰中美一街82號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,82號,121.63100297168,23.994981133571
花蓮縣花蓮市民運里4鄰中美一街86號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,86號,121.631033596,23.995015435955
花蓮縣花蓮市民運里4鄰中美一街88號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,88號,121.6310562681,23.995059540667
花蓮縣花蓮市民運里4鄰中美一街90號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,90號,121.6310845436,23.995093852706
花蓮縣花蓮市民運里4鄰中美一街92號,10015,1001501,1001501-002,4鄰,中美一街,,,,,,92號,121.63110581255,23.995130351557
