FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣玉里鎮中城里28鄰協和街1號,10015,1001503,1001503-001,28鄰,協和街,,,,,,1號,121.31307413093,23.330880294648
花蓮縣玉里鎮中城里27鄰協和街2號,10015,1001503,1001503-001,27鄰,協和街,,,,,,2號,121.31319851681,23.330821566033
花蓮縣玉里鎮中城里27鄰協和街4號,10015,1001503,1001503-001,27鄰,協和街,,,,,,4號,121.31320488147,23.330875211141
花蓮縣玉里鎮中城里28鄰協和街11巷4號,10015,1001503,1001503-001,28鄰,協和街,,11巷,,,,4號,121.31290236564,23.331055554034
花蓮縣玉里鎮中城里28鄰協和街5號,10015,1001503,1001503-001,28鄰,協和街,,,,,,5號,121.31303076079,23.330938274339
花蓮縣玉里鎮中城里28鄰協和街11巷5號,10015,1001503,1001503-001,28鄰,協和街,,11巷,,,,5號,121.31284796622,23.331055662677
花蓮縣玉里鎮中城里28鄰協和街11巷5之1號,10015,1001503,1001503-001,28鄰,協和街,,11巷,,,,5之1號,121.31279787105,23.331064792972
花蓮縣玉里鎮中城里28鄰協和街11巷6號,10015,1001503,1001503-001,28鄰,協和街,,11巷,,,,6號,121.31268607854,23.331085334238
花蓮縣玉里鎮中城里27鄰協和街6號,10015,1001503,1001503-001,27鄰,協和街,,,,,,6號,121.3132120855,23.330911489371
花蓮縣玉里鎮中城里28鄰協和街7號,10015,1001503,1001503-001,28鄰,協和街,,,,,,7號,121.31299617364,23.330996949861
花蓮縣玉里鎮中城里27鄰協和街8號,10015,1001503,1001503-001,27鄰,協和街,,,,,,8號,121.31322119003,23.330970068554
花蓮縣玉里鎮中城里28鄰協和街9號,10015,1001503,1001503-001,28鄰,協和街,,,,,,9號,121.31304489512,23.331044279461
花蓮縣玉里鎮中城里27鄰協和街10號,10015,1001503,1001503-001,27鄰,協和街,,,,,,10號,121.31322540412,23.331015699084
花蓮縣玉里鎮中城里27鄰協和街12號,10015,1001503,1001503-001,27鄰,協和街,,,,,,12號,121.31323224432,23.331063618051
花蓮縣玉里鎮中城里27鄰協和街14號,10015,1001503,1001503-001,27鄰,協和街,,,,,,14號,121.31323495786,23.33111571725
花蓮縣玉里鎮中城里27鄰協和街16號,10015,1001503,1001503-001,27鄰,協和街,,,,,,16號,121.31324404558,23.331162945421
