FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市國富里47鄰國富九街50巷1號,10015,1001501,1001501-016,47鄰,國富九街,,50巷,,,,1號,121.59814298468,23.990782607844
花蓮縣花蓮市國富里47鄰國富九街42巷1號,10015,1001501,1001501-016,47鄰,國富九街,,42巷,,,,1號,121.5982918429,23.990577830584
花蓮縣花蓮市國富里47鄰國富九街42巷2號,10015,1001501,1001501-016,47鄰,國富九街,,42巷,,,,2號,121.59822268353,23.990675336423
花蓮縣花蓮市國富里47鄰國富九街2號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,2號,121.59803528288,23.989782784669
花蓮縣花蓮市國富里47鄰國富九街50巷2號,10015,1001501,1001501-016,47鄰,國富九街,,50巷,,,,2號,121.59806927194,23.99087735939
花蓮縣花蓮市國富里47鄰國富九街2之1號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,2之1號,121.59809625567,23.989812966492
花蓮縣花蓮市國富里47鄰國富九街2之2號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,2之2號,121.59805410647,23.989828236796
花蓮縣花蓮市國富里8鄰國富九街5號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,5號,121.59794109451,23.989991357564
花蓮縣花蓮市國富里47鄰國富九街6號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,6號,121.59806716392,23.989870018437
花蓮縣花蓮市國富里8鄰國富九街7號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,7號,121.59796573693,23.990058267622
花蓮縣花蓮市國富里47鄰國富九街8號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,8號,121.59808667231,23.989906276104
花蓮縣花蓮市國富里8鄰國富九街9號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,9號,121.59797607116,23.990101974089
花蓮縣花蓮市國富里8鄰國富九街11號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,11號,121.5979914776,23.990143791723
花蓮縣花蓮市國富里47鄰國富九街12號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,12號,121.59811872186,23.990025716566
花蓮縣花蓮市國富里47鄰國富九街12之1號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,12之1號,121.59813323534,23.99006994848
花蓮縣花蓮市國富里8鄰國富九街13號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,13號,121.59803597477,23.990236818234
花蓮縣花蓮市國富里8鄰國富九街15號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,15號,121.59804932547,23.990273993809
花蓮縣花蓮市國富里47鄰國富九街16號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,16號,121.59818772738,23.990231043663
花蓮縣花蓮市國富里8鄰國富九街17號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,17號,121.59806470928,23.990313030511
花蓮縣花蓮市國富里47鄰國富九街18號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,18號,121.59822978489,23.990198031187
花蓮縣花蓮市國富里8鄰國富九街19號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,19號,121.59808010289,23.990352058144
花蓮縣花蓮市國富里47鄰國富九街20號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,20號,121.598261841,23.990165716848
花蓮縣花蓮市國富里8鄰國富九街21號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,21號,121.59801557604,23.990412065378
花蓮縣花蓮市國富里47鄰國富九街22號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,22號,121.59842850674,23.990284252866
花蓮縣花蓮市國富里8鄰國富九街23號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,23號,121.59798483916,23.99044490725
花蓮縣花蓮市國富里47鄰國富九街24號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,24號,121.59840218007,23.990316535857
花蓮縣花蓮市國富里8鄰國富九街25號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,25號,121.59793770631,23.990532358784
花蓮縣花蓮市國富里47鄰國富九街26號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,26號,121.59838016021,23.990351438584
花蓮縣花蓮市國富里8鄰國富九街27號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,27號,121.5978927801,23.99058052443
花蓮縣花蓮市國富里47鄰國富九街28號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,28號,121.59835669033,23.990383060315
花蓮縣花蓮市國富里8鄰國富九街29號,10015,1001501,1001501-016,8鄰,國富九街,,,,,,29號,121.5978656612,23.990626444598
花蓮縣花蓮市國富里47鄰國富九街30號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,30號,121.59833465526,23.990414676446
花蓮縣花蓮市國富里47鄰國富九街32號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,32號,121.59832729591,23.990466063573
花蓮縣花蓮市國富里47鄰國富九街34號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,34號,121.59829980683,23.990495642303
花蓮縣花蓮市國富里47鄰國富九街40號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,40號,121.59819050842,23.990503255913
花蓮縣花蓮市國富里9鄰國富九街41號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,41號,121.5977544041,23.990744132189
花蓮縣花蓮市國富里9鄰國富九街43號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,43號,121.59761496436,23.990911563347
花蓮縣花蓮市國富里47鄰國富九街44號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,44號,121.59812853578,23.990603469546
花蓮縣花蓮市國富里9鄰國富九街45號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,45號,121.59755877811,23.990975248918
花蓮縣花蓮市國富里47鄰國富九街46號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,46號,121.59809105256,23.990680012267
花蓮縣花蓮市國富里9鄰國富九街47號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,47號,121.59752695821,23.991009846595
花蓮縣花蓮市國富里47鄰國富九街48號,10015,1001501,1001501-016,47鄰,國富九街,,,,,,48號,121.59805191815,23.990724624933
花蓮縣花蓮市國富里9鄰國富九街49號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,49號,121.59750347211,23.9910444118
花蓮縣花蓮市國富里9鄰國富九街51號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,51號,121.59747166589,23.991084110943
花蓮縣花蓮市國富里45鄰國富九街52號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,52號,121.59797362348,23.990808270255
花蓮縣花蓮市國富里9鄰國富九街53號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,53號,121.59744120414,23.991114874906
花蓮縣花蓮市國富里45鄰國富九街54號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,54號,121.59793907723,23.990865361496
花蓮縣花蓮市國富里9鄰國富九街55號,10015,1001501,1001501-016,9鄰,國富九街,,,,,,55號,121.59741496427,23.991153279229
花蓮縣花蓮市國富里45鄰國富九街56號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,56號,121.59785435849,23.990928472183
花蓮縣花蓮市國富里45鄰國富九街60號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,60號,121.59784027844,23.991046205381
花蓮縣花蓮市國富里45鄰國富九街62號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,62號,121.59779652102,23.991090005311
花蓮縣花蓮市國富里45鄰國富九街64號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,64號,121.59776117143,23.991132779242
花蓮縣花蓮市國富里45鄰國富九街66號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,66號,121.59773073724,23.99116737156
花蓮縣花蓮市國富里45鄰國富九街68號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,68號,121.59769614985,23.991207081587
花蓮縣花蓮市國富里45鄰國富九街70號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,70號,121.59766571168,23.991242947033
花蓮縣花蓮市國富里45鄰國富九街72號,10015,1001501,1001501-016,45鄰,國富九街,,,,,,72號,121.59763114,23.991283939139
