FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣壽豐鄉壽豐村15鄰壽農3號,10015,1001506,1001506-007,15鄰,壽農,,,,,,3號,121.50586443474,23.864285562588
花蓮縣壽豐鄉壽豐村15鄰壽農5號,10015,1001506,1001506-007,15鄰,壽農,,,,,,5號,121.50572582301,23.863922210305
花蓮縣壽豐鄉壽豐村15鄰壽農6號,10015,1001506,1001506-007,15鄰,壽農,,,,,,6號,121.50553226916,23.86374855843
花蓮縣壽豐鄉壽豐村15鄰壽農8號,10015,1001506,1001506-007,15鄰,壽農,,,,,,8號,121.50542461911,23.863482198406
花蓮縣壽豐鄉壽豐村15鄰壽農9號,10015,1001506,1001506-007,15鄰,壽農,,,,,,9號,121.50508957272,23.86347987553
花蓮縣壽豐鄉壽豐村15鄰壽農10號,10015,1001506,1001506-007,15鄰,壽農,,,,,,10號,121.50525931208,23.863363903617
花蓮縣壽豐鄉壽豐村15鄰壽農12號,10015,1001506,1001506-007,15鄰,壽農,,,,,,12號,121.50508834124,23.863248399278
花蓮縣壽豐鄉壽豐村15鄰壽農13號,10015,1001506,1001506-007,15鄰,壽農,,,,,,13號,121.5050583885,23.863211097324
花蓮縣壽豐鄉壽豐村15鄰壽農14號,10015,1001506,1001506-007,15鄰,壽農,,,,,,14號,121.50502507201,23.86317479964
花蓮縣壽豐鄉壽豐村15鄰壽農16號,10015,1001506,1001506-007,15鄰,壽農,,,,,,16號,121.50505412044,23.863049790249
花蓮縣壽豐鄉壽豐村15鄰壽農16之1號,10015,1001506,1001506-007,15鄰,壽農,,,,,,16之1號,121.50500263966,23.86297786754
花蓮縣壽豐鄉壽豐村15鄰壽農17號,10015,1001506,1001506-007,15鄰,壽農,,,,,,17號,121.50470434561,23.862953138469
花蓮縣壽豐鄉壽豐村15鄰壽農18號,10015,1001506,1001506-007,15鄰,壽農,,,,,,18號,121.50493711514,23.862780869054
花蓮縣壽豐鄉壽豐村15鄰壽農19號,10015,1001506,1001506-007,15鄰,壽農,,,,,,19號,121.50486430105,23.862706776926
花蓮縣壽豐鄉壽豐村15鄰壽農19之1號,10015,1001506,1001506-007,15鄰,壽農,,,,,,19之1號,121.50462888945,23.862483454332
花蓮縣壽豐鄉壽豐村15鄰壽農19之2號,10015,1001506,1001506-007,15鄰,壽農,,,,,,19之2號,121.50457227246,23.862365452687
花蓮縣壽豐鄉壽豐村15鄰壽農20號,10015,1001506,1001506-007,15鄰,壽農,,,,,,20號,121.50536914434,23.862358234637
花蓮縣壽豐鄉壽豐村15鄰壽農21號,10015,1001506,1001506-007,15鄰,壽農,,,,,,21號,121.50438389781,23.862929908043
花蓮縣壽豐鄉壽豐村15鄰壽農23號,10015,1001506,1001506-007,15鄰,壽農,,,,,,23號,121.50449781289,23.863072995621
花蓮縣壽豐鄉壽豐村15鄰壽農25號,10015,1001506,1001506-007,15鄰,壽農,,,,,,25號,121.50461166731,23.863200362946
花蓮縣壽豐鄉壽豐村15鄰壽農26號,10015,1001506,1001506-007,15鄰,壽農,,,,,,26號,121.50468878988,23.863309448444
花蓮縣壽豐鄉壽豐村15鄰壽農27號,10015,1001506,1001506-007,15鄰,壽農,,,,,,27號,121.50473928802,23.863396372478
花蓮縣壽豐鄉壽豐村15鄰壽農28號,10015,1001506,1001506-007,15鄰,壽農,,,,,,28號,121.50478763266,23.863474824851
花蓮縣壽豐鄉壽豐村15鄰壽農29號,10015,1001506,1001506-007,15鄰,壽農,,,,,,29號,121.50488906291,23.86358070635
花蓮縣壽豐鄉壽豐村15鄰壽農38號,10015,1001506,1001506-007,15鄰,壽農,,,,,,38號,121.50445423526,23.863870362106
花蓮縣壽豐鄉壽豐村15鄰壽農39號,10015,1001506,1001506-007,15鄰,壽農,,,,,,39號,121.50439057572,23.863761882527
花蓮縣壽豐鄉壽豐村15鄰壽農41號,10015,1001506,1001506-007,15鄰,壽農,,,,,,41號,121.50427926526,23.86352328132
花蓮縣壽豐鄉壽豐村15鄰壽農43號,10015,1001506,1001506-007,15鄰,壽農,,,,,,43號,121.50417995587,23.863437582433
花蓮縣壽豐鄉壽豐村15鄰壽農44號,10015,1001506,1001506-007,15鄰,壽農,,,,,,44號,121.50414757032,23.863362725536
花蓮縣壽豐鄉壽豐村15鄰壽農46號,10015,1001506,1001506-007,15鄰,壽農,,,,,,46號,121.50398411576,23.863195068033
花蓮縣壽豐鄉壽豐村14鄰壽農50號,10015,1001506,1001506-007,14鄰,壽農,,,,,,50號,121.5054056948,23.864938366694
花蓮縣壽豐鄉壽豐村22鄰壽農54號,10015,1001506,1001506-007,22鄰,壽農,,,,,,54號,121.50487588337,23.865066544794
花蓮縣壽豐鄉壽豐村22鄰壽農55號,10015,1001506,1001506-007,22鄰,壽農,,,,,,55號,121.50481028335,23.864911100324
花蓮縣壽豐鄉壽豐村22鄰壽農56號,10015,1001506,1001506-007,22鄰,壽農,,,,,,56號,121.50478565056,23.864865871046
花蓮縣壽豐鄉壽豐村22鄰壽農57號,10015,1001506,1001506-007,22鄰,壽農,,,,,,57號,121.5045427838,23.864612342106
花蓮縣壽豐鄉壽豐村22鄰壽農60號,10015,1001506,1001506-007,22鄰,壽農,,,,,,60號,121.50374724479,23.864289992973
花蓮縣壽豐鄉壽豐村22鄰壽農60之1號,10015,1001506,1001506-007,22鄰,壽農,,,,,,60之1號,121.50370846454,23.864343827305
花蓮縣壽豐鄉壽豐村22鄰壽農65號,10015,1001506,1001506-007,22鄰,壽農,,,,,,65號,121.5035669213,23.863180098474
花蓮縣壽豐鄉壽豐村22鄰壽農66號,10015,1001506,1001506-007,22鄰,壽農,,,,,,66號,121.50333145303,23.863315245348
花蓮縣壽豐鄉壽豐村22鄰壽農67號,10015,1001506,1001506-007,22鄰,壽農,,,,,,67號,121.50301233997,23.86356407567
花蓮縣壽豐鄉壽豐村22鄰壽農68號,10015,1001506,1001506-007,22鄰,壽農,,,,,,68號,121.50314538701,23.863452262099
花蓮縣壽豐鄉壽豐村22鄰壽農70號,10015,1001506,1001506-007,22鄰,壽農,,,,,,70號,121.5030248364,23.86327370021
花蓮縣壽豐鄉壽豐村22鄰壽農71號,10015,1001506,1001506-007,22鄰,壽農,,,,,,71號,121.50293885229,23.863228932864
花蓮縣壽豐鄉壽豐村22鄰壽農72號,10015,1001506,1001506-007,22鄰,壽農,,,,,,72號,121.50287290812,23.863103024117
花蓮縣壽豐鄉壽豐村22鄰壽農73號,10015,1001506,1001506-007,22鄰,壽農,,,,,,73號,121.50276646968,23.862945517875
花蓮縣壽豐鄉壽豐村22鄰壽農74號,10015,1001506,1001506-007,22鄰,壽農,,,,,,74號,121.50255805847,23.862848724663
花蓮縣壽豐鄉壽豐村22鄰壽農75號,10015,1001506,1001506-007,22鄰,壽農,,,,,,75號,121.50256962562,23.862683672724
花蓮縣壽豐鄉壽豐村22鄰壽農76號,10015,1001506,1001506-007,22鄰,壽農,,,,,,76號,121.50238419117,23.86243713121
花蓮縣壽豐鄉壽豐村22鄰壽農77號,10015,1001506,1001506-007,22鄰,壽農,,,,,,77號,121.50198049943,23.861958556516
花蓮縣壽豐鄉壽豐村22鄰壽農80號,10015,1001506,1001506-007,22鄰,壽農,,,,,,80號,121.50126047338,23.860720048919
花蓮縣壽豐鄉壽豐村22鄰壽農83號,10015,1001506,1001506-007,22鄰,壽農,,,,,,83號,121.49980920395,23.861889978615
花蓮縣壽豐鄉壽豐村22鄰壽農83之2號,10015,1001506,1001506-007,22鄰,壽農,,,,,,83之2號,121.49995383601,23.861642208982
花蓮縣壽豐鄉壽豐村22鄰壽農85號,10015,1001506,1001506-007,22鄰,壽農,,,,,,85號,121.49990225826,23.862012297292
花蓮縣壽豐鄉壽豐村22鄰壽農87號,10015,1001506,1001506-007,22鄰,壽農,,,,,,87號,121.50051238777,23.862301444885
花蓮縣壽豐鄉壽豐村22鄰壽農89號,10015,1001506,1001506-007,22鄰,壽農,,,,,,89號,121.50124319288,23.863980434016
花蓮縣壽豐鄉壽豐村13鄰壽農90號,10015,1001506,1001506-007,13鄰,壽農,,,,,,90號,121.49529439496,23.86118632176
花蓮縣壽豐鄉壽豐村13鄰壽農91號,10015,1001506,1001506-007,13鄰,壽農,,,,,,91號,121.49688836948,23.860481399937
花蓮縣壽豐鄉壽豐村13鄰壽農92號,10015,1001506,1001506-007,13鄰,壽農,,,,,,92號,121.49691351135,23.86055806967
花蓮縣壽豐鄉壽豐村13鄰壽農93號,10015,1001506,1001506-007,13鄰,壽農,,,,,,93號,121.49702519551,23.861346536425
花蓮縣壽豐鄉壽豐村13鄰壽農94號,10015,1001506,1001506-007,13鄰,壽農,,,,,,94號,121.49676296754,23.861800456283
花蓮縣壽豐鄉壽豐村13鄰壽農96號,10015,1001506,1001506-007,13鄰,壽農,,,,,,96號,121.49692674423,23.861921600552
花蓮縣壽豐鄉壽豐村13鄰壽農97號,10015,1001506,1001506-007,13鄰,壽農,,,,,,97號,121.49708655202,23.862160384881
花蓮縣壽豐鄉壽豐村13鄰壽農98號,10015,1001506,1001506-007,13鄰,壽農,,,,,,98號,121.49719312117,23.862328368976
花蓮縣壽豐鄉壽豐村13鄰壽農99號,10015,1001506,1001506-007,13鄰,壽農,,,,,,99號,121.4973978307,23.862189800221
花蓮縣壽豐鄉壽豐村13鄰壽農100號,10015,1001506,1001506-007,13鄰,壽農,,,,,,100號,121.49836667928,23.862036895443
花蓮縣壽豐鄉壽豐村13鄰壽農100之1號,10015,1001506,1001506-007,13鄰,壽農,,,,,,100之1號,121.49803928811,23.86196867116
花蓮縣壽豐鄉壽豐村13鄰壽農101號,10015,1001506,1001506-007,13鄰,壽農,,,,,,101號,121.49725343453,23.862518796214
