FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷1號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,1號,121.58493223102,23.972976275524
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷2號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,2號,121.58477948126,23.972817779588
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷3號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,3號,121.58500208228,23.972986094981
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷5號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,5號,121.58503847401,23.972963148256
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷6號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,6號,121.58481485537,23.972797969958
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷7號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,7號,121.58507963029,23.972937745448
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷8號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,8號,121.5848485688,23.972778157619
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷10號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,10號,121.58489134459,23.97275452746
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷11號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,11號,121.58512078838,23.97291274894
花蓮縣吉安鄉宜昌村6鄰宜昌四街11號,10015,1001505,1001505-013,6鄰,宜昌四街,,,,,,11號,121.58472908717,23.972906115571
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷12號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,12號,121.58493166083,23.972732423585
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷15號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,15號,121.58515737888,23.97289030707
花蓮縣吉安鄉宜昌村6鄰宜昌四街15號,10015,1001505,1001505-013,6鄰,宜昌四街,,,,,,15號,121.58468900327,23.972857780993
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷16號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,16號,121.58497360437,23.972707288684
花蓮縣吉安鄉宜昌村6鄰宜昌四街17號,10015,1001505,1001505-013,6鄰,宜昌四街,,,,,,17號,121.58466183559,23.972819103685
花蓮縣吉安鄉宜昌村6鄰宜昌四街7巷18號,10015,1001505,1001505-013,6鄰,宜昌四街,,7巷,,,,18號,121.58501638011,23.972683658491
花蓮縣吉安鄉宜昌村6鄰宜昌四街21號,10015,1001505,1001505-013,6鄰,宜昌四街,,,,,,21號,121.58463586225,23.972777252541
花蓮縣吉安鄉宜昌村16鄰宜昌四街48號,10015,1001505,1001505-013,16鄰,宜昌四街,,,,,,48號,121.58355090347,23.971702607007
花蓮縣吉安鄉宜昌村16鄰宜昌四街50號,10015,1001505,1001505-013,16鄰,宜昌四街,,,,,,50號,121.58350780001,23.971644721558
