FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣瑞穗鄉瑞美村5鄰新生一路1號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,1號,121.37884640216,23.495477710998
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷1號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,1號,121.38067544037,23.49481078319
花蓮縣瑞穗鄉瑞美村5鄰新生一路2號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,2號,121.37884118865,23.495613065791
花蓮縣瑞穗鄉瑞美村5鄰新生一路3號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,3號,121.37891265686,23.495467364024
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷3號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,3號,121.38066026813,23.494764288503
花蓮縣瑞穗鄉瑞美村5鄰新生一路4號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,4號,121.37889268238,23.495597138033
花蓮縣瑞穗鄉瑞美村5鄰新生一路5號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,5號,121.37894158459,23.495459004108
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷5號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,5號,121.38062637903,23.494718905077
花蓮縣瑞穗鄉瑞美村5鄰新生一路6號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,6號,121.37893979861,23.495584300143
花蓮縣瑞穗鄉瑞美村5鄰新生一路7號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,7號,121.37898976468,23.495448439185
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷7號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,7號,121.38061079995,23.494680746096
花蓮縣瑞穗鄉瑞美村5鄰新生一路8號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,8號,121.37897751928,23.495572758326
花蓮縣瑞穗鄉瑞美村5鄰新生一路9號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,9號,121.37903366835,23.495438643172
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷9號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,9號,121.38058992688,23.494640161936
花蓮縣瑞穗鄉瑞美村5鄰新生一路10號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,10號,121.3790206182,23.495565709404
花蓮縣瑞穗鄉瑞美村5鄰新生一路11號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,11號,121.37907297684,23.495427711512
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷11號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,11號,121.38056906756,23.494604363656
花蓮縣瑞穗鄉瑞美村5鄰新生一路12號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,12號,121.37906704793,23.495552484855
花蓮縣瑞穗鄉瑞美村5鄰新生一路13號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,13號,121.37911517433,23.495417025654
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷13號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,13號,121.38054829942,23.494566217341
花蓮縣瑞穗鄉瑞美村5鄰新生一路14號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,14號,121.37911515853,23.495538154538
花蓮縣瑞穗鄉瑞美村5鄰新生一路15號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,15號,121.37916446659,23.495405076376
花蓮縣瑞穗鄉瑞美村7鄰新生一路77巷15號,10015,1001509,1001509-002,7鄰,新生一路,,77巷,,,,15號,121.38053263622,23.494532844474
花蓮縣瑞穗鄉瑞美村5鄰新生一路16號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,16號,121.37915142657,23.495528792451
花蓮縣瑞穗鄉瑞美村5鄰新生一路17號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,17號,121.37920847542,23.495397826528
花蓮縣瑞穗鄉瑞美村5鄰新生一路18號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,18號,121.37919490694,23.49551819375
花蓮縣瑞穗鄉瑞美村5鄰新生一路19號,10015,1001509,1001509-002,5鄰,新生一路,,,,,,19號,121.37925187487,23.495389756417
