FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷1號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,1號,121.57912493897,23.9685148824
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷1號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,1號,121.58008707008,23.968187647827
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷2號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,2號,121.57973144422,23.96811717241
花蓮縣吉安鄉南昌村13鄰昌隆七街2號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,2號,121.57984234419,23.968528543905
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷2號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,2號,121.57891063299,23.968627320168
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷3號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,3號,121.5791091492,23.96847766901
花蓮縣吉安鄉南昌村13鄰昌隆七街3號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,3號,121.57986217288,23.968183666978
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷3號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,3號,121.58006607404,23.968150833445
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷4號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,4號,121.57888954699,23.968594505945
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷5號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,5號,121.57909232771,23.968440459511
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷5號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,5號,121.58004359677,23.968116769566
花蓮縣吉安鄉南昌村13鄰昌隆七街5號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,5號,121.57978391645,23.968227231035
花蓮縣吉安鄉南昌村13鄰昌隆七街6號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,6號,121.5798075695,23.968583419944
花蓮縣吉安鄉南昌村12鄰昌隆七街31巷6號,10015,1001505,1001505-012,12鄰,昌隆七街,,31巷,,,,6號,121.57887271899,23.96855802782
花蓮縣吉安鄉南昌村13鄰昌隆七街7號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,7號,121.57965939162,23.968214265773
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷7號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,7號,121.58002409913,23.968085421273
花蓮縣吉安鄉南昌村13鄰昌隆七街8號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,8號,121.5796551792,23.968669692672
花蓮縣吉安鄉南昌村13鄰昌隆七街9號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,9號,121.57950665326,23.968299537415
花蓮縣吉安鄉南昌村13鄰昌隆七街1巷9號,10015,1001505,1001505-012,13鄰,昌隆七街,,1巷,,,,9號,121.57995849949,23.96806107334
花蓮縣吉安鄉南昌村13鄰昌隆七街10號,10015,1001505,1001505-012,13鄰,昌隆七街,,,,,,10號,121.57944476218,23.96872005809
花蓮縣吉安鄉南昌村12鄰昌隆七街11號,10015,1001505,1001505-012,12鄰,昌隆七街,,,,,,11號,121.57937187238,23.968502519362
