FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉東昌村16鄰東里十五街76巷1號,10015,1001505,1001505-015,16鄰,東里十五街,,76巷,,,,1號,121.59798177762,23.962621030041
花蓮縣吉安鄉東昌村17鄰東里十五街111巷12弄1號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,12弄,,,1號,121.59796831391,23.961293361331
花蓮縣吉安鄉東昌村17鄰東里十五街111巷1號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,1號,121.59751602407,23.961438038038
花蓮縣吉安鄉東昌村17鄰東里十五街113巷1號,10015,1001505,1001505-015,17鄰,東里十五街,,113巷,,,,1號,121.59734535716,23.961165656405
花蓮縣吉安鄉東昌村17鄰東里十五街119巷1號,10015,1001505,1001505-015,17鄰,東里十五街,,119巷,,,,1號,121.59727305527,23.961042841368
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1號,121.59744293993,23.960633830544
花蓮縣吉安鄉東昌村18鄰東里十五街102巷7弄1號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,7弄,,,1號,121.59691153297,23.96124286484
花蓮縣吉安鄉東昌村18鄰東里十五街88巷1號,10015,1001505,1001505-015,18鄰,東里十五街,,88巷,,,,1號,121.59749903142,23.961908250384
花蓮縣吉安鄉東昌村18鄰東里十五街102巷1號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,,,,1號,121.597046985,23.961304170708
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1之1號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1之1號,121.59745870529,23.960664829959
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1之2號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1之2號,121.59747177372,23.960686268818
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1之3號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1之3號,121.59748751704,23.96071248279
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1之5號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1之5號,121.59750060753,23.960738707085
花蓮縣吉安鄉東昌村17鄰東里十五街121巷1之6號,10015,1001505,1001505-015,17鄰,東里十五街,,121巷,,,,1之6號,121.59751114345,23.960764941321
花蓮縣吉安鄉東昌村17鄰東里十五街119巷2號,10015,1001505,1001505-015,17鄰,東里十五街,,119巷,,,,2號,121.59722069644,23.960964201278
花蓮縣吉安鄉東昌村17鄰東里十五街113巷2號,10015,1001505,1001505-015,17鄰,東里十五街,,113巷,,,,2號,121.59738882343,23.961148205202
花蓮縣吉安鄉東昌村17鄰東里十五街111巷2號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,2號,121.59756005316,23.961416909674
花蓮縣吉安鄉東昌村18鄰東里十五街88巷2號,10015,1001505,1001505-015,18鄰,東里十五街,,88巷,,,,2號,121.5974955989,23.962169733972
花蓮縣吉安鄉東昌村18鄰東里十五街102巷7弄2號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,7弄,,,2號,121.59678961359,23.96131022785
花蓮縣吉安鄉東昌村17鄰東里十五街111巷20弄2號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,20弄,,,2號,121.59762766097,23.960939096245
花蓮縣吉安鄉東昌村18鄰東里十五街102巷3號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,,,,3號,121.59700544451,23.961323772327
花蓮縣吉安鄉東昌村18鄰東里十五街88巷3號,10015,1001505,1001505-015,18鄰,東里十五街,,88巷,,,,3號,121.59743417953,23.961939554519
花蓮縣吉安鄉東昌村17鄰東里十五街111巷3號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,3號,121.59761175634,23.961393728862
花蓮縣吉安鄉東昌村17鄰東里十五街113巷3號,10015,1001505,1001505-015,17鄰,東里十五街,,113巷,,,,3號,121.59742993628,23.961127512601
花蓮縣吉安鄉東昌村17鄰東里十五街119巷3號,10015,1001505,1001505-015,17鄰,東里十五街,,119巷,,,,3號,121.59733790792,23.961013921035
花蓮縣吉安鄉東昌村17鄰東里十五街111巷12弄3號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,12弄,,,3號,121.59799709183,23.961331479256
花蓮縣吉安鄉東昌村16鄰東里十五街76巷3號,10015,1001505,1001505-015,16鄰,東里十五街,,76巷,,,,3號,121.59794251055,23.962645751696
花蓮縣吉安鄉東昌村17鄰東里十五街113巷4號,10015,1001505,1001505-015,17鄰,東里十五街,,113巷,,,,4號,121.59747809388,23.961106792571
花蓮縣吉安鄉東昌村17鄰東里十五街111巷12弄5號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,12弄,,,5號,121.59802064026,23.961364832023
花蓮縣吉安鄉東昌村16鄰東里十五街76巷5號,10015,1001505,1001505-015,16鄰,東里十五街,,76巷,,,,5號,121.59790246721,23.962672598247
花蓮縣吉安鄉東昌村17鄰東里十五街111巷5號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,5號,121.59765831106,23.961372708019
花蓮縣吉安鄉東昌村18鄰東里十五街102巷5號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,,,,5號,121.59695517124,23.961348103125
花蓮縣吉安鄉東昌村17鄰東里十五街111巷6號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,6號,121.59770545745,23.961350023468
花蓮縣吉安鄉東昌村17鄰東里十五街119巷6號,10015,1001505,1001505-015,17鄰,東里十五街,,119巷,,,,6號,121.59727516489,23.960937714131
花蓮縣吉安鄉東昌村18鄰東里十五街88巷6號,10015,1001505,1001505-015,18鄰,東里十五街,,88巷,,,,6號,121.59745332384,23.962192020272
花蓮縣吉安鄉東昌村16鄰東里十五街64巷6號,10015,1001505,1001505-015,16鄰,東里十五街,,64巷,,,,6號,121.59807577495,23.963163152628
花蓮縣吉安鄉東昌村17鄰東里十五街111巷20弄6號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,20弄,,,6號,121.59760047395,23.960896493523
花蓮縣吉安鄉東昌村15鄰東里十五街39巷6號,10015,1001505,1001505-015,15鄰,東里十五街,,39巷,,,,6號,121.59896560155,23.963693648249
花蓮縣吉安鄉東昌村17鄰東里十五街111巷7號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,7號,121.59775489566,23.961327880766
花蓮縣吉安鄉東昌村17鄰東里十五街111巷12弄7號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,12弄,,,7號,121.59804158377,23.961395802171
花蓮縣吉安鄉東昌村16鄰東里十五街64巷7號,10015,1001505,1001505-015,16鄰,東里十五街,,64巷,,,,7號,121.59797931566,23.963045840646
花蓮縣吉安鄉東昌村16鄰東里十五街76巷7號,10015,1001505,1001505-015,16鄰,東里十五街,,76巷,,,,7號,121.59786141953,23.962698988206
花蓮縣吉安鄉東昌村17鄰東里十五街111巷8號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,8號,121.59780252621,23.961305790235
花蓮縣吉安鄉東昌村18鄰東里十五街88巷8號,10015,1001505,1001505-015,18鄰,東里十五街,,88巷,,,,8號,121.59741269519,23.962211248253
花蓮縣吉安鄉東昌村16鄰東里十五街64巷8號,10015,1001505,1001505-015,16鄰,東里十五街,,64巷,,,,8號,121.59800739775,23.963184366967
花蓮縣吉安鄉東昌村17鄰東里十五街111巷20弄8號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,20弄,,,8號,121.59757608321,23.960853022129
花蓮縣吉安鄉東昌村15鄰東里十五街39巷8號,10015,1001505,1001505-015,15鄰,東里十五街,,39巷,,,,8號,121.59906315125,23.963740445616
花蓮縣吉安鄉東昌村17鄰東里十五街111巷12弄9號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,12弄,,,9號,121.59807032988,23.961429143709
花蓮縣吉安鄉東昌村16鄰東里十五街64巷9號,10015,1001505,1001505-015,16鄰,東里十五街,,64巷,,,,9號,121.59791373783,23.963079621839
花蓮縣吉安鄉東昌村16鄰東里十五街76巷9號,10015,1001505,1001505-015,16鄰,東里十五街,,76巷,,,,9號,121.59782313517,23.962723751151
花蓮縣吉安鄉東昌村18鄰東里十五街102巷9號,10015,1001505,1001505-015,18鄰,東里十五街,,102巷,,,,9號,121.59686985506,23.961416154556
花蓮縣吉安鄉東昌村17鄰東里十五街111巷9號,10015,1001505,1001505-015,17鄰,東里十五街,,111巷,,,,9號,121.59785193987,23.96128259117
