FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市民孝里12鄰林園一街1號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,1號,121.63215885167,24.001923663816
花蓮縣花蓮市民孝里14鄰林園一街73巷1號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,1號,121.6296832108,24.001505162439
花蓮縣花蓮市民孝里18鄰林園一街2號,10015,1001501,1001501-045,18鄰,林園一街,,,,,,2號,121.63210001239,24.002139830831
花蓮縣花蓮市民孝里14鄰林園一街73巷2號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,2號,121.62946552709,24.001577630838
花蓮縣花蓮市民孝里13鄰林園一街43巷2號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,,,,2號,121.63090743309,24.001684497148
花蓮縣花蓮市民孝里13鄰林園一街43巷1弄2號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,1弄,,,2號,121.63108593294,24.001505878115
花蓮縣花蓮市民孝里13鄰林園一街43巷2之1號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,,,,2之1號,121.6308888653,24.001617631008
花蓮縣花蓮市民孝里12鄰林園一街3號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,3號,121.63211400295,24.001915415448
花蓮縣花蓮市民孝里14鄰林園一街73巷3號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,3號,121.62968613714,24.001427887478
花蓮縣花蓮市民孝里14鄰林園一街73巷5號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,5號,121.62969211644,24.001335710811
花蓮縣花蓮市民孝里13鄰林園一街43巷5號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,,,,5號,121.63114604518,24.001324712446
花蓮縣花蓮市民孝里12鄰林園一街5號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,5號,121.63204267165,24.001882111844
花蓮縣花蓮市民孝里13鄰林園一街43巷1弄5號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,1弄,,,5號,121.63119949432,24.001699818506
花蓮縣花蓮市民孝里13鄰林園一街43巷6號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,,,,6號,121.63089919952,24.001507666911
花蓮縣花蓮市民孝里14鄰林園一街73巷6號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,6號,121.62946760473,24.001499618968
花蓮縣花蓮市民孝里18鄰林園一街6號,10015,1001501,1001501-045,18鄰,林園一街,,,,,,6號,121.63197022405,24.002185719564
花蓮縣花蓮市民孝里14鄰林園一街73巷7號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,7號,121.6296916971,24.00124953776
花蓮縣花蓮市民孝里12鄰林園一街7號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,7號,121.63198944179,24.001876408108
花蓮縣花蓮市民孝里14鄰林園一街73巷8號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,8號,121.62946952127,24.00140869599
花蓮縣花蓮市民孝里18鄰林園一街8號,10015,1001501,1001501-045,18鄰,林園一街,,,,,,8號,121.63189450411,24.002119197477
花蓮縣花蓮市民孝里14鄰林園一街73巷9號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,9號,121.62969452071,24.001169328725
花蓮縣花蓮市民孝里12鄰林園一街9號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,9號,121.63194427123,24.001870680165
花蓮縣花蓮市民孝里14鄰林園一街73巷10號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,10號,121.62947886313,24.001328857483
花蓮縣花蓮市民孝里14鄰林園一街73巷11號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,11號,121.62970062736,24.001083128869
花蓮縣花蓮市民孝里12鄰林園一街11號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,11號,121.63189425785,24.00186348235
花蓮縣花蓮市民孝里13鄰林園一街43巷12號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,,,,12號,121.63086629551,24.001330658274
花蓮縣花蓮市民孝里14鄰林園一街73巷12號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,12號,121.6294809284,24.001246285912
花蓮縣花蓮市民孝里13鄰林園一街43巷1弄13號,10015,1001501,1001501-045,13鄰,林園一街,,43巷,1弄,,,13號,121.63105383581,24.001661646674
花蓮縣花蓮市民孝里12鄰林園一街13號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,13號,121.63184587802,24.001860720155
花蓮縣花蓮市民孝里14鄰林園一街73巷14號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,14號,121.6294877808,24.001159803096
花蓮縣花蓮市民孝里12鄰林園一街15號,10015,1001501,1001501-045,12鄰,林園一街,,,,,,15號,121.63179908835,24.001853509022
花蓮縣花蓮市民孝里14鄰林園一街73巷16號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,16號,121.62948975109,24.001079931646
花蓮縣花蓮市民孝里17鄰林園一街16號,10015,1001501,1001501-045,17鄰,林園一街,,,,,,16號,121.63104049544,24.00217695328
花蓮縣花蓮市民孝里13鄰林園一街17號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,17號,121.6315893452,24.001863230835
花蓮縣花蓮市民孝里14鄰林園一街73巷18號,10015,1001501,1001501-045,14鄰,林園一街,,73巷,,,,18號,121.62949413452,24.000988998535
花蓮縣花蓮市民孝里13鄰林園一街19號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,19號,121.63148670761,24.001863653606
花蓮縣花蓮市民孝里13鄰林園一街21號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,21號,121.63144235693,24.001858761855
花蓮縣花蓮市民孝里13鄰林園一街23號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,23號,121.63140349048,24.001853847505
花蓮縣花蓮市民孝里13鄰林園一街29號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,29號,121.63127319899,24.001842934981
花蓮縣花蓮市民孝里13鄰林園一街31號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,31號,121.63123434493,24.001840557744
花蓮縣花蓮市民孝里13鄰林園一街33號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,33號,121.63119000637,24.001838148901
花蓮縣花蓮市民孝里13鄰林園一街35號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,35號,121.63114788824,24.001835568379
花蓮縣花蓮市民孝里13鄰林園一街37號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,37號,121.63110133963,24.001833439484
花蓮縣花蓮市民孝里13鄰林園一街39號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,39號,121.63105987402,24.001827614767
花蓮縣花蓮市民孝里13鄰林園一街41號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,41號,121.63101470056,24.001823295117
花蓮縣花蓮市民孝里13鄰林園一街45號,10015,1001501,1001501-045,13鄰,林園一街,,,,,,45號,121.63091875867,24.001779871208
