FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣花蓮市民立里6鄰民權八街1號,10015,1001501,1001501-001,6鄰,民權八街,,,,,,1號,121.62727239189,23.987516340431
花蓮縣花蓮市民立里5鄰民權八街1之1號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,1之1號,121.6255276708,23.988136811939
花蓮縣花蓮市民立里5鄰民權八街1之2號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,1之2號,121.6255276708,23.988136811939
花蓮縣花蓮市民立里5鄰民權八街1之3號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,1之3號,121.6255276708,23.988136811939
花蓮縣花蓮市民立里5鄰民權八街1之4號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,1之4號,121.6255276708,23.988136811939
花蓮縣花蓮市民立里5鄰民權八街2號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,2號,121.62550518963,23.988304495145
花蓮縣花蓮市民立里5鄰民權八街3號,10015,1001501,1001501-001,5鄰,民權八街,,,,,,3號,121.62531367905,23.988277763941
花蓮縣花蓮市民立里3鄰民權八街5號,10015,1001501,1001501-001,3鄰,民權八街,,,,,,5號,121.6248887778,23.988292461536
花蓮縣花蓮市民立里3鄰民權八街7號,10015,1001501,1001501-001,3鄰,民權八街,,,,,,7號,121.62481894262,23.988308610384
花蓮縣花蓮市民勤里17鄰民權八街13號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,13號,121.62351971329,23.98915776022
花蓮縣花蓮市民勤里17鄰民權八街15號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,15號,121.62348565454,23.989209554899
花蓮縣花蓮市民勤里17鄰民權八街17號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,17號,121.62343097884,23.989249397406
花蓮縣花蓮市民勤里17鄰民權八街19號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,19號,121.62338020077,23.989286388875
花蓮縣花蓮市民勤里17鄰民權八街21號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,21號,121.62333642481,23.989318268415
花蓮縣花蓮市民勤里17鄰民權八街23號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,23號,121.62329587084,23.989347805307
花蓮縣花蓮市民勤里17鄰民權八街25號,10015,1001501,1001501-018,17鄰,民權八街,,,,,,25號,121.62325531689,23.989377351218
花蓮縣花蓮市民勤里21鄰民權八街27號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,27號,121.62306506251,23.989466908617
花蓮縣花蓮市民勤里15鄰民權八街58號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58號,121.62389943306,23.989476067576
花蓮縣花蓮市民勤里15鄰民權八街58之1號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之1號,121.62374853822,23.989512491218
花蓮縣花蓮市民勤里15鄰民權八街58之2號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之2號,121.62376992256,23.98954092759
花蓮縣花蓮市民勤里15鄰民權八街58之3號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之3號,121.6237912826,23.989566357324
花蓮縣花蓮市民勤里15鄰民權八街58之5號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之5號,121.62381589087,23.989588767111
花蓮縣花蓮市民勤里15鄰民權八街58之6號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之6號,121.62383628901,23.989612403934
花蓮縣花蓮市民勤里15鄰民權八街58之7號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,58之7號,121.62385691323,23.989636048864
花蓮縣花蓮市民勤里15鄰民權八街60號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,60號,121.62367639073,23.989520062161
花蓮縣花蓮市民勤里15鄰民權八街62號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,62號,121.62363438479,23.989546038501
花蓮縣花蓮市民勤里21鄰民權八街63號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,63號,121.622185033,23.989703191359
花蓮縣花蓮市民勤里21鄰民權八街65號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,65號,121.62214163428,23.98970936281
花蓮縣花蓮市民勤里15鄰民權八街66號,10015,1001501,1001501-018,15鄰,民權八街,,,,,,66號,121.62358342025,23.989576972181
花蓮縣花蓮市民勤里21鄰民權八街67號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,67號,121.62210149609,23.989715069563
花蓮縣花蓮市民勤里21鄰民權八街69號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,69號,121.62206008116,23.989720953039
花蓮縣花蓮市民勤里21鄰民權八街71號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,71號,121.62200823985,23.989749497012
花蓮縣花蓮市民勤里21鄰民權八街73號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,73號,121.62196434652,23.989755002256
花蓮縣花蓮市民勤里21鄰民權八街75號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,75號,121.62192104217,23.989754229784
花蓮縣花蓮市民勤里21鄰民權八街77號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,77號,121.62187758284,23.989760067325
花蓮縣花蓮市民勤里21鄰民權八街79號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,79號,121.62182820519,23.989747057753
花蓮縣花蓮市民勤里21鄰民權八街81號,10015,1001501,1001501-018,21鄰,民權八街,,,,,,81號,121.62178760706,23.98975522224
