FULL_ADDR,COUNTY,TOWN,VILLAGE,NEIGHBORHOOD,ROAD,SECTION,LANE,ALLEY,SUB_ALLEY,TONG,NUMBER,X,Y
花蓮縣吉安鄉勝安村6鄰自立二街2巷1號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,1號,121.59056134375,23.981333149279
花蓮縣吉安鄉勝安村6鄰自立二街6巷1號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,1號,121.59082531161,23.981723822964
花蓮縣吉安鄉勝安村6鄰自立二街6巷2號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,2號,121.59065685127,23.981464247879
花蓮縣吉安鄉勝安村6鄰自立二街2巷3號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,3號,121.59061641651,23.981301253544
花蓮縣吉安鄉勝安村6鄰自立二街6巷3號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,3號,121.59088494963,23.981693110445
花蓮縣吉安鄉勝安村6鄰自立二街2巷5號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,5號,121.59067325493,23.981277278698
花蓮縣吉安鄉勝安村6鄰自立二街6巷5號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,5號,121.59093960534,23.981662408066
花蓮縣吉安鄉勝安村6鄰自立二街6巷6號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,6號,121.5907188324,23.98143233454
花蓮縣吉安鄉勝安村6鄰自立二街2巷7號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,7號,121.59072662239,23.981248558766
花蓮縣吉安鄉勝安村6鄰自立二街6巷7號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,7號,121.59100424644,23.981636254074
花蓮縣吉安鄉勝安村6鄰自立二街6巷8號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,8號,121.59077047039,23.981403621252
花蓮縣吉安鄉勝安村6鄰自立二街2巷9號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,9號,121.590778282,23.981224603821
花蓮縣吉安鄉勝安村6鄰自立二街6巷9號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,9號,121.59106219582,23.981599453231
花蓮縣吉安鄉勝安村6鄰自立二街6巷10號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,10號,121.59083590066,23.981371685555
花蓮縣吉安鄉勝安村6鄰自立二街6巷11號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,11號,121.59111851915,23.981570270312
花蓮縣吉安鄉勝安村6鄰自立二街2巷11號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,11號,121.59081785712,23.981199106244
花蓮縣吉安鄉勝安村6鄰自立二街6巷12號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,12號,121.59088924388,23.981339805414
花蓮縣吉安鄉勝安村6鄰自立二街6巷13號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,13號,121.59117815703,23.981539557682
花蓮縣吉安鄉勝安村6鄰自立二街2巷13號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,13號,121.59085914468,23.981172012909
花蓮縣吉安鄉勝安村6鄰自立二街2巷15號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,15號,121.59090046839,23.981152847129
花蓮縣吉安鄉勝安村6鄰自立二街6巷15號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,15號,121.59123777809,23.981507319146
花蓮縣吉安鄉勝安村6鄰自立二街6巷16號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,16號,121.59094604609,23.981307902902
花蓮縣吉安鄉勝安村6鄰自立二街6巷17號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,17號,121.59129411122,23.981478145155
花蓮縣吉安鄉勝安村6鄰自立二街2巷17號,10015,1001505,1001505-002,6鄰,自立二街,,2巷,,,,17號,121.59093488642,23.981132127813
花蓮縣吉安鄉勝安村6鄰自立二街6巷18號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,18號,121.59100283385,23.981272840177
花蓮縣吉安鄉勝安村6鄰自立二街6巷19號,10015,1001505,1001505-002,6鄰,自立二街,,6巷,,,,19號,121.59133386877,23.98145817266
